{'短评内容': '挺好挺温馨的', '短评打分': 5}
{'短评内容': '老公出差总定他家的宾馆，环境很好。价格也优惠，', '短评打分': 5}
{'短评内容': '总体还不错有点冷', '短评打分': 5}
{'短评内容': '离医院近，孩子住院挺方便的，卫生还可以，早餐也还不错，总体讲还可以。门口停车的，位置还算充裕，挺好的。', '短评打分': 5}
{'短评内容': '非常好，舒服服务好。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '房间干净卫生，环境不错！', '短评打分': 5}
{'短评内容': '特别棒。住了很多次。', '短评打分': 5}
{'短评内容': '特别棒，值得信赖', '短评打分': 5}
{'短评内容': '真的不错哦，住的舒服。', '短评打分': 5}
{'短评内容': '还是看可以吧！', '短评打分': 5}
{'短评内容': '卫生，服务，都非常好，下次还会选择！', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 4}
{'短评内容': '入住多次的宾馆，价格很实惠，服务也很好，早餐虽然是付费的，但价格低，可接受！值得推荐！', '短评打分': 4}
{'短评内容': '不错！', '短评打分': 4}
{'短评内容': '很不错的商务快捷酒店。服务很好，适合出差住。', '短评打分': 5}
{'短评内容': '多次入住，交通便利，早餐虽然付费，但价格实惠，还是很值得推荐的宾馆', '短评打分': 5}
{'短评内容': '比较差劲！\r\n很失败！', '短评打分': 2}
