{'短评内容': '位置不会太偏，有车接送', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '门口的停车场很方便！', '短评打分': 5}
{'短评内容': '亲子间不错，适合带孩子出游的家庭！', '短评打分': 5}
{'短评内容': '有很大停车场。房间陈旧，床头灯全坏了，浴室地漏堵，洗澡很不方便，wify时有时无，总之不太满意。', '短评打分': 4}
{'短评内容': '服务周到', '短评打分': 4}
{'短评内容': '总体来说还不错', '短评打分': 5}
{'短评内容': '还算可以！', '短评打分': 4}
{'短评内容': '地点位置很好', '短评打分': 5}
{'短评内容': '周边环境还好，但是房间不卫生', '短评打分': 3}
{'短评内容': '半夜到的酒店，这个点一般大家都很累了，但是前台工作人员服务态度很好。酒店设施有点陈旧了，需要改进。总体还是可以的。', '短评打分': 5}
{'短评内容': '酒店环境还行，服务也很到位，交通也方便，整体还不错！', '短评打分': 5}
{'短评内容': '酒店环境还行，服务也很到位，交通也方便，整体还不错！', '短评打分': 5}
{'短评内容': '酒店环境还行，服务也很到位，交通也方便，整体还不错！', '短评打分': 5}
{'短评内容': '好好好好！', '短评打分': 5}
{'短评内容': '相对其他酒店比较偏僻，淡季人很少～', '短评打分': 5}
