{'短评内容': '好好好好好', '短评打分': 4}
{'短评内容': '酒店环境好 室内大 豪华安静 值得一住', '短评打分': 5}
{'短评内容': '房间好，服务不错', '短评打分': 5}
{'短评内容': '硬件设施不错，环境好', '短评打分': 5}
{'短评内容': '好可以好点', '短评打分': 5}
{'短评内容': '前后住了两次该酒店，早餐不错', '短评打分': 5}
{'短评内容': '虽说是星级酒店，设施都还行，就是有点旧了，住这里就图他停车方便而已！', '短评打分': 5}
{'短评内容': '环境设施很好，价位不高，值得入住。但早餐较单一，服务意识较差', '短评打分': 5}
{'短评内容': '#ud83d#udc4d#ud83d#udc4d#ud83d#udc4d#ud83d#udc4d', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '超值，但服务不足，早上要叫的士，服务员说给电话自己叫。另外房间电子称是坏的。', '短评打分': 5}
{'短评内容': '不错的酒店，物有所值', '短评打分': 3}
