{'短评内容': '我的压金退哪了？', '短评打分': 1}
{'短评内容': '停车场，说的停对面，就给了一张停车券，自己还贴二十停车费', '短评打分': 1}
{'短评内容': '房间小，楼上ktv隔音不好！', '短评打分': 4}
{'短评内容': '不隔音，噪音太大：住在三楼，四楼歌厅，棋牌室－－-', '短评打分': 4}
{'短评内容': '还行吧，地段一般', '短评打分': 3}
{'短评内容': '贵 差', '短评打分': 1}
{'短评内容': '该店总体较满意，下次来可选择。', '短评打分': 4}
{'短评内容': '本来订的就是不含早餐的 到店后 让要加钱 说必须含早餐 。就准备离去 退订 前台才说那好吧 。嘛意思吗 欺负外地人？？？出去那么多次 唯一一次不愉快的预订。。。。', '短评打分': 4}
{'短评内容': '帝豪商务宾馆的服务很差劲，198的标间竟然连一次性拖鞋都没有，打电话向前台要，他们的态度很恶劣，说卫生间的洗澡拖鞋不就是拖鞋吗，还要什么拖鞋？在我们再三的要求下，他们竟然给我们找来二双一次性拖鞋，一双夏季的，一双冬季的。作为服务行业，如此的服务，怎么能让客户去第二次呢。', '短评打分': 3}
{'短评内容': '房间小，空调不给力，隔音效果差，携程还198性价比极差，让你有种被坑的感觉', '短评打分': 3}
{'短评内容': '只能说糖酒会期间能找到住的已经不错了！', '短评打分': 3}
{'短评内容': '四星酒店果然名不虚传。早餐也很好。', '短评打分': 5}
{'短评内容': '不错的选择，下次还会入住，值得推荐', '短评打分': 5}
{'短评内容': '酒店非常干净 服务到位', '短评打分': 5}
{'短评内容': '差', '短评打分': 1}
