{'短评内容': '旁边有停车场，方便，离景区很近', '短评打分': 4}
{'短评内容': '因为紧靠路边，所以比较吵，设施有些老旧，性价比蛮高，100多的房间还含早餐', '短评打分': 4}
{'短评内容': '早餐还可以，有停车场，酒店位置不错，离武当山门很近，方便！', '短评打分': 4}
{'短评内容': '位置不錯。停車方便。價格合適', '短评打分': 5}
{'短评内容': '物超所值啊', '短评打分': 5}
{'短评内容': '设施太旧了，空调制热也差，但环境不错。', '短评打分': 3}
{'短评内容': '性价比不错 离景区大门口走几分钟比较方便。周围街边好几家饭馆，有个不小的停车场。', '短评打分': 4}
{'短评内容': 'Wifi很差几乎不能使用', '短评打分': 3}
{'短评内容': '很不错的地方，环境很好，又离武当山很近，值得推荐。', '短评打分': 5}
{'短评内容': '环境干净整洁，双层玻璃保温又隔音，停车场大，很方便，WiFi效果好！价格也经济实惠，下次还住这里！', '短评打分': 4}
{'短评内容': '从火车站坐公共汽车过去很方便，如果自己开车，有停车场也很方便，离武当山景区入口也很近，有空调等，卫生等基本满意。附近餐馆很多，建议不要点鱼，都是那种提前用调料腌制的，吃了觉得不新鲜；往景区方向走不远，有长途车站，如果到神农架等景区去也方便，不过发车较早8点左右，可提前确认，酒店往前和往后到太极湖或十堰市坐公交都很方便，4元/没每人。', '短评打分': 4}
{'短评内容': '还不错，价格合适，也挺安静的', '短评打分': 5}
{'短评内容': '还不错，在景区附近来说，对得起这个价格', '短评打分': 3}
{'短评内容': '房间很舒服.淋浴间太小', '短评打分': 3}
{'短评内容': '前台服务周到，有一超大免费停车场，晚上也挺安静，房间都挺好！性价比高，推荐！', '短评打分': 5}
{'短评内容': '酒店环境很好很安静。下次来五当山还住这里。', '短评打分': 3}
