{'短评内容': '哈哈红红火火恍恍惚惚', '短评打分': 5}
{'短评内容': '环境超级不错 ', '短评打分': 5}
{'短评内容': '房间很整洁。而且院内有大型停车场。停车很安全。还给我赠送了两份免费早餐，早餐也很丰盛，以后还会入住东方禾元', '短评打分': 5}
{'短评内容': '房间设施很棒 床睡着舒服像我很挑床的人都能好好入睡 房间很干净卫生 位置不错 附近都有超市逛起来也方便 前台很热情礼貌，我订的是不含早餐的房子，然后前台服务员还免费送我了两份早餐 去吃了早餐感觉很不错 后院还有免费停车场，停车也安全！', '短评打分': 5}
{'短评内容': '停车场有哟', '短评打分': 5}
{'短评内容': '不错，服务态度很好', '短评打分': 5}
{'短评内容': '设备设施不行！太简陋', '短评打分': 2}
{'短评内容': '价格还可以，就是设备陈旧，单人短时间住的话可以考虑', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不是很干净，实际入住的房间比之前看到的图片小，其他还好。交通便利。', '短评打分': 4}
{'短评内容': '酒店环境非常棒，虽不在正街，但并不偏，离医院拜将坛，古汉台都非常近，院内有停车场，安全无需担忧！房间设施很好，洗澡水温适合，水也大，酒店给免费配的洗漱用品都好用，无线网速很快，床睡起来也舒服，很值得推荐的酒店！', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 4}
{'短评内容': '道路文通不错，房间环境不值这个价位！偏高！', '短评打分': 4}
{'短评内容': '环境不错。房间也很大。只是卫生间有点味道。可能是阴天的原因吧', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间小又差，床单居然还有洞，根本不值这个价，连一般的商务酒店都不如。', '短评打分': 1}
