{'短评内容': '房间的洗澡地方小，周边单行线，停车场也不方便', '短评打分': 4}
{'短评内容': '位置很好！公交挺方便的，而且晚上很安静，就是不隔音，何必说话声音大，很吵……服务台的美女们态度都很好！总之很不错', '短评打分': 5}
{'短评内容': '给老人预定的，酒店服务相当好，举个小例子，老人向前台借针线，前台服务员还帮忙把线穿好，让老人很感动。酒店是国有的，设施也非常好，在酒店里吃饭便宜。地理位置也很好，去很多景点都有车直达。强烈推荐。下次自己去青岛还选他们家。', '短评打分': 5}
{'短评内容': '给老人预定的，酒店服务相当好，举个小例子，老人向前台借针线，前台服务员还帮忙把线穿好，让老人很感动。酒店是国有的，设施也非常好，在酒店里吃饭便宜。地理位置也很好，去很多景点都有车直达。强烈推荐。下次自己去青岛还选他们家。', '短评打分': 5}
{'短评内容': '酒店离我办事的地方很近，房间比较干净，非常安静，空调也不错，只是没有电梯，稍微有点不方便。', '短评打分': 5}
{'短评内容': '房间环境不错，服务也特别好', '短评打分': 5}
{'短评内容': '有电梯就好了', '短评打分': 4}
{'短评内容': '好好好好好好好好好好啊好喔好哦好好还哦号', '短评打分': 3}
{'短评内容': '好，很好，非常好，好好好好好好还是好啊 啊', '短评打分': 3}
{'短评内容': '房间干净，服务员态度很好，推荐', '短评打分': 3}
{'短评内容': '酒店基本设施都挺好的，然后服务也不错，不过我们住的那个房间从一开始那个房卡就是坏的不过店里的服务员都挺好的', '短评打分': 3}
{'短评内容': '房间住的挺舒服的，而且挺干净，唯一不太好的就是出门不方便，虽然附近有公交车，但是初次来青岛玩的路痴们还是不太推荐，在这住了两天，出门基本上是叫的的士，不过店里的服务员态度都很好不错', '短评打分': 3}
{'短评内容': '虽然吃海鲜不方便周边步行没有好逛的，没大超市没商场，但交通很方便214全部搞定，住宿条件很好服务也好，有自己的餐厅没海鲜有快餐盒和早餐。', '短评打分': 5}
{'短评内容': '房间小了点，到是挺干净的', '短评打分': 5}
{'短评内容': '正好在我们玩的附近，非常方便，酒店很干净，舒适，服务员非常热情，不厌其烦，谢谢，下次还来', '短评打分': 5}
