{'短评内容': '位置很方便', '短评打分': 5}
{'短评内容': '运气不能太高', '短评打分': 4}
{'短评内容': '运气不能太高', '短评打分': 4}
{'短评内容': '运气不能太高', '短评打分': 4}
{'短评内容': '运气不能太高', '短评打分': 4}
{'短评内容': '还行  位置确实好  客房还可以', '短评打分': 4}
{'短评内容': '房间很温馨，老板人也很热情，下次来了还住这儿。', '短评打分': 3}
{'短评内容': '环境优雅干净、安静；交通方便、服务良好不错', '短评打分': 3}
{'短评内容': '价格优惠，商业圈非常方便，下次还去', '短评打分': 5}
{'短评内容': '太差了，有异味', '短评打分': 1}
{'短评内容': '交通方便 对面是车站 价格也合理', '短评打分': 5}
{'短评内容': '位于繁华处，楼下是荟萃全国美食的美食城，对面就是特色产品购物街，离海边不远，吃饱喝足逛逛街，到海边遛遛，很惬意。', '短评打分': 5}
{'短评内容': '宾馆很普通，就是一个旅馆，环境一般，还算干净、方便，能满足基本需求。贵在价格合适、交通非常方便，到哪都有公交车', '短评打分': 4}
{'短评内容': '性价比很高，只不过房间里有点儿蚊子和蟑螂。老板服务态度还是很好的。', '短评打分': 5}
{'短评内容': '除了方便还是方便，离汽车站、步行街都比较近', '短评打分': 5}
{'短评内容': '房间很小，交通便利，价格便宜。', '短评打分': 3}
{'短评内容': '正常时候是非常便宜一间酒店，\n但过年时，三亚的酒店都非常贵。\n有地方停车，对面就是步行街。酒店房间有点小，\n早上还有收费早餐吃，老板服务态度非常不错。', '短评打分': 1}
{'短评内容': '楼中楼，隔出来的房间，很小，很吵，附近有KTV。', '短评打分': 1}
{'短评内容': '步行街对面，紧邻汽车总站，交通很方便，离春园海鲜市场也很近', '短评打分': 5}
{'短评内容': '不错,挺实惠的.不足之处就是地处闹市,有点吵.', '短评打分': 3}
{'短评内容': '已经入住。明天离开。', '短评打分': 3}
{'短评内容': '位置好，非常适合逛街，老板热情，出门在外，倍感亲切。', '短评打分': 5}
{'短评内容': '旅店不错，性价比很高！', '短评打分': 3}
{'短评内容': '房间太小卫生可以', '短评打分': 3}
{'短评内容': '一般化，较干净', '短评打分': 3}
