{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '都有', '短评打分': 5}
{'短评内容': '条件不错。关键是态度非常非常好。', '短评打分': 5}
{'短评内容': '热水很足，交通便利', '短评打分': 5}
{'短评内容': '酒店卫生很好，热水供应很快，离码头近', '短评打分': 5}
{'短评内容': '大床房间还行，标间房很小，不过位置很方便。', '短评打分': 5}
{'短评内容': '价格贵，住房条件差，设备简陋，还是选其他连锁酒店吧', '短评打分': 5}
{'短评内容': '价格贵，住房条件差，设备简陋，还是选其他连锁酒店吧', '短评打分': 1}
{'短评内容': '客栈就在中山路旁边，交通很方便，老板人很好，免费升级了特价房，赞一个！', '短评打分': 5}
{'短评内容': '老板很好～唯一不足房间太小了～4个人双人床～显的拥挤～', '短评打分': 4}
{'短评内容': '除了隔音不好，但这个价位相对于很优惠了。卫生可以！地理位置也非常好找！都老客户了！！前台接待服务都不错！！', '短评打分': 5}
{'短评内容': '位置挺好找，有酒店服务人员提前电话服务。房间环境很好！', '短评打分': 5}
{'短评内容': '房间真的太棒 位置很好 就在中山路边上 去哪里都很近 关键是特别的安静 真是闹市区的休息胜地 老板的态度也很棒', '短评打分': 5}
{'短评内容': '服务很好位置优越', '短评打分': 5}
{'短评内容': '酒店附近就是步行街耶逛街很棒  厦门的海映像很深刻', '短评打分': 5}
{'短评内容': '服务很好位置也好环境卫生都很OK', '短评打分': 5}
{'短评内容': '服务很OK。房间很舒服也很大  就是最近厦门下雨 呜呜呜', '短评打分': 5}
{'短评内容': '服务很好位置很方便  下次带家人来厦门玩', '短评打分': 5}
