{'短评内容': '酒店还可以', '短评打分': 4}
{'短评内容': '总体感觉还不错', '短评打分': 5}
{'短评内容': '不错价格实惠', '短评打分': 5}
{'短评内容': '干净卫生，服务不错。', '短评打分': 5}
{'短评内容': '干净！服务很好', '短评打分': 5}
{'短评内容': '地暖效果好，室温舒适，房间挺大，前台服务态度很好，整体很满意。', '短评打分': 5}
{'短评内容': '非常好的酒店，床品很舒服，地暖温度适宜。服务热情周到。特别值得推荐。但是店面已经改名为鑫龙假日酒店。', '短评打分': 5}
{'短评内容': '携程网，艺龙网，都写的很多特价房，等订完了来到了查了半天，就告诉没房间了，要住必须加二十块钱！前台两个女的，有一个说等这么长时间实在不行就让他住吧，另一个说，就是不行，态度不好！携程上写5-15分钟确认，我等了一个多小时！', '短评打分': 1}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '经济实惠，不错的地段。', '短评打分': 5}
{'短评内容': '服务还好，房间有蚊子，楼梯间饮水机缺水。', '短评打分': 5}
{'短评内容': '性价比很高 不错不错。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '周边不太方便，离汽车站近', '短评打分': 3}
{'短评内容': '唯一不满意就是网络', '短评打分': 4}
{'短评内容': '网络太糟糕了，不过前台说以后会改善', '短评打分': 4}
{'短评内容': '总体感觉还可以，卫生不错，不足就是屋里还是有点味道，另外之前有位兄弟说电视节目不错，我不知道他说的不错是因为看到了什么，节目真的比较少20个左右吧，另外，前台的表情比较冷漠。', '短评打分': 5}
{'短评内容': ' 酒店房间较大，干净，位置也不错。', '短评打分': 3}
{'短评内容': '快捷酒店，就那样吧，反正价格便宜，在速8当中还算可以了', '短评打分': 5}
{'短评内容': '依然选择速8洒店，胶州店也不错，新开的，干净整洁，位置靠车站，不在市里但是打个车倒处也方便，胶州就这么点地，哪里都方便。', '短评打分': 5}
{'短评内容': '房间很干净，服务态度很好，下次还会选住。\n', '短评打分': 5}
{'短评内容': '离汽车站很近这点很重要，总体上不错，隔音还是不够好，但这个价位算是合理的了', '短评打分': 5}
{'短评内容': '态度很不错，房间也蛮大的，就是厕所太简陋，', '短评打分': 5}
{'短评内容': '酒店很干净，服务态度非常好，设备齐全。早餐很丰盛。特别是在这种小城市的酒店还有西餐早餐。令我很意外。', '短评打分': 5}
{'短评内容': '酒店的服务态度非常好，价格合理。卫生也很清洁。', '短评打分': 5}
{'短评内容': '酒店的软硬件都不错，而且就在新汽车站边上，走走就过去了。\n就是周围还是比较荒凉，没什么购物餐饮的地方，不过汽车站建在了那边，相信很快就会有所改善。\n', '短评打分': 5}
{'短评内容': '房间可以 ，后面小区噪音比较大 111111111111111', '短评打分': 5}
{'短评内容': '很大很干净，温馨舒适，最爱大床，四个人都能睡下～', '短评打分': 3}
{'短评内容': '性价比可以的酒店，不错，以后出差还会入住。', '短评打分': 5}
{'短评内容': '比较偏僻。\n房间还可以，典型的经济型酒店', '短评打分': 5}
{'短评内容': '还可以,已经是第二次入住.早参虽简单了点,但一般还是够了.', '短评打分': 5}
{'短评内容': '典型的经济型酒店，在胶州这个城市是比较实惠的选择', '短评打分': 5}
{'短评内容': '酒店的位置比较的偏。设施嘛，就是经济型酒店的设施，还可以', '短评打分': 5}
{'短评内容': '交通还行，酒店位有点儿偏，不过前台服务比较满意，适合临时入住。', '短评打分': 5}
{'短评内容': '环境干净，装修比较新，比较适合商务人士短住~', '短评打分': 5}
{'短评内容': ' 速8很干净，就是屋里太热了。其它都很好。', '短评打分': 3}
{'短评内容': '房间很干净，推荐', '短评打分': 5}
{'短评内容': '总体感觉不错，但仅有早餐，晚餐、午餐不方便，、比较卫生', '短评打分': 3}
{'短评内容': '环境不错，服务态度比较好，比较卫生      ', '短评打分': 5}
{'短评内容': '酒店交通还算方便，出门就有公交车，房间打扫的很干净整洁，色彩搭配的也很好，服务热情周到，住宿环境很好', '短评打分': 5}
{'短评内容': '除了感觉有点远以外，其他还算不错，性价比可以', '短评打分': 3}
{'短评内容': '总体感觉不错，但仅有早餐，晚餐、午餐不方便，附近有海鲜街可自行解决', '短评打分': 5}
{'短评内容': '位置不是很好找，卫生设施都还行，价格的话还可以。', '短评打分': 5}
{'短评内容': '前台男服务员态度很一般，而且我住的房间马桶没有水。我不会再住这家酒店。', '短评打分': 1}
{'短评内容': '可以推荐', '短评打分': 5}
{'短评内容': '浴室的水小了点，不舒服', '短评打分': 5}
{'短评内容': '这家酒店很差,周围吃饭不方便,而且打车也不好打,床单被罩也不太干净,还没有中央空调,很不舒适.', '短评打分': 3}
{'短评内容': '酒店位置一般了,有些偏远,内部环境还是不错的,房间打扫的挺干净的,服务人员也很热情.整体感觉价格还是比较合适的.', '短评打分': 3}
{'短评内容': '适合开车到胶州的同志们，在开发区，海尔大道旁边，打的不方便', '短评打分': 5}
{'短评内容': '装修档次低（地板不干净、铁水管裸露在卧室的角落里），房间窗户关不严，电视才几个频道', '短评打分': 1}
