{'短评内容': '睡睡觉没问题', '短评打分': 4}
{'短评内容': '不能加床吧 没有早餐', '短评打分': 5}
{'短评内容': '第一次去，既然是一个打着游戏的小学生给我开房间，我也是无奈了！', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '干净舒适。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '酒店位于昆明高新区，交通还是比较方便的，酒店外有机场大巴到机场去，酒店的设施和卫生等方面值得加强点，但价格那么便宜，也不好多说什么了.', '短评打分': 3}
{'短评内容': '酒店位于昆明高新区，交通还是比较方便的，酒店外有机场大巴到机场去，酒店的设施和卫生等方面值得加强点，但价格那么便宜，也不好多说什么了.', '短评打分': 3}
{'短评内容': '酒店位于昆明高新区，交通还是比较方便的，酒店外有机场大巴到机场去，酒店的设施和卫生等方面值得加强点，但价格那么便宜，也不好多说什么了。', '短评打分': 3}
{'短评内容': '性价比极高，老板特别客气', '短评打分': 5}
{'短评内容': '好多灯不亮，地板也坏了，洗澡间移门关起来提心吊胆', '短评打分': 3}
{'短评内容': '很失望', '短评打分': 2}
{'短评内容': '环境好，交通方便！', '短评打分': 5}
{'短评内容': '酒店不错，吃东西也方便，下次还来。', '短评打分': 4}
{'短评内容': '服务态度好 卫生条件较优 周边环境安静 交通方便', '短评打分': 5}
