{'短评内容': '一如既往的好，非常满意，赞。', '短评打分': 5}
{'短评内容': '很满意！', '短评打分': 5}
{'短评内容': '锦江服务一如既往的好，前台和餐厅工作人员的服务很热情，有回家的感觉！', '短评打分': 4}
{'短评内容': '非常棒', '短评打分': 5}
{'短评内容': '酒店位置离火车站挺近的，出行方便', '短评打分': 5}
{'短评内容': '位置挺好的，就是服务差', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '房间挺大，也干净，交通方便', '短评打分': 5}
{'短评内容': '很好 不错！！', '短评打分': 5}
{'短评内容': '一夜暖气也不热冻得难受，地理位置不错价格比起别的地方连锁酒店稍微有点高！', '短评打分': 4}
{'短评内容': '很干净的酒店，离得车站也近，京东买的更便宜', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好的', '短评打分': 5}
{'短评内容': '锦江之星连锁酒店环境卫生就是价格有点贵，房间有点窄小，其他都不错！服务态度也很好！', '短评打分': 5}
{'短评内容': '还行吧，连锁酒店也就这样', '短评打分': 4}
{'短评内容': '环境不错，挺干净的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '在火车站对面，晚上噪音有点吵', '短评打分': 4}
{'短评内容': '不错干净，', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '马路对面火车站，所以不太可能清净酒店有几年了，设施略老化前台实习生刷错了预授权完成，还是我发现的，要不然小哥你自己贴钱吧……', '短评打分': 4}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '就这么回事！', '短评打分': 4}
{'短评内容': '离火车站很近很方便 屋子也挺大的挺满意的', '短评打分': 5}
{'短评内容': '离火车站近，还不错！', '短评打分': 4}
{'短评内容': '还行，都可以来试一下，地理位置不错', '短评打分': 5}
{'短评内容': '离火车站很近，酒店餐厅的服务很周到，价格适中，周围环境很整洁。', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 4}
{'短评内容': '在火车站旁边，近，价格不算便宜，不过很方便。给个好评', '短评打分': 5}
{'短评内容': '还不错  设施比较齐全  环境挺好的离火车站近很方便', '短评打分': 5}
{'短评内容': '还行，就是比较吵，火车站附近的原因吧', '短评打分': 3}
{'短评内容': '国内连锁很倾向于锦江，不单单是房间里的环境，服务也是一流的，锦江，值得大家去体验一下', '短评打分': 5}
{'短评内容': '很好,就是有点贵', '短评打分': 3}
{'短评内容': '锦江不错 条件好 安静 服务好  但是 热水不太给力             ', '短评打分': 5}
{'短评内容': '不错 ，价格比会员价还要优惠 相对于这个价位 还是很值的', '短评打分': 5}
{'短评内容': '酒店挺干净卫生的，不错.................', '短评打分': 5}
{'短评内容': '酒店还可以，挺干净卫生的', '短评打分': 3}
{'短评内容': '好的，很好的，还便宜。就是旁边吃饭的地方太少了。', '短评打分': 5}
{'短评内容': '火车站正对面，走300米左右就由个大超市，环境也不错，下次去的首选！', '短评打分': 5}
{'短评内容': '住过的最差的锦江之星，前台小姑娘和餐厅的服务非常一般，饭也不好吃，完全没有锦江之星的感觉，以后再不会住了', '短评打分': 1}
{'短评内容': '酒店环境优雅，设施挺好！', '短评打分': 3}
{'短评内容': '地理位置和内部环境不错，只是卫生间设施有点陈旧！', '短评打分': 5}
{'短评内容': '酒店不错，很干净。', '短评打分': 3}
{'短评内容': '挺干净的，价格也不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '真的很不错，环境好，舒适优雅，服务人员的态度也不错，对面就是火车站，交通便利', '短评打分': 5}
{'短评内容': 'OK。                                                                。', '短评打分': 5}
{'短评内容': '酒店还可以，位置不错，条件也可以，性价比可以', '短评打分': 5}
{'短评内容': '一般，入住的人挺多。', '短评打分': 3}
