{'短评内容': 'all兔兔老K   久', '短评打分': 5}
{'短评内容': '距离西湖很近，但空间有点偏小了，整体来说还不错，', '短评打分': 4}
{'短评内容': '酒店真差，房间又小又窄，床离墙只有一条腿的空间，上厕所要慢慢挤过去，还要小心碰着电视机。就这种小酒店到了周未居然还升到200多。服务员素质更差，掉了个充电宝再打电话过去问前台居然说没见', '短评打分': 1}
{'短评内容': '房间小，大部分无窗，门缝太大，隔音不好，就是经济实惠，临时休息一下就行了！', '短评打分': 4}
{'短评内容': '本来打算住7晚，先订了3天，问了前台带眼镜的小伙，我先订3天后面住一晚后再订后面4天，后面4天可以按照携程价格90元给吗？还是携程上现在订？小伙说没事的，到时候直接来续费就可以，可以按照90元给。后来我去续房了，是个女的接待，服务态度跟好像欠了她很多钱一样，直接说不行，因为快周末了，都涨价了。并且说那个小伙说得不算！无语，不对这种不讲信用的酒店，要住的，你们自己看着办吧。环境:第一天住在高架旁，晚', '短评打分': 2}
{'短评内容': '还是不错的，价廉', '短评打分': 5}
{'短评内容': '不错，即经济又干净总体蛮好。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位置很好离西湖比较近，房间虽然小但是设施很齐全，服务很好还帮忙寄存了行李，就是卫生感觉不是特别好，卫生间有待改进', '短评打分': 5}
{'短评内容': '被单不干净，有上个客人留下的头发，好像还有血迹，卫生纸也没有放，没有洗澡用的凉鞋，浴室也没有地垫，花洒的水管是坏的，漏水。价格不算贵，地段还好', '短评打分': 4}
{'短评内容': '房间有点小，电视机太小了！不过这个价格，在市区，可以接受吧', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '对经济型的朋友是个不错的选择，主要是离西湖太近了', '短评打分': 5}
{'短评内容': '地理位置非常不错,房间卫生做的很好,性价比很高', '短评打分': 5}
{'短评内容': '脏乱差脏乱差脏乱差脏乱差脏乱差', '短评打分': 5}
{'短评内容': '酒店房间很小巧，麻雀虽小五脏俱全，房间也没有异味，就是隔音不太好，有些吵。交通很便利，离杭州火车站大概有10分钟左右的公交车程，离西湖也不远，公交车差不多4站，在高架桥附近，周围公交站很多。下次去杭州，还会选择这家的~希望隔音效果能改善一下！', '短评打分': 5}
{'短评内容': '小的像胶囊，不带洗漱用品，特价房还收了我180多块，下次记得早些定房，周六日价格会涨', '短评打分': 3}
{'短评内容': '没洗漱用品啊', '短评打分': 3}
{'短评内容': '应该是特价房~没窗户是早就知道的，没想到连洗漱用品和洗浴的用具都没有，只有水。。。 ', '短评打分': 1}
{'短评内容': '经济，干净', '短评打分': 3}
{'短评内容': '房间很一般，床单很不干净，上面油点，枕头套上有血渍，看了其他三件房。都很不干净，虽说是128特价房，但是不值这个价，房间很潮湿，墙壁上很脏，房间很小，味道很重。真的很不满意。', '短评打分': 1}
{'短评内容': '卫生还好，房间真小，卫生还好，房间真小，卫生还好，房间真小，卫生还好，房间真小，卫生还好，房间真小，卫生还好，房间真小~~', '短评打分': 5}
