{'descr': '很好', 'star': 5}
{'descr': '很好，有车位，离观音桥也很近，以后还会再来，华住品牌，值得信赖', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '无早餐 不适合带孩子入住 周边吃饭还是挺方便的 性价比还可以', 'star': 4}
{'descr': '还行', 'star': 4}
{'descr': '酒店环境不错，出行方便', 'star': 5}
{'descr': '我定错了时间 去了酒店 前台很好的帮我们打电话给客服改时间。本来定的138的，定错了后就必须在前台直接拿钱，刷了138，房间很小，不是图上的了。算了就觉得，也麻烦前台了。最郁闷的是我的手表，先不说我的表我多心疼，我确定肯定我放在枕头下，当晚7.8点就回去找，开门给我找，态度挺好，说没看到。我不是冤枉酒店，我确确实实放在枕头下，走了一个小时左右之后想起来了，就说晚上回来拿，我以为会收好，一块表飞了吗', 'star': 4}
{'descr': '巴适。', 'star': 5}
{'descr': '酒店环境很好，住的舒服', 'star': 5}
{'descr': '环境挺好的，交通挺便捷的，房间挺干净的，服务也比较到位，就是没有窗户', 'star': 5}
{'descr': '酒店房间还不错，就是酒店门面不大号，离商业圈有点远，不过对面就有一个大商场', 'star': 5}
{'descr': '老板很热情，帮我把行李搬到二楼。', 'star': 5}
{'descr': '干净', 'star': 5}
{'descr': '非常方便，房间干净。', 'star': 5}
{'descr': '酒店还不错，就是通风差了点', 'star': 4}
{'descr': ' 一般吧，比起七天性价比不太高', 'star': 3}
{'descr': '虽然前台看起来很一般，但一进房间给人很干净，温馨的感觉，虽然酒店坐落的位置偏了点，所有的设施设备对于这个价格很值得，总之对于出差酒店的选择很值得一住！', 'star': 5}
