{'短评内容': '早餐不错', '短评打分': 4}
{'短评内容': '性价比很高，暖和过头了。。。', '短评打分': 5}
{'短评内容': '酒店在一条次干道上，对面是小区，后面是学校，倒是安静的，门前是停车场，最不满意的就是前台，全都没有笑脸，一大清早的说话就没精神，好像都不缺钱，不是搞服务工作的。房费刚交了没五分钟就说不能退。挺恶心的，住的心里不舒服。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '酒店内饰还可以，热水也不错，空调有点老，没什么大的异味，但是房间里面的毛巾我是不敢用的浴巾有道道黑印', '短评打分': 4}
{'短评内容': '临时换了酒店，下次体验', '短评打分': 5}
{'短评内容': '应该在周边算不错的酒店', '短评打分': 4}
{'短评内容': '无窗房还是有些味道', '短评打分': 4}
{'短评内容': '每次出差都是选这家，方便、干净、服务好、设施好，强烈推荐商务、旅游入住。前台小妹很热情，服务员阿姨很贴心！赞！', '短评打分': 5}
{'短评内容': '酒店位置非常好，和办事的地方特别近，周边吃饭选择也比较多，硬件设施也算不错，总体推荐，还会继续入住。', '短评打分': 4}
{'短评内容': '酒店位置非常好，和办事的地方特别近，周边吃饭选择也比较多，硬件设施也算不错，总体推荐，还会继续入住。', '短评打分': 4}
{'短评内容': '被子太厚', '短评打分': 2}
{'短评内容': '位置很便利，服务也很好，外部不好，里面装修还是很好的', '短评打分': 5}
{'短评内容': '宾馆闹中取静，环境卫生整洁，服务员服务态度好', '短评打分': 5}
{'短评内容': '宾馆闹中取静，环境卫生整洁，服务员服务态度好', '短评打分': 5}
{'短评内容': '宾馆闹中取静，环境卫生整洁，服务员服务态度好', '短评打分': 5}
