{'短评内容': '在汽车总站北门 对门。位置不错，设施一般吧，是个老宾馆。', '短评打分': 5}
{'短评内容': '一般般吧，就这个价位而言算很不错了，可以接受', '短评打分': 5}
{'短评内容': '房间挺不错的，还有无线网络。离着汽车站挺近，附近还有夜市之类的，很方便。', '短评打分': 5}
{'短评内容': '不错啊，价格不贵，这次去住挺好，前台服务很好，继续加油', '短评打分': 5}
{'短评内容': '门市价都打折，服务一般！', '短评打分': 3}
{'短评内容': '菏泽没什么好酒店，凑合着吧\n\n这么烦，还要50个字~~这么烦，还要50个字~~这么烦，还要50个字~~这么烦，还要50个字~~这么烦，还要50个字~~这么烦，还要50个字~~这么烦，还要50个字~~', '短评打分': 5}
{'短评内容': '酒店还不错，隔音确实有点不好，服务很不错哦，房间很宽敞', '短评打分': 5}
{'短评内容': '内部设施太陈旧了，而且房间内有股味道，很难闻，不过服务员态度很好，哎呀一晚上终于熬过来了，而且房间不隔音，要不是因为能用40消费卷肯定不会住这的。', '短评打分': 1}
{'短评内容': '感觉尚可，前台服务也很好。只是没有早餐。', '短评打分': 5}
{'短评内容': '服务是非常的不错 刚入住网线有点问题 还是很快的解决了 ！', '短评打分': 5}
{'短评内容': '房间还算干净，前台服务人员态度不友善。。。。请慎重选择该酒店', '短评打分': 5}
{'短评内容': '本人入住的516房喷淋是坏，基本不能用，这种情况在全国性的连锁店存在是管理者的严重失职。如果我是老板，那是决不允许类似情况发生的；还有电梯的右边竟然的个空的大走廊，非常有碍视觉美观。封掉后开个有点造型的侧门多好！另外楼层上都看不到服务员的，对于安全来说也是个隐患。软件方面做的挺好的，可以免费上网（只是没试过），服务员很有礼貌。98元单间大床觉得很便宜，在菏泽这种地方，应该是物有所值。', '短评打分': 1}
{'短评内容': '房间很干净，服务态度也不错，就是稍有异味，隔音不太好。总的来说是非常不错的，值得入住。 \n', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '酒店价格比较经济实惠，房间打扫的干净整洁，硬件齐全，周边出行比较方便，住宿环境还可以 \n', '短评打分': 5}
{'短评内容': '房间很干净，服务态度也不错，就是稍有异味，隔音不太好。总的来说是非常不错的，值得入住。', '短评打分': 5}
{'短评内容': '房间卫生条件很好，干净整洁，服务很到位，当时住的是三人间，感觉很宽敞，舒适度不错', '短评打分': 5}
{'短评内容': '酒店性价比蛮高的，位置不错，在候车室对面，出行还可以，周边有拉面馆和快餐店，吃东西也算方便些', '短评打分': 5}
{'短评内容': '在当地来讲算是比较好的经济型酒店了，房间布置的比较简单，卫生挺好的，服务一般，环境还可以', '短评打分': 5}
{'短评内容': '房间质量不错，蛮新的，卫生条件很好干净整洁，特别是床垫蛮舒服的，餐饮价格很实惠，住宿条件一般', '短评打分': 3}
{'短评内容': '感觉很一般的酒店，房间硬件齐全，当时住的房间有电脑蛮方便的，卫生一般，服务比较好，住宿条件还可以', '短评打分': 3}
{'短评内容': '感觉比较好的酒店，周边出行方便，服务到位，房间卫生条件很好干净整洁，舒适度还算不错', '短评打分': 5}
{'短评内容': '比较经济实惠的酒店，价格还可以，房间布置的简单温馨，卫生很好，干净整洁，服务到位，下次还会住的', '短评打分': 5}
{'短评内容': '酒店价格比较经济实惠，房间打扫的干净整洁，硬件齐全，周边出行比较方便，住宿环境还可以', '短评打分': 5}
{'短评内容': '酒店位置不错。距离汽车站蛮近的，出行很方便，房间打扫的很干净，住着很放心', '短评打分': 5}
