{'短评内容': '早餐非常差', '短评打分': 1}
{'短评内容': '床有点软  ', '短评打分': 5}
{'短评内容': '很不错，非常安静', '短评打分': 5}
{'短评内容': '房间太差没性价比', '短评打分': 2}
{'短评内容': '装修老旧，房间小', '短评打分': 3}
{'短评内容': '??????', '短评打分': 5}
{'短评内容': '??????', '短评打分': 5}
{'短评内容': '房间墙壁发霉  地毯很多洞   离谱的是支付145开票却只有130投诉都没用', '短评打分': 4}
{'短评内容': '相对于价格便宜程度来讲是可以接受的，卫生间小，卫生程度只能说是一般。', '短评打分': 4}
{'短评内容': '墙纸旧，坏', '短评打分': 4}
{'短评内容': '洗手盆有个洞，卫生不理想，地上有烟头，吹风机的那面墙上有不少短头发，住过最差的速8了，以后不会再考虑住这家了。', '短评打分': 3}
{'短评内容': '还不错，挺干净的，周边有很多吃的，附近还有万达广场，比较方便！', '短评打分': 5}
{'短评内容': '房间味道重，但网速非常快！', '短评打分': 4}
