{'descr': '性价比还算不错，就是楼下是菜场，还有健身房，', 'star': 4}
{'descr': '不错，附近就是步行街', 'star': 5}
{'descr': '这个价位，性价比很高了，附近就是步行街，不错', 'star': 5}
{'descr': '环境一般吧。', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '房间真的很小、中间还有个大柱子被子都拖在地上无法形容', 'star': 2}
{'descr': '不错可以，可以入住环境蛮好。', 'star': 3}
{'descr': '宽带上不去，无线网信号几乎没有……………', 'star': 3}
{'descr': '还可以。 还是靠窗户的。很不错', 'star': 3}
{'descr': '和哈哈哈哈哈哈哈哈哈哈哈哈', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '比较实惠的微型宾馆，经常住，不过该装修了', 'star': 4}
{'descr': '就是wifi不给力', 'star': 4}
{'descr': '这个价自然不错', 'star': 4}
{'descr': '还不错', 'star': 3}
{'descr': '环境不错,紧靠繁华地段!', 'star': 3}
{'descr': '酒店卫生干净，但是房型给人感觉很压抑，周围的环境一般', 'star': 1}
{'descr': '房间太小了\n给人不太舒服的感觉\n周边有个菜场', 'star': 1}
{'descr': '还行.......楼下有点吵。别的还好。。。。。。。。', 'star': 5}
{'descr': '＋楼下很吵', 'star': 3}
{'descr': '99块钱的特价房真的一无是处，决定换成旅馆住算了。\n房间不免费提供洗漱用品，没有电水壶，墙体破裂，隔音也不好，死角卫生不干净，一直听得到楼下的手机促销活动的叫喊声（白天时候），各种不爽！！！！\n为什么无法上传图片呢？？拍了两张但是无法上传呀？？？', 'star': 1}
{'descr': '地理位置好\n\n房间比较小，99元的不如团购', 'star': 1}
{'descr': '酒店位置非常好，紧邻步行街，非常方便。房间比较温暖。但是部分死角处有垃圾已经灰尘哟。不过价位低。总体感觉还是过得去的。', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '去了才知道受骗了，房间很小，洗漱用品什么都没有，价格还这么贵。', 'star': 1}
{'descr': '干净，整洁，房间有点小，床舒服，没有浴巾，通风有点差，墙椅不牢固。性价比好！服务态度好！李小姐好可爱！', 'star': 5}
{'descr': '住的地方还算干净，上铺挨着空调热，下铺还冷 夏天住还行，冬天冻死人 ', 'star': 5}
