{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '今天到的晚，又特意加了一间房，赵菲菲小美女热情，细心又体贴，还特意帮我们安排同一楼层，赞一个', '短评打分': 5}
{'短评内容': '早餐不错，停车很方便，前台服务很热情，有个穿黑衣服的好像叫高静，应该是她们的领班吧，工作快捷高效，我们入住时房间还没打扫好，她很快给安排了新的房间让我们入住。', '短评打分': 5}
{'短评内容': '京东酒店预订还是挺有优势的，以后还会订。', '短评打分': 5}
{'短评内容': '很好的入住体验，床比较舒服，工作人员服务态度很好', '短评打分': 5}
{'短评内容': '本地酒店还算豪华舒服的了，给客户订的', '短评打分': 5}
{'短评内容': '还可以吧&hellip;&hellip;', '短评打分': 1}
{'短评内容': '设施较单一了，房间卫生很好。', '短评打分': 5}
{'短评内容': '很不错 地理位置优越 环境好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '最棒的是自助餐', '短评打分': 5}
{'短评内容': '很好。挺不错的。', '短评打分': 5}
{'短评内容': '非常不错的酒店，出差不错的选择！很干净！', '短评打分': 4}
{'短评内容': '酒店给人感觉很舒服，毛巾浴巾都是消毒包装，用着放心。服务很贴心周到。价位也不算高。总之性价比很高的酒店。', '短评打分': 5}
{'短评内容': '干净整洁 服务态度好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一如既往地好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '住过多次了，这次免费升级到A座的套房，很大很干净。楼下打车也比较方便。', '短评打分': 5}
{'短评内容': '还不错，四星级牵强，早餐不错，看起来婚宴等宴席比较多', '短评打分': 5}
{'短评内容': '不错的酒店，交通便利，房间也不错，马上重新装修完毕后会更好吧', '短评打分': 5}
{'短评内容': '酒店略偏，但离市中心并不远。酒店服务很好，前台服务热情，房间还送水果，房间用品消毒看似蛮正规的。就是同等价位，在潍坊房间略小，且正在装修，需要起早否则被扰。', '短评打分': 5}
{'短评内容': '酒店烟很便宜,房间也可以。推荐入住', '短评打分': 3}
{'短评内容': '酒店的硬件不错的，房间大也新，装修不错，就是早餐的地方还有走出去去A楼，挺不方便的。旁边还有富华游乐园，20元的门票，虽然小孩子玩的的不是很多项目。', '短评打分': 5}
{'短评内容': '很冷                                                         很冷                       很冷                      不开暖气', '短评打分': 1}
{'短评内容': '酒店硬件不错,服务方面还有待提高.饭菜质量口味一般般', '短评打分': 5}
{'短评内容': '据说是当地比较好的酒店，官员们经常来，自助餐还不错', '短评打分': 5}
{'短评内容': '满意。', '短评打分': 3}
{'短评内容': '不好不好不好                                      不好不好不好                      服务员糊弄人', '短评打分': 1}
{'短评内容': '不错的酒店，达到四星，服务很好，推荐入住。', '短评打分': 5}
{'短评内容': '交通很便利，附近吃很方便，就是晚上12点没热水了', '短评打分': 5}
{'短评内容': '酒店很好 就是里面的装修有点老化了 下次去还会住的', '短评打分': 5}
{'短评内容': '前台永远这么慢，', '短评打分': 3}
