{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '就是有点远，吃饭不方便！', '短评打分': 5}
{'短评内容': '我们一行9人来订房，在携程订了四间，和酒店前台沟通好刷了一笔定金，第二天退房的时候，前台很负责任的问过我要不要提前退，经过我们的协商后，我给一点多给前台去了电话请她们帮我退房，可是因为前台酒店前台交接班没有及时沟通好，不知道我定了四间，其中包括一间双人房，三间大床房，所以只给我退了三间，另一间硬是要收半天房费，和前台说明情况后，她表示要请示经理，后来电话跟一个自称经理的人通电话，她的态度和语气就是', '短评打分': 1}
{'短评内容': '我们一行9人来订房，在携程订了四间，和酒店前台沟通好刷了一笔定金，第二天退房的时候，前台很负责任的问过我要不要提前退，经过我们的协商后，我给一点多给前台去了电话请她们帮我退房，可是因为前台酒店前台交接班没有及时沟通好，不知道我定了四间，其中包括一间双人房，三间大床房，所以只给我退了三间，另一间硬是要收半天房费，和前台说明情况后，她表示要请示经理，后来电话跟一个自称经理的人通电话，她的态度和语气就是', '短评打分': 1}
{'短评内容': '安静', '短评打分': 4}
{'短评内容': '酒店还可以的 位置有点偏吧 晚上睡觉空调声音有点大', '短评打分': 5}
{'短评内容': '酒店还可以的 就是位置有点偏 晚上睡觉空调声音有点大', '短评打分': 5}
{'短评内容': '宾馆坐落在半山腰，是江西财厅的培训基地，条件非常不错????很安静，下次还来住。', '短评打分': 5}
{'短评内容': '酒店环境一般，不好不差，酒店早餐就餐时间较短，九点就收了，没吃到早餐。', '短评打分': 4}
{'短评内容': '房间旧了点', '短评打分': 5}
{'短评内容': '标间床有点小 外面环境不错', '短评打分': 3}
{'短评内容': '酒店大堂 外面环境不错 标准间床有点小', '短评打分': 3}
