{'descr': '地域好', 'star': 5}
{'descr': '实在是不咋地', 'star': 3}
{'descr': '这个位置特别好，在房间里面就可以看到对面的东方明珠，不过没有对面那么繁华              ', 'star': 4}
{'descr': '京东的服务就是好，比其他网站好', 'star': 5}
{'descr': '很棒，特别喜欢，下次 还会再来', 'star': 5}
{'descr': '啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦了啦咯啦咯啦咯', 'star': 5}
{'descr': '卫生比较差，牙刷是前台领的，没有独立吹风机，前台服务不太好，想再要个枕头打了电话就没下文了，性价比不高', 'star': 3}
{'descr': '能在繁华地段住到这么便宜的酒店，很知足了。基础设施都齐备，感觉性价比超高。', 'star': 3}
{'descr': '好好好好好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '住的7天连锁酒店算较差的一家了 东西很旧，空调跟拖拉机似的，对的起这个价格算了。', 'star': 2}
{'descr': '啦啦啦啦啦', 'star': 5}
{'descr': '出差这边一直住这里很棒的', 'star': 5}
{'descr': '出差这里一直住这里。还不错', 'star': 5}
{'descr': '定的是特价房 所以房间是内窗 空气不太流通 房间内没有吹风 电视机太老 还有雪花斑 其他还好', 'star': 4}
{'descr': '定的是特价房 所以房间是内窗 空气不太流通 房间内没有吹风 电视机太老 还有雪花斑 其他还好', 'star': 4}
{'descr': '还可以，就是没洗漱设备，其他不错，够暖和，水够烫', 'star': 5}
{'descr': '一般情况', 'star': 3}
{'descr': '还不错 设施都还好 可以12365', 'star': 5}
{'descr': '设施比较老旧，服务有待提高。', 'star': 4}
{'descr': '很不错很好已经不错了', 'star': 5}
{'descr': '不愧是连锁酒店，就是不错。', 'star': 5}
