{'短评内容': '交通很方便，市中心的酒店！', '短评打分': 5}
{'短评内容': '无', '短评打分': 5}
{'短评内容': '这次是陪女儿的到上外参加考试选的宾馆，宾馆环境还行，也比较方便，早餐品种较少，但还是挺干净的，味道也不错，宾馆总体还是不错的', '短评打分': 5}
{'短评内容': '酒店比较实惠，干净整洁', '短评打分': 5}
{'短评内容': '酒店老旧，但能住。', '短评打分': 4}
{'短评内容': '地方交通很方便，靠近赤峰路地铁站，但是设施有些老旧，老宾馆了，价格实惠，有早餐。', '短评打分': 4}
{'短评内容': 'OK', '短评打分': 5}
{'短评内容': '房间比较干净', '短评打分': 4}
{'短评内容': '酒店离赤峰路地铁站近，周围餐饮多，较便利。酒店有些陈旧，装修简易，还算整洁清爽，服务态度还不错。早餐较为简易，质量一般。', '短评打分': 3}
{'短评内容': '各方面都不错，经常预定', '短评打分': 5}
{'短评内容': '硬件不错，有三星标准，比经济连锁酒店强，就是外国人稍多。', '短评打分': 5}
{'短评内容': '凌晨才到的 前台很好 房间也干净', '短评打分': 4}
{'短评内容': '交通方便，服务蛮好，但设施比较陈旧了些。免费双早口味也还不错。总的来说，性价比值，比较适合到沪短期出差，尤其到“上外”听课、考试。', '短评打分': 4}
{'短评内容': '朝南的房间明亮干净，位置非常好，服务也很不错，性价比很高', '短评打分': 5}
{'短评内容': '环境很好，服务人员很专业', '短评打分': 5}
{'短评内容': '房间的设备都坏的：电视。灯。毛巾破旧。装饰陈旧。营业员态度比较好。', '短评打分': 1}
{'短评内容': '酒店设施还可以。就是陈旧了点。其他都还行。', '短评打分': 3}
{'短评内容': '离学校很近，交通便利，价格比较合理下次还会去住地', '短评打分': 5}
{'短评内容': '酒店配置略可，交通便利，自助早餐一般。酒店内住有好多上外考生，祝他们好运。', '短评打分': 5}
{'短评内容': '房间隔音效果好,住得很舒适,早餐丰富,服务周到,满意。', '短评打分': 3}
