{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '房间很大很干净，冬季热水不给力，放很久水温都一般，空调也很凉。其他很好，前台姐姐很热情。', '短评打分': 5}
{'短评内容': '榻榻米房间很大、就是冬天稍微冷了点、其他都很好。', '短评打分': 5}
{'短评内容': '没有24小时空调，水不热，住在最里面的房间，一早五点就被服务员吵醒，设施太老了', '短评打分': 3}
{'短评内容': '天气冷了不适合入住，中央空调过了晚上10点就不供暖了', '短评打分': 5}
{'短评内容': '酒店不错，就是客房稍微有点小，整体还可以', '短评打分': 5}
{'短评内容': '还行吧，不过入住的时候地板上发现了个玻璃渣。', '短评打分': 5}
{'短评内容': '差，榻榻米褥子薄的很，睡一夜，浑身痛。', '短评打分': 5}
{'短评内容': '符合我们的要求，带着小孩睡榻榻米不怕晚上掉下床。就是睡完感觉有点痒，不排除是卫生没有搞彻底，总体来说还是可以啦', '短评打分': 5}
{'短评内容': '大连第一次来，选上这家酒店，还是看上地理位置好，环境好。', '短评打分': 5}
{'短评内容': '榻榻米好硬啊，设施有些老旧，隔音不太好。', '短评打分': 4}
{'短评内容': '服务好环境挺好交通也方便。', '短评打分': 5}
{'短评内容': '靠近海边，出行还算方便', '短评打分': 4}
{'短评内容': '很好，很不错', '短评打分': 5}
{'短评内容': '还不错，满意！', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '离玩的地方不近不远，感觉很好！就是晚上游乐园有点玩，那天走累了想早点歇的！就是睡不着', '短评打分': 3}
{'短评内容': '还不错，总体感觉不错', '短评打分': 4}
{'短评内容': '没去上，但听说不错… 环境也不错………', '短评打分': 5}
{'短评内容': '位置好，我住的是榻榻米，能睡四个人，一家人住很划算的，离海边近', '短评打分': 5}
{'短评内容': '发现王国附近的酒店 这算不错的了 从各方面来说 都算', '短评打分': 5}
{'短评内容': '很不错的酒店，房间大，离金石滩轻轨站和发现王国都很近。除了早餐餐厅有些小之外，别的都比较满意！', '短评打分': 5}
{'短评内容': '进门觉得屋挺大的，孩子也很高兴，结果去厕所发现马桶漏水，黄黄的很恶心，给前台打电话楼层的服务员来确认，和前台说真的漏水，好像我会说慌似的。换房说没有，然后就不管了，我只好和服务员说看看能不能找人给修一下，说是可以，可是等我们晚上回到酒店还是在漏水，浴房也漏，呵呵 ，真是让我接受不了，也没有人管……晚上孩子说榻榻米太硬了，睡不好，我想着要床褥子应该可以的吧？结果第一遍打电话前台告诉我“等 等 吧，我', '短评打分': 1}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '虽然入住有许多小插曲，但整体都很好，服务态度都很亲切！酒店的床要比发现王国度假酒店的床软多了！', '短评打分': 3}
{'短评内容': '非常干净,离海边很近,酒店里还有吃饭的地方,味道很好,经济实惠', '短评打分': 5}
{'短评内容': '榻榻米挺独特，儿子很喜欢，早餐一般', '短评打分': 3}
{'短评内容': '不错到了就有房，很干净，房间也很大，喜欢上网的朋友记着自备', '短评打分': 3}
{'短评内容': '这家酒店还可以，距离发现王国和黄金海岸很近，步行也就10分钟左右！但是房间不能上网', '短评打分': 3}
{'短评内容': '离海滩很近，孩子很喜欢日式房间', '短评打分': 3}
{'短评内容': '酒店还不错，离发现王国挺近的。', '短评打分': 3}
{'短评内容': '1、服务态度相当的好，酒店的姜经理给人印象深刻。\n2、酒店早餐没的说，发现王国、金石滩吃了几天，没想到最终是酒店的早餐印象最好。\n3、酒店整体建筑并不是面向海的，小有失望，不过酒店为我挑选的面向发现王国的落地窗套房很满意，看着眼镜蛇过山车上人的疯狂游玩，听着他们的尖叫声，感觉很惬意，嘿嘿~\n4、酒店旁边就有飞行体验，绝对建议去玩，步行5分钟就到，飞行的感觉很好。\n5、步行到金石滩也就5分钟左右，沙', '短评打分': 5}
{'短评内容': '在金州旅游区，离海边和轻轨金石礁站均大约步行5分钟，各种设施和服务还可以，就是价位偏高。', '短评打分': 5}
{'短评内容': '酒店虽没有想象中的豪华,但是却很温馨,很干净.总体感觉还不错!', '短评打分': 3}
{'短评内容': '很好，干净舒适，靠海很近。', '短评打分': 3}
