{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '很好的', '短评打分': 5}
{'短评内容': '早餐比简单。周围吃饭比较方便。购物有购物广场。', '短评打分': 3}
{'短评内容': '一塌糊涂，无语', '短评打分': 1}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '好，很好，非常好，真不错', '短评打分': 5}
{'短评内容': '经济', '短评打分': 4}
{'短评内容': '非常划算，环境不错。', '短评打分': 5}
{'短评内容': '交通很方便！', '短评打分': 5}
{'短评内容': '就是房间有点小，然后别的都还行～吹风机坏了，很快就来换个新的，去楼下餐厅借勺子，餐厅的阿姨态度可好了，还一直提醒我小心地滑。如家的服务真是蛮好的～棒棒哒', '短评打分': 5}
{'短评内容': '性价比极高', '短评打分': 5}
{'短评内容': '环境还可以，就是隔音效果有点差', '短评打分': 4}
{'短评内容': '酒店服务非常好，房间卫生也很干净，非常值得推荐的一家酒店', '短评打分': 5}
{'短评内容': '一直住的这家，还不错吧', '短评打分': 5}
{'短评内容': '马路边，周边环境一般', '短评打分': 4}
{'短评内容': '性价比很好', '短评打分': 4}
{'短评内容': '一如既往的好，服务很好，温馨，价格实惠，位置方便吃饭买东西', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '不错，服务态度好，房间很干净，环境也安静，就是电视机不好，是老式的CRT显示器的，不是液晶的，还有，柜台上放的糖果已经化了，与其放这种劣质的糖果待客，还不如不放。', '短评打分': 5}
{'短评内容': ' 还不错', '短评打分': 3}
{'短评内容': '旁边有购物街，购物不错！还有很多地摊，有的衣服还挺不错', '短评打分': 5}
{'短评内容': '很干净 服务态度也不错 交通也方便 很舒服', '短评打分': 5}
{'短评内容': '位置还算不错，不过里面真的不怎么样，很简陋~~\n走道很长，拐来拐去的，房间超多，反正我进去之后感觉不好。', '短评打分': 1}
{'短评内容': '门脸小，里面大，住房间太小啦。。服务真的好', '短评打分': 5}
{'短评内容': '价格实惠，就是没窗户天亮了不知道，', '短评打分': 3}
{'短评内容': '特价房，位置很好，房间很大，浴室很给力，非常好~', '短评打分': 5}
{'短评内容': '环境不错，服务员态度好，周围环境好，吃东西还算方便，有逛街的地方', '短评打分': 5}
