{'descr': '房间非常小  格音相当差', 'star': 4}
{'descr': '环境非常好，但房间干净整洁度一般。虽然价格在当地不是最贵的，但和实际设施服务情况比，感觉还是贵了点。', 'star': 4}
{'descr': '环境非常好，但房间干净整洁度一般。虽然价格在当地不是最贵的，但和实际设施服务情况比，感觉还是贵了点。', 'star': 3}
{'descr': '地点环境都很好，价位也行！适合出游定。', 'star': 5}
{'descr': '设施陈旧 服务态度还可以。', 'star': 4}
{'descr': '很不错，也很干净，24小时有热水，就是设施稍显陈旧。', 'star': 5}
{'descr': '？？？？？？？？？？？？？一般一般', 'star': 4}
{'descr': '屋子小的可怜，地面贴的东西动了，差点没摔倒了！', 'star': 4}
{'descr': '挺好的，物美价廉，住很多回了', 'star': 3}
{'descr': '不好，设施很旧，早餐对付，很不满意。', 'star': 3}
{'descr': '不好。建议选择其他酒店。', 'star': 3}
{'descr': '房间很是一般，没有宽带，设施陈旧，水压特低，不能洗澡，价格虚高，强烈不推荐', 'star': 3}
{'descr': '一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般\n一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般\n一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般\n', 'star': 5}
{'descr': '一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般\n一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般\n一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般\n', 'star': 5}
{'descr': '如果说是旅馆或招待所更贴切点，一共五层楼没有电梯，每次开门都要叫服务员来开，卫生一般了，设备更一般，反正暑期呼伦贝尔的房价都高的离谱，当地人说都磨了七个月的刀了···············', 'star': 1}
{'descr': '如果说是旅馆或招待所更贴切点，一共五层楼没有电梯，每次开门都要叫服务员来开，卫生一般了，设备更一般，反正暑期呼伦贝尔的房价都高的离谱，当地人说都磨了七个月的刀了···············', 'star': 1}
