{'短评内容': '非常好，早餐很丰盛', '短评打分': 5}
{'短评内容': '房间大 环境不错', '短评打分': 5}
{'短评内容': '酒店很好，下次还来', '短评打分': 5}
{'短评内容': '早餐不错，离吃饭和商场近', '短评打分': 5}
{'短评内容': '非常好，比较满意', '短评打分': 5}
{'短评内容': '酒店很高端 各种服务设施 服务态度都很好 值得推荐～', '短评打分': 5}
{'短评内容': '年底最后一次出游来了厦门，可能是圣诞节快到了，酒店很多地方都布置得很有节日氛围。就地理位置来说，酒店在海边，距离曾厝垵、椰风寨景区都很近，距离中山路有点儿远了，不过酒店上午有提供一趟免费巴士送到中山路附近，还是比较便捷的。就住宿环境来说，酒店设施设备较齐全并且餐饮选择性比较多，健身房泳池什么的都有配备，应该是天冷了所以室外泳池都没有开放，房间比较中规中矩，但亮点是阳台上看海景很赞！就服务来说，酒店', '短评打分': 5}
{'短评内容': '之前打过电话给酒店了解状况，预定部的女士很详细热情的给我介绍了房型和价位，最后上网看了下照片，选择了她们推荐的海景亲子套房。这种房型价位很优惠，只比海景房贵了几十块但是早餐多了两份，刚好适合我们一家三口。房间也真心不错，套房面积很大，入门是还孩子住的客厅，有配电视和独立卫生间，再往里走是卧室，卧室配有干湿分离的卫生间和衣帽间，落地窗走出去是能够将大海一览无余的阳台。虽然客厅和卧室没有门，但是中间的', '短评打分': 5}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '出差可以选择！', '短评打分': 4}
{'短评内容': '还不错，有点贵', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '可以看到海', '短评打分': 5}
{'短评内容': '五星级的收费，下半夜两点办理手续办了十分钟，这个我可以接受，因为那接待的实习生，这个我觉得没有问题，到了房间那个牙膏是啊妹牌的那味道简直是不能接受，害得我早上不用牙膏，想问问酒店的采购你收了多少回扣，里面的易耗品质量问题严重，真心真意以后不住了。', '短评打分': 2}
{'短评内容': '代公司定', '短评打分': 5}
{'短评内容': '还好还好好好好好还好好好', '短评打分': 5}
{'短评内容': '酒店很好，满意。', '短评打分': 5}
{'短评内容': '总体不错', '短评打分': 5}
{'短评内容': '非常棒的酒店，入住很方便 也很舒适。如果能有酒店私人沙滩就完美了', '短评打分': 5}
{'短评内容': '不错，很安静，很干净。住起来非常舒服。就是有些贵了', '短评打分': 5}
{'短评内容': '非常满意 环境优美 服务很好 卫生间很大 游泳池很棒', '短评打分': 5}
{'短评内容': ' 酒店环境和设施不错，但人气不足。晚餐厅就餐的廖廖无几。可能是刚开业的原因吧。', '短评打分': 3}
{'短评内容': '环境不错  地理位置挺好   房间内布置整洁 干净 大方 ！\n如果有想游泳的朋友记得带泳帽和泳衣 。提几点意见\n1.浴室沐浴的地方冲澡 水容易流到外面  直到卫生间 我好几次都差点滑倒了\n2.浴室门拉手的位置 比较容易搁伤手臂  建议打磨做圆润处理 \n3.既然是海景房 我觉得阳台上的那个椅子是不是应该改进一些 还有桌子 看着太简单了 没感觉\n4.如果是双人入住 我觉得还是送双份早餐吧···别这么坑', '短评打分': 5}
{'短评内容': '会议中心服务不够五星级标准.', '短评打分': 3}
{'短评内容': '舒适安静，工作人员热情亲切。但周边生活设施少。离中山路打车需四五十元。总体推荐', '短评打分': 5}
{'短评内容': ' 酒店相当不错，五星级设备和服务，住的15楼豪华海景大床房，带一个大阳台舒服，远眺大小金门岛，灵个，前面就是厦门香山游艇码头，我给评价五颗星', '短评打分': 3}
{'短评内容': '唯一欠缺的是餐厅不多,其他一切都很满意!', '短评打分': 5}
{'短评内容': '酒店环境很好，很安静，离市中心稍远。\n房间大小适中，卫生间很大。我定的房间带阳台，虽不是海景，但看出去也不错。\n酒店服务不错。就是原定接机的因为我们晚点而没有等，稍有遗憾。', '短评打分': 5}
{'短评内容': '酒店很棒，房間很舒適，工作人員都很熱情，下次廈門行一定再次入住!', '短评打分': 3}
{'短评内容': '订的是海景房。房间很大，卫生也很好。再阳台上看风景真是太爽了。酒店服务也很到位！如果下次再去厦门。我还会住这里。酒店离观音山沙滩很近。打车10块钱就到了！', '短评打分': 5}
{'短评内容': '帮公司领导订的,领导入住后,挺满意的.呵呵...推荐!', '短评打分': 5}
{'短评内容': '非常不错的酒店 靠海。给升级了海景套房，非常的舒服 酒店硬件很好 马桶和浴缸都是带自动冲水 按摩等等 每天都有水果。泊车等也很贴心到位。推荐推荐', '短评打分': 5}
{'短评内容': '很舒服滴。只是游泳池晚间只开放到9：00，真心早了些！还有机场接送，是定班车，有固定发车时间的，是否合适搭乘，就看你航班时间的节点了，一般不堵车情况下路途30分钟绰绰有余啦。', '短评打分': 5}
{'短评内容': '酒店外观很有特色像个大帆船\n有接机服务，省去了下飞机以后排队打的痛苦\n房间硬件水平五星级水平，房间有提供iPhone的底座，这个很好，把手机插上，放上音乐，坐在房间上的阳台上喝喝功夫茶，吃吃水果，吹吹风相当享受。\n浴缸不错，够大，浴盐就一包有点少。就是酒店没提供泡澡的一次泡澡膜用的膜。\n酒店的服务员都很有礼貌看到你都会跟你打招呼，门口的服务员看你出门还会主动问你需不需要叫出租车，而且上车后会给你一', '短评打分': 5}
