{'短评内容': '葫芦是时候好好考虑考虑了很久很有道理滴的流走！？！在这儿等着看电视时记得填写我俩卡里打不到我这边看完', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '物有所值 ，一进门，服务员就打招呼，服务很好，碰到也会主动问好，房间也不错，设施简约大方，很好，整体显得干净明亮：躺在床上，床垫软硬适中，睡起来很舒服：被套摸起来也很舒服，床单铺的很整齐，一看就是更换过的，布草好，卫生好；洗漱间很敞亮、干净，环境好；热水很足，也很热，淋浴好；封包浴巾设计很赞，避免服务员拿来拿去弄脏了。房间床头就贴了WIFI上网提示贴，方便上网，网速非常好；房内很安静，隔音也很好。', '短评打分': 5}
{'短评内容': '卫生好，每天都打扫，布草好，每天更换洗涤，淋浴好，十秒速热，隔音好，无杂音。wifi好，网速流畅。看视频，玩游戏无压力，非常值得推荐', '短评打分': 5}
{'短评内容': '酒店环境不错 房间干净整洁 服务态度好 无线网络速度快 这是来青岛住过最好的酒店 会常来的', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '挺好的，还可以呀', '短评打分': 5}
{'短评内容': '环境一般吧，服务员态度很', '短评打分': 5}
{'短评内容': '还不错，当天飞机晚点，到店已经很晚了，服务人员还是很热情的接待了我们。就是预定的时候没注意房间是没窗的，第二天加钱换了个带窗的。一共住了3晚，还可以。', '短评打分': 5}
{'短评内容': '房间还可以吧', '短评打分': 5}
{'短评内容': '还可以 总体来说', '短评打分': 5}
{'短评内容': '住的挺舒服的，就是没有窗户，下次来青岛还住这里。', '短评打分': 5}
{'短评内容': '卫生真是……', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '比较安静的住宿环境，性价比高，适合商务出差人士。', '短评打分': 4}
{'短评内容': '毛巾没换', '短评打分': 4}
{'短评内容': '价格实惠，推荐入住', '短评打分': 5}
{'短评内容': '好，价格实惠，房间干净舒适，推荐入住', '短评打分': 5}
{'短评内容': '之前来过一次，发现改善了好多！价格实惠，服务态度好，有一些小要求都办到了！下次还会再来！', '短评打分': 5}
{'短评内容': '位置明显，朋友代订，一眼就看到了，很好找.房间很不错，干净舒适，价格实惠，服务也很好，家一样的感觉.', '短评打分': 5}
{'短评内容': '没有牙具没有牙具啊！没窗，只有走廊上有吹风机', '短评打分': 5}
{'短评内容': '还可以吧，跟想象的差不多，还行', '短评打分': 4}
{'短评内容': '总的来说还不错！~', '短评打分': 4}
