{'短评内容': '不错，卫生间和冲凉房需要改进，设施有些陈旧。', '短评打分': 4}
{'短评内容': '很不错的酒店，每次出差都选这里', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '很好很好很好很好', '短评打分': 4}
{'短评内容': '酒店网络用不了服务员说客人电脑有问题我们连续换两台都不行酒店根本不管服务态度极差在也不住了', '短评打分': 3}
{'短评内容': '已经住过几次了 很不错的宾馆  挺干净的...很不错 以后还会来的...', '短评打分': 5}
{'短评内容': '很不错...值得入住...房间挺不错的  住了两晚 感觉还行...', '短评打分': 5}
{'短评内容': '和不错的酒店 已经住过几次了  条件还不错  挺干净的...', '短评打分': 5}
{'短评内容': '酒店还可以，但是配套设施不齐全，没有合适的吃饭的地方，位置有点偏，房价相对来说还是有点贵。', '短评打分': 1}
{'短评内容': '内部设施环境还不错 很干净...第一天晚上热水不很热 第二天很好 细节方面还有待于提高 首先第一天到了没有预留房间 开房的时候还错把单人房开成电脑房 续房也没有发现  结账的时候才发现 耽误了很长时间 差点耽误行程 不过最后按照单人房的房价结账 处理还算满意...如果细节更好了 下次还会入住的 毕竟内部环境设施都不错 总体来说 比较满意 可以入住...', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '很不错 很干净 唯一的缺点就是浴室有点小...床很舒服 价钱也合适 服务也还算可以 交通业比较便利...比较安静 不错的宾馆  值得入住...', '短评打分': 5}
{'短评内容': '很不错 很干净 唯一的缺点就是浴室有点小...床很舒服 交通业比较便利...比较安静 不错的宾馆  下次还会入住...', '短评打分': 5}
{'短评内容': '很不错的酒店  环境很好  也很干净...唯一的小缺点是浴室有点儿小 价钱也还可以...', '短评打分': 5}
{'短评内容': '怎么结的帐，明明是477，两天半，怎么来个140，哪来的那个数？', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '\n房间满干净，服务人员满客气，对周边情况介绍很好，只是挨近马路一边的躁声大些', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '硬件设施不错，就是半夜洗澡的时候水温不定。', '短评打分': 5}
{'短评内容': '房间无空调，房间内设施也比较老旧，有异味。', '短评打分': 1}
{'短评内容': '酒店设备和卫生挺不错，相比之下服务态度就太差强人意了', '短评打分': 3}
{'短评内容': '住了4天，感觉还行。一进门第一印象比较干净，价格也能接收，当然便宜点更好。', '短评打分': 5}
{'短评内容': '出行方便，经济实惠。第一次从网上订比想象的好些。', '短评打分': 5}
{'短评内容': '地理位置不错，挺方便的！房间也可以，价格上还是有些偏高了，希望能再优惠点！\n', '短评打分': 5}
{'短评内容': '酒店周边环境不错，房间里布置的比较简单，采光效果不错，比较明亮，卫生条件不错，感觉还可以', '短评打分': 5}
{'短评内容': '酒店附近靠近火车站，打车或者座公交都很方便，房间里蛮干净的，服务也还可以，住着比较舒服', '短评打分': 5}
{'短评内容': '房间很大很宽敞，硬件设施齐全，也很新，装修的比较典雅，住着蛮温馨的，服务很好周到热情，住宿环境总体感觉不错', '短评打分': 5}
{'短评内容': '很不错，卫生算是很干净，而且服务还好，不过就是电视是闭路电视，不是机顶盒的，还好了', '短评打分': 5}
{'短评内容': '位置不是很好 房间内环境很好 很温馨 设计很有特点 总体上很好的啦', '短评打分': 5}
{'短评内容': '酒店环境好，交通便利。房间干净舒适，推荐！', '短评打分': 5}
{'短评内容': '房间打扫的很干净，服务也很周到，价格也比较实惠，感觉住的挺划算。', '短评打分': 5}
{'短评内容': '白天采光很好，晚上灯光很好，显得房里很明亮，卫生也很干净。', '短评打分': 5}
{'短评内容': '性价比比较好.位置比较好比较方便我出行办事.其它各方面也不错.', '短评打分': 5}
{'短评内容': '周边环境挺好的，吃饭很方便，交通也很便利。', '短评打分': 5}
{'短评内容': '空间还可以，卫生打扫的很干净，设施也比较完善。', '短评打分': 5}
{'短评内容': '就是不太好找', '短评打分': 5}
