{'短评内容': '房间装修有点旧了。周边环境不错。吃喝玩乐都比较方便。', '短评打分': 4}
{'短评内容': '床床床，最要的东西说三遍，床很舒服，早餐很棒，房间干净卫生，墙面上有多狗尾巴草，这类粉刷效果不错，还有免费水果哦。', '短评打分': 4}
{'短评内容': '来乐清出差，经济型酒店首选，房间干净卫生，床睡的很舒服，还有水果送到你的房价哦。早餐丰富可口，感觉有点像川菜，味道不错。', '短评打分': 4}
{'短评内容': '酒店总体还可以，没看到有停车场的！早餐就是大众化的，绝对能吃饱，不过餐厅的阿姨就从来没见笑过，给欠他500万似的', '短评打分': 5}
{'短评内容': '还不错吧！', '短评打分': 5}
{'短评内容': '，。。，。。。。。，', '短评打分': 5}
{'短评内容': '综合一般，房间设施不太合理。尤其书几乎没有。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '方便快捷', '短评打分': 5}
{'短评内容': '前台需要与时俱进，不能固定的程序化，多一些笑容，不要搞得像客人都欠你钱一样。那样有意思吗？随着年纪越来越大，你会慢慢理解的。', '短评打分': 5}
{'短评内容': '位置比较好，服务一般般，早餐太简单。', '短评打分': 5}
{'短评内容': '位置比较好找，早餐太简单，服务一般。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '乐清市区不大 酒店卫生不错   交通便利', '短评打分': 4}
{'短评内容': '真的很不错就是 前台不好找在王子厨房后面 设施也很新 就是地毯比较脏 靠马路很吵的', '短评打分': 4}
{'短评内容': '还可以，没有异味，房间还算比较大！~~~~~~~~~', '短评打分': 5}
