{'descr': '总体不错', 'star': 5}
{'descr': '只是有点不隔音，其他都不错', 'star': 5}
{'descr': '距离西里公交站四五百米，交通还算方便。麻雀虽小五脏俱全，楼下有吃饭的地方，但是隔音不太好，楼道说话听的很清楚。', 'star': 5}
{'descr': '总体来说还是不错的，房间稍微有点小，不过设施一应俱全。房间靠着窗子，下午还有阳光。', 'star': 5}
{'descr': '房间挺好，物美价廉。东西一应俱全，还送了两瓶矿泉水！位置在水产西街，到石家庄北站坐车四站路到，交通还是比较方便的。周边大型商超有点少，但正因为如此酒店比较清静。小型零售店、饭店有一些，买东西吃饭还是有地方。', 'star': 5}
{'descr': '每次都住这里 感觉很好 出去有超市 挺干净 而且安静 是居民区', 'star': 5}
{'descr': '房间较为紧凑，卫生还可以，快捷酒店的标准，设施也齐全，简单住一下还是不错的，经济实用，楼下吃饭也挺方便', 'star': 4}
{'descr': '不错，很好', 'star': 5}
{'descr': '价格还可以，就是电视频道太少 早上厕所反臭味这点很不好 空调有点不管用冻感冒了，希望有带改善', 'star': 3}
{'descr': '房间不大，有窗，简单住一下还是可以的，属于经济实惠型的快捷酒店，在附近算是性价比比较高的，要求不太太高的可以考虑', 'star': 4}
{'descr': '不错，以后有机会还会选择这里，旁边到晚上还有些小吃', 'star': 5}
{'descr': '就价格而言，在石家庄性价比算高的了， 就是洗澡水不太热，虽然是夏天，天气稍微凉快点，有点洗冷水澡的感觉', 'star': 5}
{'descr': '挺好，服务员都很真诚，房间袖珍但很干净，也很安静', 'star': 5}
{'descr': '很温馨，很卫生，很不错', 'star': 3}
{'descr': '蛮温馨的酒店，酒店前台和网络服务师都很客气，服务态度很好，过几天我还会来石家庄，到时候一定还去住.....', 'star': 3}
{'descr': '挺好的 ，干净整洁，房间虽小，什么都有，除了一次性物品', 'star': 5}
{'descr': '一直比较喜欢百时的装修风格，很不错！ 适合经常出差的朋友们', 'star': 5}
{'descr': '很干净，很袖珍，高低床很不错！前台妹妹很耐心，地方其实也很好找，总之非常不错的住房体验。', 'star': 5}
{'descr': '不错的酒店，去石家庄都住哪儿的，还行！！！！！', 'star': 5}
{'descr': '房间小点，其他还是不错，住了几个晚上咯！！！！！！', 'star': 5}
{'descr': '酒店总体感觉不错，蛮干净的，就是房间稍微有点小，要是能提供拖鞋就更好了', 'star': 3}
{'descr': '经济实惠，服务员态度很好 就是不太隔音事宜1-2天短期居住', 'star': 5}
{'descr': '房间很干净，服务也很好！以前住过的，才来网上预定的 ', 'star': 5}
{'descr': '住进来了4天了，还没有走..........', 'star': 5}
{'descr': '很干净，很安静，就是拖鞋和洗漱用具要自购', 'star': 3}
{'descr': '第二天定的房子两天，结果前天说没有，害的我打了几个电话，浪费时间', 'star': 5}
{'descr': '感觉不错，干净、舒适，房间装修很温馨，蓝色的色调，上电梯必须刷房卡，安全性比较高！', 'star': 5}
{'descr': '还行吧，住的单人b，房间太小咯，也不怎么干净，不过价钱在那，到了听说可以用店家的优惠券减30，可惜网上没有。', 'star': 3}
{'descr': '很不错，很干净。', 'star': 3}
{'descr': '房间虽然小点但很干净，交通方便，适合出差。', 'star': 5}
{'descr': '就是因为别人推荐才去的 不过去了很失望  挺脏的 墙上都是脚印！纱窗上都是灰！', 'star': 1}
{'descr': '还不错的，就是房间太小，去第二次了！！！！', 'star': 5}
{'descr': ' 第二次住了，网速有点慢，不过房间还是比较干净的。', 'star': 3}
{'descr': '比较小，一个人住还不错，多了就有点太小了，不隔音！！！', 'star': 5}
{'descr': '有点小  晚上有蚊子 拍死了三只蚊子  竟然还有蚊子在耳边嗡嗡  而且也不给拖鞋  没有浴巾  但是就这个价来说 还可以', 'star': 5}
{'descr': '总体挺好，房间角落里卫生还有待提高，洗澡渗水太慢  ', 'star': 5}
{'descr': '价格实惠，房间小点但很干净，服务热情。要有拖鞋就完美了。', 'star': 5}
{'descr': '服务，价格都很满意,比较整洁，比较舒适，日常服务比较规范，是比较好的选择\n', 'star': 5}
{'descr': '总体感觉还好，就是房间有点小。房门和地面有一个较大的缝隙，晚上会有光照进来。隔音性也不是很理想，任何时候都能听到激战的声音，场面极其壮烈啊。酒店还不提供一次性用品（拖鞋、牙具之类的），需要的话还得购买，这个有点让人不是很开心。', 'star': 5}
{'descr': ' 房间比较小，没有拖鞋和牙刷，不过卫生间、床单和被子都比较干净。', 'star': 3}
{'descr': '第二次入住不错，依旧服务周到赶紧。下次继续', 'star': 5}
{'descr': '房间小，卫生条件有待提高', 'star': 3}
{'descr': '酒店设施还好，房间实在小整体还算干净', 'star': 3}
{'descr': '酒店设施还好，房间实在小整体还算干净', 'star': 3}
{'descr': '服务，内部设施，价格都很满意，不错，出行也比较方便', 'star': 5}
{'descr': '服务，内部设施，价格都很满意，不错，出行也比较方便', 'star': 5}
{'descr': '这家酒店设施都比较简单，但比较整洁，比较舒适，日常服务比较规范，是比较好的选择\n', 'star': 5}
{'descr': '这家酒店设施都比较简单，但比较整洁，比较舒适，日常服务比较规范，是比较好的选择\n', 'star': 5}
{'descr': '酒店整体环境和房间布置都让人感到比较舒适，性价比很高', 'star': 3}
{'descr': '酒店整体环境和房间布置都让人感到比较舒适，性价比很高', 'star': 3}
{'descr': '还不错，之前在 火车站店住过俩晚上，想对火车站那边的，就是比车站便宜十元，没有火车站的隔音效果好，不过相对别的酒店来说性价比挺高的，服务态度不错，比车站的好。。。。赞个4.8分吧 呵呵', 'star': 5}
{'descr': '还不错，之前在 火车站店住过俩晚上，想对火车站那边的，就是比车站便宜十元，没有火车站的隔音效果好，不过相对别的酒店来说性价比挺高的，服务态度不错，比车站的好。。。。赞个4.8分吧 呵呵', 'star': 5}
{'descr': '酒店位置较为安静，房间简洁干净，很不错的选择', 'star': 5}
{'descr': '酒店位置较为安静，房间简洁干净，很不错的选择', 'star': 5}
{'descr': '挺好的啊 卫生环境好连锁的还是很好的，挺有趣的', 'star': 5}
{'descr': '挺好的啊 卫生环境好连锁的还是很好的，挺有趣的', 'star': 5}
{'descr': '客房布置简洁紧凑但不显简陋,给人印象很好。但夜间住宿环境不太安静,外边有一定的汽车噪声,里边碰上旁边房间两个年轻外国朋友高分贝', 'star': 3}
