{'短评内容': '环境不怎么样', '短评打分': 3}
{'短评内容': '房间设施很烂很糟糕。', '短评打分': 2}
{'短评内容': '设备较陈旧，因在马路边上，比较吵杂，不过旁边就是商业街，挺方便', '短评打分': 3}
{'短评内容': '不错的一次，就是洗澡水不是很热，希望可以改善', '短评打分': 3}
{'短评内容': '太久了，忘记好不好了。', '短评打分': 4}
{'短评内容': '房间卫生可以，整体感觉良好', '短评打分': 4}
{'短评内容': '一般一般一般一般一般一般一般一般一般', '短评打分': 3}
{'短评内容': '经济实惠，卫生一般，周边较吵', '短评打分': 3}
{'短评内容': '经济实惠，卫生一般，周边较吵', '短评打分': 3}
{'短评内容': '交通比较方便', '短评打分': 4}
{'短评内容': '不错，离步行街很近，很方便。。里面的阿姨人很热情，不厌其烦的给我们调房间。。携程优惠不少，以后还会继续用。。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '只能说一般般', '短评打分': 4}
{'短评内容': '还好吧，设施略显陈旧', '短评打分': 4}
