{'descr': '很好', 'star': 5}
{'descr': '非常感谢', 'star': 5}
{'descr': '还行', 'star': 3}
{'descr': '还行', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '我觉得一般', 'star': 3}
{'descr': '服务很好，近地铁。容易找。', 'star': 5}
{'descr': '酒店住了不止一次了，不知道为什么这一次水一直不热，全放热水也就37/38度，这不是开玩笑呢么！中央空调，完全不热，什么鬼东西。被子也不干净，床单破个洞，绝不会住！绝不再定！住过的最差的酒店，没有之一！！！', 'star': 1}
{'descr': '住的最贵的，还可以', 'star': 5}
{'descr': '住的最贵的，房间倒是还可以', 'star': 5}
{'descr': '房间挺不错 干净卫生 屋内整洁  大床好舒服嘎嘎  窗户特大特给力嘎嘎  门口停车那是相当方便了 挺爽啊   大厅里那金龙鱼挺好玩', 'star': 5}
{'descr': '灯光太暗', 'star': 4}
{'descr': '价格低，还可以吧，呵呵', 'star': 3}
{'descr': '因为便宜也靠近人民医院，不然一出门就看到垃圾附近环境很差', 'star': 2}
{'descr': '环境不错，卫生整洁。', 'star': 3}
{'descr': '环境不错', 'star': 5}
{'descr': '房间布置的不错，环境挺好的，地理位置不错，容易找到，离五爱市场挺近的', 'star': 5}
{'descr': '房间小，设施较简，周边的交通也不太方便。但没有办法，貌似附近的宾馆较少', 'star': 1}
{'descr': '房间小，设施较简，周边的交通也不太方便。但没有办法，貌似附近的宾馆较少', 'star': 1}
{'descr': '挺好的不错  吃饭也不错  服务也很好 很卫生', 'star': 5}
{'descr': '挺好的不错  吃饭也不错  服务也很好 很卫生', 'star': 5}
{'descr': '地理位置优越，环境也不错服务态度也不错。临近五爱商业街吃饭逛街都很方便。公交也很多。', 'star': 5}
{'descr': '地理位置优越，环境也不错服务态度也不错。临近五爱商业街吃饭逛街都很方便。公交也很多。', 'star': 5}
{'descr': '酒店环境一般，无早餐，服务一般，价格偏高！', 'star': 1}
{'descr': '酒店环境一般，无早餐，服务一般，价格偏高！', 'star': 1}
{'descr': '各方面还可以，就是房间小了点', 'star': 3}
{'descr': '各方面还可以，就是房间小了点', 'star': 3}
{'descr': '价格可以，房间干净，只是太小了点，态度也可以', 'star': 5}
{'descr': '价格可以，房间干净，只是太小了点，态度也可以', 'star': 5}
{'descr': '＋酒店内部环境还可以，双标挺小，主要卫生间很小', 'star': 3}
{'descr': '＋酒店内部环境还可以，双标挺小，主要卫生间很小', 'star': 3}
{'descr': '房间的打扫不彻底，床下仍然有杂物，实在是很令人遗憾；床垫不舒服，只要一动就有声响，实在是无语了', 'star': 1}
{'descr': '房间的打扫不彻底，床下仍然有杂物，实在是很令人遗憾；床垫不舒服，只要一动就有声响，实在是无语了', 'star': 1}
{'descr': '房间设施较新，但房间不够宽敞。总的来说很不错。', 'star': 5}
{'descr': '房间设施较新，但房间不够宽敞。总的来说很不错。', 'star': 5}
{'descr': '不错 价钱适中 环境不错 价钱适中 环境不错 价钱适中 环境不错 价钱适中 环境', 'star': 5}
{'descr': '不错 价钱适中 环境不错 价钱适中 环境不错 价钱适中 环境不错 价钱适中 环境', 'star': 5}
