{'短评内容': '多次入住。', '短评打分': 5}
{'短评内容': '偶然用京东，还是比较便宜的。黄鹤楼香烟五天', '短评打分': 5}
{'短评内容': '给朋友订的！办入住手续时告知免费更换成一房一厅套房，真的很意外！房间望湖景，空间够大，很舒服，很舒服！', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '都很好', '短评打分': 5}
{'短评内容': '早餐很不错，安静', '短评打分': 5}
{'短评内容': '此酒店所处位置空气清新，配套设施齐全，房间面积很大', '短评打分': 5}
{'短评内容': '小孩子很喜欢在这样的环境玩。', '短评打分': 5}
{'短评内容': '空间很大，洗手间里也有电视可看，感觉很舒服。', '短评打分': 5}
{'短评内容': '楼下中餐厅很实惠，西餐厅很多人。床很舒服，服务员也到位，买含有活动的会更好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '不错，很清净，只是有点霉味。', '短评打分': 5}
{'短评内容': '环境很好，服务周到。', '短评打分': 5}
{'短评内容': '儿子最爱的酒店，有帐篷和儿童手工等。吃饭的餐厅也不错，可以在里面呆一天', '短评打分': 5}
{'短评内容': '环境一般！', '短评打分': 4}
{'短评内容': '今天顺利入住增城恒大酒店。在西餐厅就餐时，把随身携带的包包忘在了西餐厅。包里面有身份证港澳通行证，还有现金和若干张信用卡银行卡。还有手机等贵重物品。我们都吓坏了。还好有西餐厅的钟经理等人把我们的包包捡到了，并保存好，并亲手交到我们手上。谢谢这么好的酒店，这么好的餐厅，这么好的员工！感谢你们。', '短评打分': 5}
{'短评内容': '还不错，住几次了，给好评呗！', '短评打分': 5}
{'短评内容': '再一次来过结婚周年，还是依旧好服务！感谢为我们升级套房！', '短评打分': 5}
{'短评内容': '很不错的酒店，自助餐品种一般，不过服务人员很不错，前台入住时时间花得长了些，不过在酒店看到绿色生活套票才688，携程竟然卖789， 比较坑爹啊。酒店人员很热心，停车时孩子粑粑急着抱孩子忘记取消应急灯，导致电瓶电量不足，CHECK OUT 时车子发动不了，路过的四个酒店服务人员很热心的帮忙推车推了3次，累的够呛，虽然还是没有打着火，不过很感谢他们的帮忙，想给他们些钱喝茶，他们也婉拒了，真是要好好赞一', '短评打分': 5}
{'短评内容': '还好吧，买的是大床房，但是前台说是双床，后来发现是代理商的问题，最后还是给了大床房，还有婴儿床，挺好的。自助餐挺好吃。', '短评打分': 5}
{'短评内容': '顶级豪华酒店，背山面湖哦！酒店推出的套餐性价比超高，配合金碧辉煌的装修，简直是超豪华享受，四星级的价格，超五星的体验！周末度假好选择！', '短评打分': 5}
{'短评内容': '周边环境一般，孩子可以活动的地方很少，陶土课简直无语', '短评打分': 5}
{'短评内容': '风景真的很美，空气很好，打开窗子就可以看到湖水、沙滩，卫生很干净，老板也很热情地招待我们，下次还会再来的！', '短评打分': 5}
{'短评内容': '非常好的一间酒店，一进房间窗帘自动拉开，很气派。厕所是toto的，很高级。以及有防雾电视。对于国内品牌，恒大算是数一数二了，不过如果在细节的设计上，参考一下世界级连锁酒店，相信会更优秀！下次还会入住。', '短评打分': 5}
