{'descr': '核心不好 环境还行 淋浴坏的', 'star': 4}
{'descr': '哪有停车场，就门口五个车位。', 'star': 4}
{'descr': '干净卫生，有的服务员服务好，有的不好，看运气了', 'star': 5}
{'descr': '很好 很便宜 很干净 ', 'star': 5}
{'descr': '出行方便，旁边有家乐福', 'star': 5}
{'descr': '早餐没吃，房间家庭房，挺宽敞。飞机晚点到临时住，条件可以，三八广场附近，地理位置不错，附近有超市。就是地面有门缝塞的小广告，是不是可以提高一下安保！', 'star': 5}
{'descr': '总体不错  可以预定', 'star': 4}
{'descr': '附近有夜总会，晚上房间隔音较差', 'star': 3}
{'descr': '房间干净，设施齐全', 'star': 5}
{'descr': '房间很干净，床也很舒服！！', 'star': 5}
{'descr': '环境不错，下次来还会入住', 'star': 5}
{'descr': '第二天住了', 'star': 4}
{'descr': '不错，下次还住', 'star': 4}
{'descr': '还可以在市中心比较方便。', 'star': 5}
{'descr': '位置服务以及设施都不错，关键这个价格很便宜，出差住两晚还不到住一晚的价格，值得推荐。', 'star': 5}
{'descr': '价格很实惠，其实就在闹市区后面的一个巷子里。位置不错。', 'star': 5}
{'descr': '房间挺干净，电视出乎意料的老旧台很少，遥控有个键坏着不能用。附近在盖楼，吵，环境有些偏。别的都还不错，当然房价也很高。', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '很好就是 服务态度不好  到那都不理我们', 'star': 5}
{'descr': '该酒店的卫生不错，服务态度也很好，早餐也可以，就是临街的房间有点吵！！！', 'star': 5}
{'descr': '圆床不舒服，环境还可以，隔音太差，晚上楼下KTv很吵人。价格还可以。', 'star': 5}
{'descr': '不多说什么，隔音一般，服务不错，我住时楼上装修，很惨，还有就是我入住特价房怎么了，那个服务员那个音调，强调我不该住么？我很不过瘾，虽然花钱升级了，但是心里还是不舒服。', 'star': 5}
{'descr': '帮朋友定的，之前住过，位置很好，周围都很方便~旺季房源很紧张啊~', 'star': 5}
{'descr': '总体不错，就是黄金旅游季节，价格高啊！大厅没有空调，休息一下，挺热的！', 'star': 5}
{'descr': '还不错 ....房间相对干净.....周围交通方便..', 'star': 5}
{'descr': '电视太破了没有电脑', 'star': 3}
{'descr': '酒店环境确实不错！\n不过给我安排的那个房间，我是真心不满意，窗户那还横着一根承重柱子，觉得很不舒服，第一天要换的时候跟我说没房间可换，于是我就一直忍着！收着大床房的钱，享受不到大床房应有的待遇，委屈啊！\n', 'star': 5}
{'descr': '洗澡水没那么热', 'star': 3}
{'descr': '全国连锁，风格都差不多。全国连锁，风格都差不多。全国连锁，风格都差不多。', 'star': 5}
{'descr': '非常满意，环境不放，房间够大。也很干净，下次还会去的', 'star': 5}
{'descr': '很不错的酒店，设施什么的还不错，性价比很高，推荐入住', 'star': 5}
{'descr': '特价房间有点朝 没有窗户 不过有空调还好 地方不错 旁边就有超市和夜店', 'star': 3}
{'descr': '酒店房间干净整洁 洗漱用品齐全 免费矿泉水2瓶 就是房间隔音不是很好', 'star': 3}
{'descr': '环境很好，房间设施也很好、很干净，价钱也合理，推荐哦', 'star': 5}
{'descr': ' 地理位置好', 'star': 3}
{'descr': '还行  室内卫生条件可以  整体来说不错  ', 'star': 5}
{'descr': '环境一流，价位合理，出入方便，服务热情！下次还会再来！', 'star': 5}
{'descr': '帮朋友订的，朋友老满意了，老好了。下次外地来朋友，还给订这里。', 'star': 5}
{'descr': ' 很不满意 去了没房', 'star': 3}
{'descr': '环境很满意', 'star': 3}
{'descr': ' 洗澡水不是很热', 'star': 3}
{'descr': '现在莫泰酒店越来越差了 真不如汉庭做的好 服务差 硬件差 房间晚上噪音很大 酒店和旁边的KTV完全是不隔音的 而且我是大床房 结果给我安排圆床房 很不满意', 'star': 1}
{'descr': '总体还不错，交通满方便的，环境也不错，就是隔音效果一般，一大早就能听到外面的声音，订的早便宜啊', 'star': 5}
{'descr': '房间还不错，价格高点没有以前优惠', 'star': 3}
{'descr': '第一次去这家酒店，服务员太少，我去的时候就三个人在登记，我们还是等了十几分钟，这种效率太低了，我去其他快捷酒店都比这快的，还有就是还在装潢，有点乱，其他读还不错，干净 便捷。', 'star': 5}
{'descr': '很好，很满意！性价比很高！环境也很好！帮朋友定的，朋友说不错。                                                                  ', 'star': 5}
{'descr': '房间不错~服务也挺好，就是电视小，台挺少的', 'star': 5}
{'descr': ' 不错的酒店 第三次住了 推荐入住', 'star': 3}
{'descr': '位置还可以，因为不是临街比较安静，但是走廊声音比较大。电视也比较小，比较陈旧。其他都不错 ', 'star': 5}
{'descr': ' 还不错 第二次来了 洗澡水很暖 房间空调也很暖和', 'star': 3}
{'descr': '酒店装修不错，不过我订的房间可能太小了吧，总体感觉还可以。', 'star': 5}
{'descr': '有点偏，不好找，其他都不错。但是靠近门口的位置有点吵人。', 'star': 5}
{'descr': '隔音很差很差，就像睡在过道里，以后再不会选这家店', 'star': 1}
{'descr': '环境很好！', 'star': 3}
{'descr': '不错噢 房间很干净 就是路不太好找 下次一定还会定 推荐', 'star': 3}
{'descr': ' 定的圆床房去了居然没有房了 调了个大床房 悲剧 洗澡水还是比较热 不过得放很久才热', 'star': 3}
{'descr': '真是给莫泰脸上抹黑，首先说入住的第一天，房间的卫生差的不敢相信，地上竟然还有两个酒瓶盖，卫生间也很脏，淋浴就不要提了，水流小的根本就不能洗澡啊，是我入住过的水流最小的酒店了，不，这样的根本就不能算是酒店的，第二天一早发现网线不好用，然后帮我换了房间，结果又不好用，整整折腾了一上午，本来祝两天可以退房的，结果就是因为耽误了整整一上午的原因，事情没办完，又多花了一天的房钱，太可气了，部分的服务员态度还', 'star': 1}
{'descr': '总体上还可以，就是隔音效果差些。', 'star': 3}
{'descr': '给家人订的。还不错，洗澡水热且大。', 'star': 3}
{'descr': '不错 位置比较方便。就是对面建筑工地施工晚上太吵', 'star': 3}
{'descr': '环境还可以，要是床单白的就更好了', 'star': 3}
{'descr': '酒店面积还可以，就是隔音效果太不好，门口有人说话的话，好像没关门一样的', 'star': 3}
{'descr': '前台服务人员很好  推荐。。。。。。。。。。。。。。。', 'star': 5}
{'descr': ' 不错！挺舒服', 'star': 3}
{'descr': '环境不错，交通便利', 'star': 3}
{'descr': '房间一般前台服务一般般', 'star': 3}
{'descr': '房间很暖和，赞', 'star': 3}
{'descr': '位置稍微有点偏，早餐太差，相比其他商务酒店有点不值。', 'star': 5}
{'descr': '房间洗浴水大且热，赞。\n只是楼道太窄，显压抑。', 'star': 3}
{'descr': '位置很好', 'star': 3}
{'descr': '位置和环境都还不错，房间隔音不太好，旁边屋里说或都能听见声音。', 'star': 5}
{'descr': '酒店位置不错,就是房内设施有些陈旧,颜色暗淡!', 'star': 3}
{'descr': '-房间还不错', 'star': 3}
{'descr': '地理位置不错，离旅游景点都不远，房间也很干净', 'star': 5}
{'descr': '已入住,不错', 'star': 3}
{'descr': '给父母定的房间，感觉还不错，很温馨的感觉，尤其是床单和杯子很舒服', 'star': 5}
{'descr': '环境好，交通很方便！', 'star': 3}
{'descr': ' 环境不错', 'star': 3}
{'descr': '帮别人订的，感觉很一般。帮别人订的，感觉很一般。帮别人订的，感觉很一般。帮别人订的，感觉很一般。帮别人订的，感觉很一般。', 'star': 5}
{'descr': '交通还算方便，商业圈中心，就是房间太小，通风条件也不是很好', 'star': 5}
{'descr': '特价酒店住的真是很划算，是为我朋友预定的，是货真价实的好房间做的特价，争取下次还能预定到，哈哈', 'star': 5}
