{'短评内容': '酒店性价比高，房间还不错，周边环境差了点，不过性价比很高。没有太高要求的可以考虑', '短评打分': 5}
{'短评内容': '早餐和家里差不多，', '短评打分': 5}
{'短评内容': '早餐在这个价位来说已经很可以了，有粥，各种小点心，粉，菜，鸡蛋。然后前台的服务真的很好，态度很棒，各种都考虑得很周到，我是来考试的，特意给我换不靠马路的房间，怕影响考试复习。', '短评打分': 5}
{'短评内容': '不错，比较实惠。', '短评打分': 5}
{'短评内容': '不错 还有早餐', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '觉得酒店整体还算干净，设施也齐全', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还好。这个价位还可以。', '短评打分': 5}
{'短评内容': '一般般，离火车站比较近，很方便', '短评打分': 2}
{'短评内容': '很方便，干净卫生不错！', '短评打分': 5}
{'短评内容': '位置挺好，就是房间有点陈旧。', '短评打分': 3}
{'短评内容': '总体来说还满意', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 2}
{'短评内容': '一般酒店吧。', '短评打分': 3}
