{'短评内容': '干净清爽舒适', '短评打分': 5}
{'短评内容': '房间很大，很好', '短评打分': 5}
{'短评内容': '早餐非常丰富，北方口味，位置在会展中心旁边，十分方便，推荐！有停车场', '短评打分': 5}
{'短评内容': '早餐非常丰富，北方口味，位置在会展中心旁边，十分方便，推荐！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '给我客户预定的酒店，离郑州国际会展中心比较近，酒店大堂还不错，房间干净整洁，主要是很安静，晚上睡觉没有一点噪音，值得推荐！', '短评打分': 5}
{'短评内容': '给我客户预定的酒店，离郑州国际会展中心比较近，酒店大堂还不错，房间干净整洁，主要是很安静，晚上睡觉没有一点噪音，值得推荐！', '短评打分': 5}
{'短评内容': '给我客户预定的酒店，离郑州国际会展中心比较近，酒店大堂还不错，房间干净整洁，主要是很安静，晚上睡觉没有一点噪音，值得推荐！', '短评打分': 5}
{'短评内容': '给我客户预定的酒店，离郑州国际会展中心比较近，酒店大堂还不错，房间干净整洁，主要是很安静，晚上睡觉没有一点噪音，值得推荐！', '短评打分': 5}
{'短评内容': '给我同事预定的酒店，离郑州国际会展中心比较近，大厅环境不错，房间还算整洁干净，晚上睡觉挺安静的，一点也不吵！', '短评打分': 5}
{'短评内容': '位置好，交通略显不便，房间烟味有些重。', '短评打分': 5}
{'短评内容': '性价比很高，房间很大，早餐也很好', '短评打分': 5}
{'短评内容': '安安静静的酒店。和人民银行在一个楼，估计主要是来人行办事的客人入住。入住率真高！本想再多住一天，被通知没房了', '短评打分': 4}
{'短评内容': '确实，是比较，可以的，干净，卫生，很满意，这这个抵的地方，性价比很好', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
