{'短评内容': '太差了', '短评打分': 2}
{'短评内容': '设施太差', '短评打分': 3}
{'短评内容': '位置还行，配套陈旧，服务差（停车场的保安)。   有位也不让停', '短评打分': 3}
{'短评内容': '酒店很旧，不能上网，房价偏贵，同位置、同水平酒店也就180，这里却要240多，太不值。', '短评打分': 3}
{'短评内容': '酒店周边环境不错，晚上夜景好，价格也还合理。缺点是客房设施老旧。旁边的歌厅吵，影响休息。三亚的酒店基本不管叫出租，非常不便。', '短评打分': 3}
{'短评内容': '酒店条件差！', '短评打分': 3}
{'短评内容': '己入住还行。', '短评打分': 3}
{'短评内容': '太脏了，床单都未换，被子太旧了\n被罩是人家盖过的，还有毛发粘在上边', '短评打分': 1}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '卫生不好，设施一般，两星都不到哦。不好哦', '短评打分': 1}
{'短评内容': '还行，不过就是外部环境有点差了，呵呵，毕竟是200元内吗', '短评打分': 3}
{'短评内容': '该酒店有3大优点：首先是安全，周围都是国家政府部门，国土局、检察院等，一墙之隔就是河东派出所，非常安全；其次是交通方便，门口就有公共汽车站，可以直达大东海、亚龙湾、椰梦长廊、第一市场（买海鲜最便宜了）等，如果转1趟车的话，就可以到达三亚机场、蜈支洲岛等所有景点了；最后是周围环境好，门口道路绿树成荫，路旁就是三亚河，风景优美！不过酒店也有几个不足的地方：首先是前台不可以信用卡预授权，只能用现金做押金', '短评打分': 5}
{'短评内容': '200多的酒店在三亚算便宜的，服务跟卫生都还可以，就是离海边稍微远了一点。不过去第一市场很方便。', '短评打分': 5}
{'短评内容': '酒店标准间面积稍小，但是考虑到价格还是可以接受的。地理位置实际还是不错的，门口15路去三亚湾、大东海，也有公交直达春园门口，只是绕点远路，时间稍长点，走一段路就可以坐旅游专线二去天涯海角、大小洞天。就是酒店正门不太好找，面对三湘人家左手边，摘牌褪色的超市往里走。', '短评打分': 5}
{'短评内容': '交通很方便，酒店门口就有公交车去亚龙湾、第一市场等。比较人性化，我们提出的下午2：00退房得到同意。唯一遗憾的是性价比差了些，房间设施与豪标不相符！', '短评打分': 5}
{'短评内容': '设施陈旧，有蟑螂！服务态度也不好，住了一晚就跑了，受不了----', '短评打分': 1}
{'短评内容': '酒店住得比较舒服，床挺大的，房间里还有电脑可以上网，速度比较快。阳台和房间有门隔开，有晾衣杆，可以晾晒衣服，很方便。卫生间比较狭小，但比较干净整洁。', '短评打分': 5}
{'短评内容': '位置不错，特别是河边的，这次春节能住上这样的算性价比较高得了，看景色很不错了。', '短评打分': 3}
{'短评内容': '位置还不错，距离第一市场比较近。但是环境、服务一般。作为过渡性的住处还可以！', '短评打分': 5}
{'短评内容': '三亚的酒店都大体差不多，特别是过年了，旺季，枕套好像没换过，里面有别人的臭口水味儿，干脆不用枕头了。', '短评打分': 1}
{'短评内容': '该酒店位置一流，周边吃东西方便，一楼又湘菜馆，从酒店出门往左边的巷子进去还有重庆火锅店，湘源居,地道的湘川菜，很适合湖南，四川，贵州，重庆一带的人的口味，价格也不贵，购物也方便，有超市。就是洗澡没有大毛巾，要自己带，总的这个酒店还是不错的，性价比高，可以！', '短评打分': 5}
{'短评内容': '其他一切可以，就是春节期间价格贵得离谱。', '短评打分': 5}
{'短评内容': '酒店一层有家湘菜馆，又好又便宜，门口就是车站，15路大东海、亚龙湾直接到，很方便', '短评打分': 5}
{'短评内容': '酒店的内环境很一般，设施较老，服务跟不上，空调很吵。不过价格还算便宜，从窗子往外能看到美丽的河景！', '短评打分': 3}
{'短评内容': '要求不高的话，可以凑合一下。是个各个方面都比较成旧的酒店。', '短评打分': 1}
{'短评内容': '酒店硬件和软件都很一般。', '短评打分': 1}
{'短评内容': '酒店地理位置较好，离第一市场较近；价格也适中。最大的缺点是，旅游团比较多，晚上十一二点的时候还是比较吵，希望酒店能妥善安排好。', '短评打分': 5}
{'短评内容': '地理位置非常好，门口有4趟公交车，基本涵盖主要景点，对面就是三亚河，窗外看风景非常好，服务员打扫房间非常认真，只是前台服务员态度一般，七楼没有网线，房价在当地算是很便宜的了，房间也挺干净的，只是家具旧了些，但是也挺干净的，七楼洗澡水流量有些小，再大点就好了。\r\n总体感觉还是不错的，尤其是交通非常方便，去哪都可以乘公交车，适合不跟团的情侣入住，性价比也很高。', '短评打分': 5}
{'短评内容': '服务很好，交通方便，设施有点陈旧，隔音不太好。', '短评打分': 5}
{'短评内容': '总体还可以~', '短评打分': 5}
{'短评内容': '位置很好,出行很方便,卫生服务方面也都不错,打扫的很干净,但就是房间设施上有些陈旧了.', '短评打分': 3}
{'短评内容': '设施比较旧了，隔音差，晚上休息还能听到周边的娱乐场所的声音，一直到很晚', '短评打分': 3}
{'短评内容': '服务还是挺好的,房间也不错很干净也很舒适, 位置也是挺好找的,性价比还是挺不错的,总体感觉还是挺好的酒店.', '短评打分': 3}
{'短评内容': '服务和价格比较好。环境也不错。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
