{'descr': '我们昨天己入住海上风.谢谢', 'star': 3}
{'descr': '很安静，很好，也很干净，离办事地方很近，交通很方便', 'star': 5}
{'descr': ' 还不错,看着挺舒服的.很整洁.', 'star': 3}
{'descr': '性价比一般，吃饭方便，出行方便就是。洗澡要热水让我等两个小时才有热水。', 'star': 3}
{'descr': '房间比较干净，性价比还可以吧。免费早餐特别差，就包子馒头稀饭，个数有限，一个老头负责特不卫生，抽着烟用手拿馒头。', 'star': 3}
{'descr': '和一般的连锁酒店差不多，离世博园比较近，性价比还是可以。整体环境还行，出差住住还可以的。', 'star': 5}
{'descr': '这样的价位，在上海算不错了。洗簌台上居然有好多头发没收拾掉，半夜外面KTV的声音老大', 'star': 5}
{'descr': '房间还干净，价偏高了。', 'star': 3}
{'descr': '酒店服务很好，服务人员很配合的，有什么需求都能及时给予帮助。\n房间的床有点小，不过睡起来够用了。\n酒店虽然有点小，但是在发展中，还是很有前景的。\n下次到上海，还要入住这家酒店。', 'star': 5}
{'descr': '位置有点偏，但离世博园还比较近。交通不算太方便，但是卫生条件等都还不错。', 'star': 1}
{'descr': '558888888444444877777777774485885558', 'star': 5}
{'descr': '还比较安静，就是世博期间价格太高了，离地铁有一站', 'star': 5}
{'descr': '还可以,比较干净.当晚空调坏了.交通还可以.\n', 'star': 5}
{'descr': '还可以，不过空调不制热，冻一夜。', 'star': 3}
{'descr': '请大家看我在10月20日已经做过到的评价吧。', 'star': 5}
{'descr': '入住后总体感觉不错，下次去上海还会去住的。', 'star': 3}
{'descr': '交通很方便，出门就有公交车。尤其是看世博超方便。', 'star': 5}
{'descr': '酒店地址离世博近.卫生还可以了，就是前台人员态度较生硬', 'star': 5}
{'descr': '还好', 'star': 5}
{'descr': '周边环境不是特别好,服务一般,离世博比较近,整体来说还可以.纯逛世博的话可以推荐.', 'star': 1}
{'descr': '只是看世博比较近一点，距其他地方很远，前台服务人员态度很差，酒店有点像私人性质，卫生间水很小，水也很黄。楼上看不到服务人员。', 'star': 3}
{'descr': '只是离世博近一点，去其他地方，不是很近，有点偏远。前台服务很差，外面下雨，都不把雨天路滑的标志放在门口，还让我摔了一跤，要求前台放标志时，他还无所谓，这个酒店的服务人员素质可能想像了，差到极点。卫生间洗澡水很小，水质很黄，不知 怎么回事。楼上看不到服务员。', 'star': 1}
{'descr': '离世博4-6号门不远，门口就是公交，打车起步价，地铁6、7号线一站地；房间比较大，前台态度很好', 'star': 5}
{'descr': '去世博时住的很方便，下了飞机地铁就几乎能直接到。\r\n也很干净，位置很好', 'star': 5}
{'descr': '住宿条件及环境普普通通，酒店的菜倒不错。', 'star': 5}
{'descr': '绿洲大酒店服务质量好，干净，早餐很不错，价格也不错，值得推荐', 'star': 5}
{'descr': '客人评价该酒店还是不错 的，很希望下次继续入住', 'star': 3}
{'descr': '总之还可以吧！离要去的目的地还是相对来说蛮近的', 'star': 5}
{'descr': '这是一间外表看上去一般，但住的房间还算干净的酒店，一出门有公交车，去地铁站的路上太闷了，没什么店铺。是比较偏远、安静的地方。', 'star': 1}
{'descr': '房间很干净舒适，价格也不算高，就是位置稍偏，服务态度一般。', 'star': 5}
{'descr': '价高得离普,且提供宽带网线30元/天,简直是抢钱,服务态度差,很不值!', 'star': 5}
{'descr': '我是8月9日入住的，比想象中要好，装修还是新的，可能是环保，卫生间出水太小，冷热水很难调，其他都还不错。交通很方便，离世博园5号入口很近，出租车只要起步价，到地铁入口也很近，去世博值得推荐。', 'star': 5}
{'descr': '我是8月9日入住绿洲的，上海物价本身就贵，再加上世博期间，380元/标间，也算说得过去了。酒店周围的交通挺方便的，公车也不挤，还有周围有几个地铁站都还是挺近的，很方便。就是酒店周围没啥好吃的，不过连锁便利店还是很多哈！', 'star': 5}
{'descr': '酒店确实离世博园很近，交通也很方便，734路公交车直达园区两个入口，出租车起步价就能到园区入口。酒店的设施比较简单，但基本也能达到商务酒店的水平，唯一的缺点竟然没有纱窗，南面的房间晚上能听到KTV的唱歌声。酒店周围是小区，有很多便利店和两个超市，购物和生活还是很方便的，但是周围都是小饭馆，卫生真的不敢恭维，酒店的早餐比较简单，但看着很干净，味道也不错。总体而言，在世博期间这家酒店的性价比还是很好的', 'star': 1}
{'descr': '卫生情况良好，只是设施一般，远不到三星标准。或许是世博期间吧，价格偏贵', 'star': 1}
{'descr': '酒店位置很好，设施很很好，卫生很干净，早餐不是很好，服务员态度不好，由于我们是北方人，吃的多点，她们好不愿意。我们吃的多，她们的态度就不好，给客人脸子看。应该提高服务质量。\r\n由于该酒店离世博会的距离近，所以房价就很高，感觉不值。总体还是可以的，希望房价低一点。下次去世博会还会去该酒店住，希望改善！！！', 'star': 5}
{'descr': '新装修，内部感觉还行；浴室的出水量稍小。', 'star': 5}
{'descr': '在世博会期间.这已经很不错了', 'star': 5}
{'descr': '外面很平凡，但是里面很干净，是个休息的好地方', 'star': 5}
{'descr': '门面不是很起眼，仿佛一个很一般的旅社...不过转个弯到客房部还是有酒店该有的样子。标间和套房都住过，卫生很好，设施很齐全。此外，酒店二楼的餐厅性价比也不错。\r\n\r\n离世博7号门很近，打的就起步价，步行大概十多分钟的样子。门口就是公交站，可以直达城隍庙和世博7号门，很方便。\r\n\r\n楼下有个24小时可迪，对面有超市，水果店，数家小型餐饮店，满方便外出旅客的。', 'star': 5}
{'descr': '酒店的配套餐饮很好，服务态度也很好。环境干净舒适。', 'star': 5}
{'descr': '房间设施很好，环境干净舒适.', 'star': 5}
