{'短评内容': '早上洗完头，没吹风机，也是够了。空调外机声音不小。。。。。。。。。。。。。。。老板服务态度还好。。。。', '短评打分': 4}
{'短评内容': '入住折腾，不知道我下了单，后台找不到，携程后台也没，还是说给客服打电话，好像订单去了艺龙才入住。房间也和图片完全不符，卫生一般。唯一的优点就是高层视野好，其他简直了。wifi断了，师傅来修了一次。后来电视也看不了了。可能这个价位就这样，但是第二天订了同栋楼的其他家，好的不是一点两点，虽然贵了几十元。', '短评打分': 2}
{'短评内容': '公寓酒店环境不错，房间比较大，用电有限制。', '短评打分': 5}
{'短评内容': '私人公寓，楼层很高，视野很好！每个房间有点不一样，各有千秋！就是价格个人觉得稍微偏贵了点！老板挺好的！很适合一家人居住！可以开火！冰箱洗衣机都有，晒衣服的地方还算可以', '短评打分': 5}
{'短评内容': '唯一有一点不好的就是超出10电就得自己承担电费。', '短评打分': 5}
{'短评内容': '一般一般一般一般一般', '短评打分': 3}
{'短评内容': '哭笑不得，看成橙子了～', '短评打分': 3}
{'短评内容': '位置不好找，服务不好，一晚上限电10度，住完超了5度加了5块钱电费。还不给开发票，经投诉后才补给我。', '短评打分': 3}
{'短评内容': '房间不错，功能齐全也比较干净。就是管理有点差是一户人家在经营没有酒店管理的模式', '短评打分': 3}
{'短评内容': '很一般，可以用差来形容，给人感觉不太卫生和安全。基本什么人都可以随便进入楼层。', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '环境很干净，老板人非常好，房子也不错，值得推荐', '短评打分': 5}
