{'短评内容': '#ud83e#udd10#ud83e#udd10#ud83e#udd10#ud83e#udd10#ud83e#udd10', '短评打分': 3}
{'短评内容': '房间挺好，卫生也不错。', '短评打分': 4}
{'短评内容': '方便，周边吃饭游玩交通都很方便，最大的缺点就是没热水', '短评打分': 5}
{'短评内容': '就是房间隔音效果差', '短评打分': 5}
{'短评内容': '谁来谁后悔', '短评打分': 1}
{'短评内容': '还行吧       有点偏       在胡同里面             就住了一晚       ', '短评打分': 3}
{'短评内容': '胡同文化下的酒店，出门就是胡同，隔音不好，隔壁说话都能听见，不过100多的房间也不能要求太多', '短评打分': 3}
{'短评内容': '在胡同里难找，简单住一晚还行，水有点小，洗澡难点。价格还行。', '短评打分': 3}
{'短评内容': '太过简陋，就是位置还不错', '短评打分': 3}
{'短评内容': '帮朋友定的，位置不是很好找，价位相对北京地势比较便宜，房间不大，卫生一般。晚上空调不管用，很冷。朋友说穿着衣服睡的，都没有敢洗澡，怕感冒。。。有待改善哦！', '短评打分': 3}
{'短评内容': '酒店位于胡同深处，位置比较偏僻，周边有些小的饭馆，吃饭还算方便。酒店房间较小，设备比较陈旧，房价略贵，总体来说还算可以', '短评打分': 4}
{'短评内容': '位置不错，但是房间比较老旧，该装修了', '短评打分': 3}
{'短评内容': '酒店在巷子里面 不太好找 女孩子住的话晚上回来还是不太方便 而且是那种老房改建的 刚开始那个房间简直潮的不像话 不过好在给我们换了间楼上的  卫生还可以 ', '短评打分': 4}
{'短评内容': '酒店位置很好。相对来说就是周边环境一般了。毕竟靠近生活区', '短评打分': 4}
{'短评内容': '超级冷啊！！！', '短评打分': 2}
{'短评内容': '实惠、地理位置优越', '短评打分': 4}
{'短评内容': '后来安排了一个三人床房的房间。', '短评打分': 3}
{'短评内容': '挺好的 这个假期', '短评打分': 5}
{'短评内容': '不好', '短评打分': 3}
{'短评内容': '总体不错，就是一楼屋子潮湿。', '短评打分': 4}
{'短评内容': '周边设施不错', '短评打分': 5}
{'短评内容': '环境不错，干净。不错', '短评打分': 3}
{'短评内容': '位置很好，出来不远就是地铁站，离鼓楼很近，晚上出来玩也很好，吃饭也方便，唯一缺点就是房间太小了，价格也不算低。', '短评打分': 5}
{'短评内容': ' 位置很好，挺干净，巷子口的潮汕粥很好吃，房间不大，浴室是玻璃隔开的。整体感觉8错', '短评打分': 3}
{'短评内容': '感觉还成，卫生挺干净的，就是房间比想象中小一点。。。', '短评打分': 3}
{'短评内容': '胡同里的一家酒店，离鼓楼后海不远，干净整洁，和连锁的差不多，就是隔音效果差点', '短评打分': 5}
{'短评内容': '总体来说还是不错的，但是需要改进的酒店清洁的问题，毛巾每天更换，房间每天要打扫的……不能说住几天能不换能不扫的不用做啊！这样是不合理的……不管天气还是啥的……都应该换的……如果我们不住几天而是一天下一位旅客来了不能就因为你天气阴干不了不还毛巾啥的吧！这不是理由……总体是不错的房间很大，住的家庭房，一个1.8M\\一个1.5M的床足够4、5个人住，房间隔音不是太好，在胡同里面不是很好找，总体还好了……', '短评打分': 5}
