{'短评内容': '位置很好，有停车场！', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '早餐实在不怎样，估计是我个人要求太高！', '短评打分': 4}
{'短评内容': '还行，停车方便', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '去到订饭，因为是在网上订的，然后前台一脸不耐烦，然后又要交押金200，我问可不可以微信或者zfb，又说不行，大的酒店规矩是比较多，一次就怕！', '短评打分': 1}
{'短评内容': '房间渗水，墙纸剥落，豪华房就大一点其他和普通房没启动不同，设施比较老了，wifi信号也差', '短评打分': 2}
{'短评内容': '酒店好老，早餐非常一般，就一点大的地方吃早餐，房间墙纸剥落严重，渗水发霉。对不起所谓的四星级，不过价格也就那样了，凑合。', '短评打分': 5}
{'短评内容': '第二次入住这家酒店了，明明住满了预定的3间3晚，酒店却说我们提前离店，经与携程客服多次沟通，才确认住满了3间3晚，并补了部分返现，但至今仍有一间客房的返现未补，真是无语了，剩下的返现何时给返呀？', '短评打分': 3}
{'短评内容': '第二次入住这家酒店了，明明住满了预定的3间3晚，酒店却说我们提前离店，经与携程多次沟通，才确认住满了3间3晚，并补了部分返现，但至今仍有一间客房的返现未补，真是无语了。', '短评打分': 3}
{'短评内容': '比较干净 周围吃玩也比较方便', '短评打分': 4}
{'短评内容': '虽然略旧，但皇廷的气派还是有，面积较大，蒸汽房可以舒服地湿蒸桑拿再洗澡。早餐比较简单，楼下对面的潮汕牛丸粉倒是不错。', '短评打分': 5}
{'短评内容': '离车站很近，比较方便，酒店房间很大，设施较旧，但也有皇庭古典之感。房间有蒸汽这个不错。早餐一般，快捷酒店水平。前台服务不错。', '短评打分': 5}
{'短评内容': '离车站很近，比较方便，酒店房间很大，设施较旧，但也有皇庭古典之感。房间有蒸汽这个不错。早餐一般，快捷酒店水平。前台服务不错。', '短评打分': 5}
{'短评内容': '离火车站近，酒店外墙比较老，招牌倒是挺大，亮灯应该比较霸气，装修偏欧式，但看起来很陈旧，地毯风格没发挥好，就是老宅。', '短评打分': 4}
{'短评内容': '向酒店要发票，酒店不给开，订酒店显示找酒店索要发票，不知道如何解决', '短评打分': 2}
{'短评内容': '预约了morming call，早上竟然没有叫我，害我没赶上班车，我擦???', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还可以，较为繁华和便利，与万绿湖相离不远。', '短评打分': 4}
{'短评内容': '还可以，较为繁华和便利，与万绿湖相离不远。', '短评打分': 4}
{'短评内容': '非常不错，有机会还会入住。非常不错，有机会还会入住。非常不错，有机会还会入住。非常不错，有机会还会入住。非常不错，有机会还会入住。非常不错，有机会还会入住。', '短评打分': 5}
{'短评内容': '不错，酒店位置和服务都可以，服务到位，就是欠缺点吃的不方便，不过出周边就有不少地方，也算是可以的.', '短评打分': 5}
{'短评内容': '感觉不错的酒店，环境舒适，服务也很周到，设施也都不错。每次来这里都住这个酒店。', '短评打分': 5}
{'短评内容': '皇廷大酒店房间很大很干净,虽然靠路边也不吵,早餐东西很少,多做几样就好了', '短评打分': 3}
{'短评内容': '环境非常不错，有水果送，而且里面东西非常齐全，不过，早餐能多点选择就更好', '短评打分': 3}
{'短评内容': '房间面积很大，比较舒适。交通方便，周边餐馆不多。早餐很一般。', '短评打分': 5}
{'短评内容': '房间很大，卫生也还好。', '短评打分': 3}
{'短评内容': '酒店是否给力？快分享你的购买心得吧~', '短评打分': 5}
