{'短评内容': '挺好的住处', '短评打分': 5}
{'短评内容': '经济型，还行', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '挺不错的，', '短评打分': 5}
{'短评内容': '因为离办事的地方比较近，每次去都住这里，不过结账时网上订房4间房优惠的活动，连优惠券和赠送京豆都给抵消了，开发票的金额都包不住实际的支付费用。这点不满意。', '短评打分': 3}
{'短评内容': '去呼和，每次都住这里，环境还可以。空间也不小。价格挺划算。推荐。', '短评打分': 4}
{'短评内容': '出差经常住在这里，空间很大，就是下雨天房间有点反味。', '短评打分': 5}
{'短评内容': '到呼市就住在这里，已经是常客了。环境不错，空间大。比较干净。值得入住！', '短评打分': 5}
{'短评内容': '发票发送很及时，京东服务很好，一直信赖。五分好评！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境不错，网差点！', '短评打分': 4}
{'短评内容': '亲戚说还可以，性价比很高，这个价格很实惠。', '短评打分': 5}
{'短评内容': '性价比高，就是周围环境一般。酒店餐馆饭菜相当不错', '短评打分': 5}
{'短评内容': '酒店的餐厅做的饭菜真是不错，住这里的最大理由就是因为这个餐厅，每次在这里邀请喝多了可以直接入住去睡，呵呵', '短评打分': 4}
{'短评内容': '水都不热', '短评打分': 3}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '总体不错，交通方便。', '短评打分': 5}
{'短评内容': '每次都过来住，挺好的', '短评打分': 4}
{'短评内容': '热水很好，就是喷头该换换了', '短评打分': 4}
