{'短评内容': '每次都住这个地方，挺好的~', '短评打分': 5}
{'短评内容': '地一个大坑，一般', '短评打分': 2}
{'短评内容': '真的不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错的新价格，欢迎大家入住。酒店管理还不错，唯一的缺点是灭早餐，太麻烦了，还要自己出去吃，建议搞一个早餐系列', '短评打分': 4}
{'短评内容': '还好吧 就是离市区有点偏    房间还行', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '不错，很企图昂的', '短评打分': 5}
{'短评内容': '各方面条件都还不错', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '还不错！性价比很高，我们一家三口都是大块头，房间面积正合适。有停车场，对面还有吃饭的地方，很方便，就是前台人少了点。', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店入住还行，就是入住以后，携程这边老说我没入住，没有返现，还扣积分……无语', '短评打分': 3}
