{'短评内容': '酒店位置不错！基本还可以！下次还会来这里', '短评打分': 5}
{'短评内容': '很差！但很大！是我住过最差的房间！连热水都没有！实在是疯了！', '短评打分': 1}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '不错，很干净，整体感觉比较上档次，性价比较高。', '短评打分': 3}
{'短评内容': '酒店很一般。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '好的；干净', '短评打分': 5}
{'短评内容': '酒店距离火车站很近，十分钟的步行，硬件设施一般，网速还挺快，性价比还可以接受。位于小区的房间还是比较安静的', '短评打分': 4}
{'短评内容': '看装修,应该是重新装修没有多久.\n酒店小是小,但能充分利用空间,提供的设备挺齐全.有拖鞋,吹风机等.\n我们一共住了4个房间,有3个房间发现了蜘蛛.感觉不够干净.床铺,枕\n头,浴巾都是灰灰的.可能对于2星或以下的标准是还行的.\n如果要求不高的话,还是可以推荐的.', '短评打分': 1}
{'短评内容': '离火车站不远，乘车购物很方便，性价比很高，房间很干净，', '短评打分': 5}
{'短评内容': '每间没有返还10元', '短评打分': 3}
{'短评内容': '感觉很不错，卫生也很好，价格适中，离火车站距离也不远', '短评打分': 5}
{'短评内容': '床不稳。动一动有吱吱的声音，电视信号不稳定。', '短评打分': 1}
{'短评内容': '总的来说价格合理 交通还算便利   在鹰潭这个地方还不错了', '短评打分': 5}
{'短评内容': '离火车站其实不算太近，要走一个街道。酒店设施也不行', '短评打分': 1}
{'短评内容': '整体还不错，房间很大，火车站商圈性价比最高的酒店了', '短评打分': 5}
{'短评内容': '住宿环境很好很安静，地理位置靠近火车站，方面出行', '短评打分': 5}
{'短评内容': '离火车站比较近就订了，装修有点旧了，不过设施都不错，浴室很干净，住得挺舒服的', '短评打分': 5}
{'短评内容': '开始以为很一般，但看后感觉房间确实不错，房间很安静。下次还会居住。希望酒店再有早餐就完美了。价格不错。', '短评打分': 5}
{'短评内容': '酒店设施一般,位置还不错,凌晨前台电话无人接听,', '短评打分': 1}
{'短评内容': '还不错，还可以存物品', '短评打分': 3}
{'短评内容': '酒店还不错，环境还可以，而且价格还不贵', '短评打分': 3}
{'短评内容': '离车站大概六七分钟的步行距离，房间还算干净，就是床太硬了，晚上那个路口没什么车，安静程度也可以，价格还算公道吧，不算很便宜。', '短评打分': 5}
{'短评内容': '服务员态度还是不错的，但是酒店的设施实在不敢恭维，洗澡没有冲淋房，洗完整个厕所和房间水漫金山。该亮的灯都不亮，化妆都没有办法。本来就不大的房间设计也很一般，橱柜积着百年老灰。。。电梯很脏，还有烟味，晚上有人狂敲你的门，然后跑去一看是没人的。我想优点大概就是服务员还可以还有水温比较好吧。。。', '短评打分': 1}
{'短评内容': '該酒店位置挺好，離火車站不遠，交通方便。管理有方，衛生挺好，下次來鷹潭還選擇這里。', '短评打分': 3}
{'短评内容': '无早餐。硬件一般，服务一般。周边没什么环境比较好的吃饭的地方。', '短评打分': 1}
{'短评内容': '勉强凑合住吧，在鹰潭这个地方，还过得去的', '短评打分': 5}
{'短评内容': '感觉还不错，毕竟是在鹰潭这个地方，干净，舒适，冬天暖气足！', '短评打分': 5}
{'短评内容': '太差了！ 环境很差，有室外噪音不说，晚上卫生间里蛐蛐还是蟑螂的叫了一夜，让人无法入睡。服务也查，要了衣撑子答应了也不给送。', '短评打分': 1}
{'短评内容': '安全，光线好，卫生，服务还可以。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '挺不错的，服务也好，夜里四点去的，经再三要求，也没有加收费用，很满意。', '短评打分': 5}
{'短评内容': '交通比较方便，条件也还可以，就是稍微有点吵', '短评打分': 5}
{'短评内容': '酒店干净卫生，服务周到热情，地理位置优越，是出门旅行之首选', '短评打分': 5}
{'短评内容': '收银员态度不好，我上次去住等收银员打完电话才给我办理好住房手续，一个电话接近半个小时吧！房间还是很干净的，隔音不是很好！不过电梯内和楼梯内很脏，一楼大厅还摆放着杂物，希望卫生要加强，', '短评打分': 1}
{'短评内容': '还行。。。。。。。。。。。。。。。。。。。。。晕。。。还要50个字啊晕。。。还要50个字啊晕。。。还要50个字啊晕。。。还要50个字啊', '短评打分': 5}
{'短评内容': '还行的了，价格比较合理的。位置很不错的。室内环境有待改善。希望以后能有pos机可以刷卡', '短评打分': 5}
{'短评内容': '服务冷淡，房间一般，可能是低价的缘故吧。', '短评打分': 1}
{'短评内容': '蚊子有点多 位置还是比较好找的  卫生条件需要加强', '短评打分': 5}
{'短评内容': '还行  就是小了点  离景点和市区以及火车站都很近  可以住', '短评打分': 5}
{'短评内容': '出差连续住两个晚上，还好吧，建议增加早餐。', '短评打分': 5}
{'短评内容': '还好吧，比火车站周边的其他旅馆卫生，也近，设施也不错。就是没有早餐提供。', '短评打分': 5}
{'短评内容': '离出差的地方蛮近。。离火车站也近。。。性价比还可以~~~', '短评打分': 5}
