{'短评内容': '还比较好找，街景不错', '短评打分': 4}
{'短评内容': '很方便，很干净，洗澡很舒服', '短评打分': 5}
{'短评内容': '环境很好很好', '短评打分': 5}
{'短评内容': '非常便捷温馨具有设计感，距离会展中心很近', '短评打分': 5}
{'短评内容': '评完了，挺不错的', '短评打分': 5}
{'短评内容': '车展注的，早晨还可以吧，酒店式公寓，还行吧，离车展比较近，吃的地方需要走点距离的，还好的吧，不错的，', '短评打分': 4}
{'短评内容': '间确实不错，两个人住够大，床也够宽，被子枕头都很舒适，床单一看就是新换的， 浴巾之类的也是一天一换。唯一的一点就是隔音不好，幸好我们楼层够高，下面汽车也 很少鸣笛，所以窗外的声音还能忍受，但是隔壁和走廊的声音就实在是一清二楚了', '短评打分': 3}
{'短评内容': '琶洲会展方便，性价比高', '短评打分': 4}
{'短评内容': '琶洲会展方便，性价比高', '短评打分': 4}
{'短评内容': '好十分好超级无敌好，好十分好超级无敌好，好十分好超级无敌好，好十分好超级无敌好，好十分好超级无敌好，', '短评打分': 5}
{'短评内容': '离琶洲会馆其实挺近的，去广州市内也不远，楼下有个咖啡厅可以用，早餐还可以\n就是那个史密斯热水器需要仔细看牌子才会用，，', '短评打分': 5}
{'短评内容': '公司同事出差预订的，地址比较近展馆，方便！', '短评打分': 5}
{'短评内容': '总体还算满意，环境卫生都还可以', '短评打分': 4}
{'短评内容': '酒店大堂非常其貌不扬，本来没对这里有太多期待的。结果进到房间给人的感觉还是很不错的。房间很干净，各种设施也都很新。唯一美中不足的是房间的门隔音不够，隔壁房间开门关门以及有人在走道里说话都能听得到。', '短评打分': 4}
{'短评内容': '太棒了，酒店嗷嗷好，服务也很好，下次还去', '短评打分': 5}
{'短评内容': '酒店离保利会展中心很近，很方便。房间的卫生间防臭没有做好，总是有异味。', '短评打分': 4}
{'短评内容': '酒店基础设施，服务水平还可以，可惜离着交易会还是远了些。', '短评打分': 5}
{'短评内容': '离展会很近，就是吃饭不太方便。电梯是跟别的地方共用的。', '短评打分': 5}
{'短评内容': '酒店很棒哦，离琶洲地铁站超近，交通很方便，房间也挺干净的，而且浴室好有心机的，我喜欢~~~晚上周围也很安静，睡眠不错。下次有机会一定要再住一次~~~', '短评打分': 5}
{'短评内容': ' 环境不错，装饰小清新，电梯上班期间人多', '短评打分': 3}
{'短评内容': '为了会朋友，去机场近才入住该店，恰好交易会最后一天价格上浮很多，因为琶洲会馆在旁边。床不错睡得舒服，商务双床房若2个人同住，在浴室使用水龙头会有很大的水管噪音，洗澡自然不可避免水龙头的噪音。地理位置附近没有很多餐馆就餐，打的要花20元左右去附近吃饭，找超市需要坐地铁去客村。你参加交易会可以推荐入住，否则另选吧。', '短评打分': 5}
{'短评内容': '号称4星级，花4星级酒店的钱，内部还不如如家之类的经济型酒店，除了离会展中心近以外，其他地方实在没有可选之处。', '短评打分': 1}
{'短评内容': '方便简结', '短评打分': 3}
{'短评内容': '酒店各方面都不错,就是周围吃喝玩乐都没有!', '短评打分': 3}
{'短评内容': '没见过服务人员的微笑，非常冷冰冰。设施还过的去，就是浴室根本没设计好，水会漫出去', '短评打分': 1}
{'短评内容': '很好的商务酒店，就是楼上有很多公司，用电梯需要排队等候。\n总体很好的酒店。', '短评打分': 5}
{'短评内容': '交通很方便，距离地铁口很近，打车也很方便。\n周边吃饭的地方少了些，不过提供早餐还不错了。', '短评打分': 5}
{'短评内容': '距离琶洲展馆很近的说，周边交通比较方便，就是吃饭地方少了些。', '短评打分': 5}
{'短评内容': '离展馆很近，周边饭点很少，环境不错，车也比较少，参展商的最佳选择商务型酒店', '短评打分': 5}
{'短评内容': '离琶洲馆最近的一家酒店，房间设施还算可以，但并不大。豪华房有个后阳台，对于吸烟者来说是个不错的小天地。', '短评打分': 5}
{'短评内容': '酒店房间很好，大飘窗还铺了垫子，空间比较大。前台的服务不错，速度快，而且问路的时候也比较耐心，很Nice。', '短评打分': 5}
{'短评内容': '不错，睡的很安静，不过隔音不是很好。对面房间关门的声音太清脆了', '短评打分': 5}
{'短评内容': '酒店不错，干净，入住舒服，周边很安静。周边吃饭不太方便', '短评打分': 5}
{'短评内容': '酒店很干净 配套设施也不错 就是周边没有吃饭的地方很头疼 5楼的餐厅贵死', '短评打分': 5}
{'短评内容': 'next to the convention center and subway station\neasy to find\nvery good price \n', '短评打分': 5}
{'短评内容': '设施不错，装修也很时尚，浴室面积很大。交通也还方便，离地铁很近。周围的餐饮不太多。', '短评打分': 5}
{'短评内容': '装修什么的都还挺现代的。。但是硬件还行，软件不行啊。。。\n职员素质有待提高！', '短评打分': 5}
{'短评内容': '到琶洲馆步行几分钟就行，还是很方便的，房间挺干净，窗台上铺的整排沙发垫子挺舒服，可躺在上面观景。\n一层咖啡厅吃的选择有点少，想吃碗面条都没有的~~~\n', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '服务很差，晚上和客人坐在下面聊天，服务员连问都不问一下，就把灯关了， 才晚上8：30，只好和客人在黑暗中坐着聊了半小时。', '短评打分': 1}
