{'短评内容': '位置可以', '短评打分': 5}
{'短评内容': '真不错', '短评打分': 5}
{'短评内容': '二楼的早餐厅在装修，所以早餐没有品尝，当天去办理入住，到达前台后酒店员工告诉我我预定的是2号入住3号退房，可以我手机上明明预定的是3号入住4号退房的，让我拿手机订单看了后告诉我是口头确认错了，所以才给我办理入住，进入房间后发现漱口杯下面有一根头发，我打电话到前台要求换房，前台又换了一间房，结果书桌的边角是有木头俏起，放东西的气候就直接戳到指甲缝里了，之后找大堂经理处理，前台告诉我大堂经理休息，给我', '短评打分': 2}
{'短评内容': '一酒店很好，高大上', '短评打分': 5}
{'短评内容': '酒店档次较高，服务较好，还会来住', '短评打分': 5}
{'短评内容': '还行，比较简单，房间装修比较老气', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错？', '短评打分': 5}
{'短评内容': '太旧', '短评打分': 4}
{'短评内容': '老酒店，无服务可谈。7楼客房，楼下Ktv震耳欲聋，卫生间还有余留的烟屁股，马桶圈是坏的，筒灯是坏的，淋浴门也是坏的。', '短评打分': 4}
{'短评内容': '还不错吧，交通方便，有停车位哦，离万泉河很近。', '短评打分': 5}
{'短评内容': '价格实惠，到旁边昌隆饭店吃饭很是方便，对面还有个大超市，地段非常好！', '短评打分': 4}
{'短评内容': '当地老牌的酒店，房间设施有点旧了，楼下是KTV，晚上睡觉的时候都很吵，入住的时候送了一瓶椰子油，不知道好用不！', '短评打分': 5}
{'短评内容': '真不咋地', '短评打分': 3}
{'短评内容': '城区算好的了，虽然旧了点，但名气大，吃喝玩方便', '短评打分': 4}
{'短评内容': '不错的酒店，性价比好，酒店的早茶不错，很地道的海南风味！美中不足的是琼海的出租车都不打表，从高铁站到酒店收了20元，也没给票.................', '短评打分': 5}
{'短评内容': '酒店很干净，住得很舒服，酒店就在市中心，游玩搭车很方便，吃饭也方便，很喜欢，下次去琼海还会再预订这家酒店！', '短评打分': 3}
