{'短评内容': '感觉青年旅社不太适合一家三口，年轻人去还不错，真心的话', '短评打分': 5}
{'短评内容': '老板北方人非常好也很热情，旅社很漂亮很干净。。喜欢', '短评打分': 5}
{'短评内容': '酒店不错,值得再住.就是晚上别回去太晚，不好打车', '短评打分': 5}
{'短评内容': '到旅舍的朋友，坐车到动物园站下，然后往西湖方向再走两三百米就到了。旅舍离西湖约十五分钟路程，步行可到花港观鱼和苏堤。旅舍很温馨，房间不大但是设置齐全。这次去本来是预定的两晚住宿，入住了一晚之后，朋友突然病倒了，需要返程就医，老板娘很爽快地给我们退房退款，还告诉我们如何去机场，很感动！旅舍周围有餐馆和小吃店，就餐方便。', '短评打分': 5}
{'短评内容': '环境不错，距离西湖景点不远，挺好的，唯一不足就是不能刷卡', '短评打分': 5}
{'短评内容': '酒店很干净，环境也不错，工作人员很负责态度也好～', '短评打分': 3}
{'短评内容': '该店位于虎跑路，交通便利，去西湖可以租用自行车，体力好也可以徒步，老板服务态度很好，去哪可以先问一下，老板会详细指点。房间稍小但够用还有免费的WIFI可用，友情提示：自己带喝水的杯子（店家提供开水及桶装水但好像不提供杯子）。', '短评打分': 5}
{'短评内容': '符合对于旅店的要求，比较干净，聪明的狗，色彩的墙面，秋千，花园。如果真不太挑剔的话，这是个值得推荐的旅店。', '短评打分': 5}
{'短评内容': '榆园是个很好的旅舍，房间干净明亮，设施齐全，老板热情周到。', '短评打分': 3}
{'短评内容': '房间还不错，女店员挺好看的，服务态度非常好！', '短评打分': 3}
{'短评内容': '这家店的地段不错，步行20分钟就可以到达苏堤。\n我在早上租了一辆自行车游西湖，将近两个小时，老板才收了10元，价钱很合理。\n房间也还不错，看起来很温馨。', '短评打分': 5}
{'短评内容': '环境很好，独立小院，很温馨，房间干净整洁。店主人很好。推荐！！', '短评打分': 5}
{'短评内容': '星光客环境好好哦~ 小庭院很小资的感觉，房间也很好，所有都超级有feel~~ 还有老板也好热情，告诉我们怎么逛杭州，怎么去火车站，租自行车也很方便，只是我车技不行，哈哈~ 还有很帅的帅哥前台，走之前朋友花痴的还想合影，都忘记了~~ 哈哈~ ', '短评打分': 5}
{'短评内容': '感觉超好，环境和硬件设施都非常棒，很满意！', '短评打分': 3}
{'短评内容': '小碎花的被套和枕套很好看，热水也很给力的。', '短评打分': 5}
{'短评内容': '大门不是很显眼，开始的时候还差一点走过了，店主很热情，环境也很好，软件硬件都很不错哦。住的是特色阁楼标间，房间比我想象的要大些，24小时热水也非常给力。我住的时候是雨天，如果是晴天阁楼肯定还是有些热的啊，不过有空调不要紧。如果再去杭州还会住这里，因为三眼井的整体环境真的太好了，在市中心是不可能这么舒服的。', '短评打分': 5}
{'短评内容': '服务还行，房间太小，离西湖还有好远。性价比不太高。', '短评打分': 3}
{'短评内容': '感觉很好，环境很好的旅社，离西湖很近，可以租自行车游玩，另外老板也很热情。', '短评打分': 5}
{'短评内容': '房间有点小，不过挺方便的，老板也挺好的。这里环境挺美，还算不错！', '短评打分': 5}
{'短评内容': '很好的环境，房间也很干净，可以租自行车转转，杭州真的很绿，空气很好。不错', '短评打分': 5}
{'短评内容': '旅店为朋友定的，总体环境不错，在景区内，空气好，去各景点也方便，就是卫生间下水不畅，不得不换房间。', '短评打分': 5}
{'短评内容': '太差了 收费贵不说 环境差的令人发指 床上的床单被子枕头都很脏 黄黄的 还有臭味\n厕所也脏 房里有虫子', '短评打分': 1}
{'短评内容': '酒店非常干净 服务很好 离景区也蛮近的 公交很快就能到 就是房间里没有烧水壶和杯子比较不方便', '短评打分': 5}
{'短评内容': '房间比较小，被子薄，冷就一个字，适合夏天去住。不过露台晒晒太阳倒是不错的。。', '短评打分': 5}
{'短评内容': '特价阁楼房挺温馨的，就是暖气不够暖，被子有点薄', '短评打分': 5}
{'短评内容': '空调是在吹热风，但是房间就是不暖。\n不知道是房间大还是空调的原因，整整冻了一夜。。。。\n更要命的是空调无故时不时的还会哒哒发响。。。。', '短评打分': 1}
{'短评内容': '干净整洁，老板很热情，很实在！告诉我们很多东西！下次还来！', '短评打分': 3}
{'短评内容': '地点很好，方便。房间也干净。就是小了点。喝热开水很不方便。温水随时有。但要开水就得等了。', '短评打分': 5}
{'短评内容': '花园大床房布置的很好，很舒适。3懒觉的人来说比较痛苦，呵呵。天气好的话坐在院子里很舒服。 缺点是离路太近，白天吵。对于喜欢', '短评打分': 5}
{'短评内容': '两只小狗奶牛和小胖特别可爱。酒店环境优美、干净，性价比高，值得。', '短评打分': 5}
{'短评内容': '服务和环境都是很好吧，就是交通比较不方便点，到公交站要100来米，不过环境确实好  价格一般般吧  120元  可以接受吧。离市区还是挺远的  坐公交差不多得半个小时了', '短评打分': 5}
{'短评内容': '很滋润的花园大床房~ 又干净又宽敞 最重要的是老板人真的很好 另外 一定要去榆园吃饭 味道相当不错的！~', '短评打分': 5}
{'短评内容': '＋房间干净整洁，住起来挺舒适，隔音相对不是很好。只有一点比较奇怪，付房款时明明可以刷卡，但却被告知只能付现金', '短评打分': 3}
{'短评内容': '很热情，住的舒服··············', '短评打分': 5}
{'短评内容': '老板态度不错，布置的很温馨，价格不算便宜，不过杭州这地方，估计都这价吧。\n地方比较偏，打车不太好打。', '短评打分': 5}
{'短评内容': '旅馆很温馨，象家一样。老板人很好。就是这一带的青年旅舍都比较偏，晚一点打车很不方便', '短评打分': 3}
{'短评内容': '入住比较方便，好多家旅舍都在一起的，只是中秋价格比平时价格高很多，很不爽！', '短评打分': 3}
{'短评内容': '   酒店服务态度不错，设施可以，性价比高！由于周围在建地铁，晚上不太安静！另外酒店的安全性有待加强，晚上有社会的闲杂人等！', '短评打分': 1}
{'短评内容': '早餐糟糕…', '短评打分': 3}
{'短评内容': '洒店很不错!', '短评打分': 3}
{'短评内容': 'マー\u3000マー\n\n学生没反应什么问题\n\n希望能提供接送机服务吧', '短评打分': 5}
{'短评内容': '环境不错，服务态度很好，价钱合理，下次还会选择这里', '短评打分': 5}
{'短评内容': '酒店还好，去机场很顺路，价格和卫生都还不错，下次会继续入住!', '短评打分': 5}
{'短评内容': '地點雖然有點偏，但打車8元能到輕軌金家街站，出入還算方便；房間挺好，就是有點冷。', '短评打分': 5}
{'短评内容': '价格合理，服务还好。', '短评打分': 3}
{'短评内容': '还可以，就是周围环境很一般。买东西也不太方便', '短评打分': 5}
{'短评内容': '恩洗手间有玻璃门就好啦。总的还说还是不错的。', '短评打分': 5}
{'短评内容': '预定大床房结果变成标准间,前台也是爱理不理的,已后不会光顾了,太差了!', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '环境不错，还是液晶电视。', '短评打分': 3}
{'短评内容': '非常不错，性价比高 。\n枕头太软不舒服。', '短评打分': 5}
{'短评内容': '环境不错，就是地理位置稍微有点偏，服务非常好~', '短评打分': 5}
{'短评内容': '卫生间太差了，不过服务还是不错的，以后回大连还考虑入住！', '短评打分': 5}
{'短评内容': '环境好，服务好，位置有点偏，没有到火车站的直通车。', '短评打分': 5}
{'短评内容': '洗手间不是特别干净 其他都挺好的\n楼下有自带的超市 这个还不错', '短评打分': 5}
{'短评内容': '酒店环境还不错！服务很周到！接机很方便！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '价格很便宜，房间也很干净舒适，距离机场很近，还有公交车，很方便', '短评打分': 5}
{'短评内容': '不错的酒店，装修的蛮好！洗澡的热水快，且水压也很足。晚上在隔壁的鑫顺发大酒店吃的海鲜，喜欢那道水煮活虾爬。下次还会住在那，离机场6-8分钟车程。价格很好146！', '短评打分': 5}
{'短评内容': '离机场非常近，打车12块钱左右，交通比较方便', '短评打分': 5}
{'短评内容': '晚上11点钱网络有点小卡,游戏不太顺畅。', '短评打分': 5}
{'短评内容': '比较好找，环境也可以，经济实惠,就是赶上下雨电视的有线坏了，修也没修好', '短评打分': 5}
{'短评内容': '不知道为什么床会那么高，感觉很别扭。其他还可以吧。一般般。', '短评打分': 3}
{'短评内容': '赶飞机不错。前台态度很好，装修象家的感觉。窗外有梧桐树。就是早上打车不是很方便。到机场10分钟。', '短评打分': 5}
{'短评内容': '酒店位置一般，导航软件上竟然没有，自驾找起来很费劲，后来才知道这里原来是叫顺发。卫生很干净，服务超好，房间面积不错，还有免费水。很不错。', '短评打分': 5}
{'短评内容': '整体来说还是挺不错的，就是床太高了点，稍微有点别扭。', '短评打分': 5}
{'短评内容': '这家店别的房间我不知道。但大床房环境相当不错啊！房间很大很明亮。下次来还会住这里', '短评打分': 5}
{'短评内容': '不错的酒店 很安静 也很干净，就是离市中心有点远 附近也没有商业区可以逛', '短评打分': 5}
{'短评内容': '入住你们酒店后，有种到家的感觉。很舒适，很干净。下次去大连的时候，还会住你们酒店的。', '短评打分': 5}
{'短评内容': '住的很舒适，值得入住，价格合适！', '短评打分': 5}
{'短评内容': '下次来大连还住这，安静，卫生，性价比高！', '短评打分': 5}
{'短评内容': '+房间设施不错  但打扫房间还需改进', '短评打分': 5}
{'短评内容': '卫生设施不怎么样毛巾也洗的根本不干净，服务态度还行软件方面还行但是硬件设施就非常差，位置还可以，价格也是跟快捷酒店差不多但是设施太差了。', '短评打分': 1}
{'短评内容': '信用卡先付的款到酒店后发现热水管道坏了要求还款，经过协调酒店同意不扣款，这是酒店本身出现的问题就不应该扣我的款。', '短评打分': 5}
{'短评内容': '酒店很新，离机场较近，在大连机场里面的宾馆没有房间的情况，可以选择这家。经济型连锁酒店环境都差不多。', '短评打分': 5}
