{'短评内容': '垃圾+垃圾，免费送我都不要', '短评打分': 1}
{'短评内容': '房间挺干净，价格也很实惠，老板很亲切', '短评打分': 5}
{'短评内容': '空调不凉，房间蚊子特别多', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '位于凤凰岛和第二中学附近，交通十分便利，老板服务热情周到，酒店设施也不错，性价比超高的选择，非常优秀', '短评打分': 5}
{'短评内容': '      去年我们四位男士朋友在本店住了几天，今年又携夫人在该店住了8天。总的感觉是：    1.经济实惠，    2.卫生，干净。    3.酒店管理也很到位，老板（尤其是光头老板与美女老板）态度和蔼亲切。    4.交通方便，位于凤凰岛附近，离三亚步行街只几百米距离，到三亚各景区都有公交车直达。    5.可以自助做饭，这是最主要的。非常适应我们这些收入不高的家庭休闲度假。买点海鲜自己动手，', '短评打分': 4}
{'短评内容': '看相挺好的,不過到了那裏就發現和相片差很遠（不是酒店而是旅租???????）', '短评打分': 2}
{'短评内容': '条件太差，被子潮，窗外距离人家的墙壁只有三十厘米，我是不会在来了', '短评打分': 1}
{'短评内容': '靠近海岸，总体不错', '短评打分': 5}
{'短评内容': '酒店环境可以，卫生还行，房间WiFi,手机信号不给力，用接收器看电视只有几个台，没有当地电视台的信息。酒店有6人坐的电梯，共7层，有公用做饭厨房。标间比较小，没有沙发，只有2张床，不过住这里出行，吃饭方便，老板态度很好，这个季节这个价位也值。', '短评打分': 5}
{'短评内容': '国庆假期，没涨价特好，哈哈，这个价钱跟环境是相等的，老板服务态度很赞哦。然后周边坐车挺便利的，外走一点就可以看到美丽的大海！这次旅途非常开心。', '短评打分': 4}
{'短评内容': '确实不错，经济实惠！有机会还会光顾！', '短评打分': 3}
{'短评内容': '酒店位置好，离海边，步行街，一市场，汽车站都很近，可以说是闹中取静，老板热情，房间干净，经济实惠，不错的选择啊！', '短评打分': 3}
{'短评内容': '位置超好，去海边，步行街，车站都很近，去景点出门就有公交。房间很干净，经济实惠，推荐', '短评打分': 3}
{'短评内容': '干净 卫生 舒适。交通便利，离海边很近。下次还去', '短评打分': 3}
{'短评内容': '图片全是假的，厕所小的要死。一开始订房时看到在凤凰岛附近，以为晚上可以到凤凰岛的桥上散步。结果去了才知道凤凰岛的桥上不能上去没有吹风机，酒店的电视节目只有13个台无聊的要死，蚊虫特别多.住临街的房子特别吵.说实话真心不建议住这家！！！', '短评打分': 1}
{'短评内容': ' 不错的选择，推荐！', '短评打分': 5}
{'短评内容': '超赞，再次入住，不多说了，推荐，位置优、老板好、手艺好', '短评打分': 5}
{'短评内容': '我是先看其他人住店评价后选择入住的，入住后发现，是明智选择：\n1、位置好，离三亚湾，步行即可，而且所住的酒店离不远的就是解放路三亚二中站，交通便利，有很多公交及旅游巴士在这有站，对三亚旅游不熟，实在是太方便了；\n2、老板及老板娘超好、超热情，东北人，豪爽，老板曾做过厨师做得一手好菜，我买的海鲜，在这里加工做的，比在外边吃，实惠，干净。\n这次来玩的时间短，只呆了两天，下次来，还在这里住。用老板的口头', '短评打分': 5}
{'短评内容': '去三亚出差，只匆匆住了一晚，感觉还不错！房间虽然小点但挺温馨，床也很舒服！也很干净！出去坐车也很方便。谢谢老板送我的小礼物以及热情的招待！去三亚的机会很多，我会再次光临的！（补充一下，老板的东北人，比较爱说“必须地”）', '短评打分': 5}
{'短评内容': '门锁坏 修好久 等太久 房间很小 家庭式可做饭', '短评打分': 1}
{'短评内容': '酒店装修的很别致，我们住在六楼，虽然看不到海，离海边却很近，步行几分钟就到了，我们晚上去步行街也不远。还有一点最值得推荐的就是这里的大厨，呵呵，手意相当不错，而且老板还告诉我去一市场买回来海鲜自己加工，省了好大一笔银子哦！ 在三亚这样的酒店，性价比还是很高的。', '短评打分': 5}
{'短评内容': '酒店位置挺好，离海边挺近的，老板是和工作人员都非常热情！下次去还住那', '短评打分': 5}
{'短评内容': '离海边步行只需五分钟，老板是东北的，人挺不错，菜都是自己加工的，吃着放心，价格也不贵，挺好的！', '短评打分': 3}
