{'短评内容': '干净，', '短评打分': 5}
{'短评内容': '评价大于20元的商品超过10个字就有机会获得京豆', '短评打分': 5}
{'短评内容': '不错，挺干净的！', '短评打分': 5}
{'短评内容': '不错，挺干净的！', '短评打分': 5}
{'短评内容': '早餐不错  服务很好  ', '短评打分': 5}
{'短评内容': '都挺好，环境也挺好', '短评打分': 5}
{'短评内容': '还行吧，网上的价格还可以', '短评打分': 4}
{'短评内容': '一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般', '短评打分': 3}
{'短评内容': '性价比较高，交通便利', '短评打分': 4}
{'短评内容': '酒店床不错', '短评打分': 4}
{'短评内容': '还可以，网速快', '短评打分': 4}
{'短评内容': '没有牙刷，被子睡着痒', '短评打分': 2}
{'短评内容': '非常喜欢！非常满意！有免费的咖啡厅、健身房、商务中心。房间很大很干净', '短评打分': 5}
{'短评内容': '酒店位置比较好，整体环境还行吧，房间内的设施满足需要，服务比较好', '短评打分': 4}
{'短评内容': '早餐不错', '短评打分': 4}
{'短评内容': '早餐不错', '短评打分': 4}
{'短评内容': '早餐不错', '短评打分': 4}
