{'短评内容': '设施简陋，但出行方便，可以入住', '短评打分': 3}
{'短评内容': '服务很好，干净卫生。', '短评打分': 5}
{'短评内容': '出行方便，性价比高', '短评打分': 3}
{'短评内容': '性价比高，干净卫生，出行方便', '短评打分': 3}
{'短评内容': '都挺好的。', '短评打分': 5}
{'短评内容': '简约，整体还不错，出差方便 交通便利，机场大巴也很近，附近也有商圈，房间空间小点，整体还是满意滴，好评！', '短评打分': 5}
{'短评内容': '京东就是速度够快！挺好的！', '短评打分': 5}
{'短评内容': '不错，非常好', '短评打分': 5}
{'短评内容': '不错的位置', '短评打分': 5}
{'短评内容': '房间有点小。', '短评打分': 5}
{'短评内容': '离公司很近，多次代同事预定，就是方便；推荐住吧！很安静，也不吵，周边吃饭也便利，面条米饭小吃城都有，丰俭由人！', '短评打分': 5}
{'短评内容': '给同事定的，挺好的。挺好的。同事住的，听他讲说不错，出行就用携程订机票，酒店，火车票，方便效率高，特别好。房间有点小。', '短评打分': 5}
{'短评内容': '酒店基础设施和服务都还不错，就是房间隔音不好，总被吵醒，三楼有个足浴，然后半夜总有男男女女在楼道大声说话……', '短评打分': 4}
{'短评内容': '服务态度很好', '短评打分': 4}
{'短评内容': '价格便宜，交通方便，还不错', '短评打分': 5}
{'短评内容': '服务员礼貌，卫生干净，比较清净', '短评打分': 5}
{'短评内容': '酒店非常不错，前台也非常好，以后还来住。', '短评打分': 5}
{'短评内容': '如家环境不错！设备也齐全，挺满意的！', '短评打分': 3}
{'短评内容': '总体不错，房间很多。交通方便，服务周到。', '短评打分': 5}
{'短评内容': '卫生不错，就是房间比较小。', '短评打分': 3}
{'短评内容': '酒店环境很不错，服务态度也很非常好，就是房间有点小。', '短评打分': 5}
{'短评内容': '酒店地段不错,比较经济实惠,周边吃饭地方也很多,只是有些偏贵.', '短评打分': 5}
{'短评内容': '整体还不错，就是房间内的暖气有些不给力，而开空调的话噪音又吵的人睡不着，早餐有点简单', '短评打分': 5}
{'短评内容': '比较贵，不过位置好，附近有机场大巴，吃的也比较多，我们单位出差的都住在这', '短评打分': 5}
{'短评内容': '服务很好，对客人真的像自己的家人般亲切。让我们如家的感受。', '短评打分': 5}
{'短评内容': '房间偏小，定的商务大床房，房间也不大。\n价格还算公道，旁边就是香格里拉和佳德大酒店，与其相比价格低得很了。\n', '短评打分': 5}
{'短评内容': '房间挺多 房间不大 可以三餐 出门方便 网速挺快', '短评打分': 5}
{'短评内容': '酒店每层两头的标准间房间还是蛮大的，其他的就一般了', '短评打分': 5}
{'短评内容': '人多的时候 早餐就不好了 不说盘子、碗筷子要等很久，基本上还没什么菜 九点半结束 八点半的时候 啥都没了 还不再上新的了 ', '短评打分': 5}
{'短评内容': '还不错 房间也不少 去年开业比较新 早餐也还不错 12元比一般的如家便宜 地方不大 但是一般有米饭 面条 炒菜 鸡蛋 面包 粥 包子什么的', '短评打分': 5}
{'短评内容': '房间整体比较温馨，就是空间有些小，不过还可以接受！', '短评打分': 5}
{'短评内容': '出来结账时说没有发票，还假莫假样要我们留下地址，到现在发票都没有收到。其实要不要也无所谓，但为什么要搞的这么假。', '短评打分': 1}
{'短评内容': '房间好温馨，服务好周到…', '短评打分': 3}
{'短评内容': '房间服务慢，被子有汗味，半夜楼道还有人大声讲话，影响睡眠。', '短评打分': 1}
{'短评内容': '酒店条件还可以，位置比较方便，服务态度一般，继续完善。', '短评打分': 5}
{'短评内容': '酒店服务不错，前台有点慢', '短评打分': 3}
{'短评内容': ' 到店没发票，只好换其它店了', '短评打分': 3}
{'短评内容': '酒店非常好，舒服，尤其是被子，老公很喜欢。', '短评打分': 5}
{'短评内容': '环境不错，交通也方便，附近有很多小吃；隔音稍差', '短评打分': 5}
