{'短评内容': '商务旅行，方便之选。', '短评打分': 5}
{'短评内容': '房间灯光黑暗，厕所设备差', '短评打分': 4}
{'短评内容': '房间暗，厕所设备差', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '京东订到的几乎是最低价，满减+用券算下来350，很划算。不过卫生间装修很旧，所谓的游泳池好小，是外包的，水非常浑浊，也没有什么酒店工作人员在场，消毒池也不放消毒水，没敢下去游。早餐到9:15就没了，东西也不多。哎，总得来说就是外观很高大上，实质不咋地。', '短评打分': 5}
{'短评内容': '酒店很满意下次还定', '短评打分': 5}
{'短评内容': '酒店还可以我很满意下次还定这里', '短评打分': 5}
{'短评内容': '酒店地理位置较好，出行很方便，服务态度很好，下次还会继续入住。', '短评打分': 4}
{'短评内容': '灯太暗了，别的还可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店早餐一般，服务不错', '短评打分': 5}
{'短评内容': '环境不错，房间很大很干净，早餐也很丰富。住16F很安静，一晩上都睡的很好。公司商务出差，信价比超高，没有超预算！', '短评打分': 5}
{'短评内容': '入住华信不只十余次了，这次是感觉最差的。前台接待的男生可能是新来的，共预约了三个房间，我先到的酒店和办理了入住，而且说明了另外两人会晚些到，回复是没问题的，可当同事两人办理入住时却说找不到预约的记录，当我去前台确认时，预约的记录就躺在台子上。房间打扫的也没有之前细致，浴室的下水很慢，都可以没到脚脖子。希望有所改善', '短评打分': 4}
{'短评内容': '酒店卫生、环境、设施、服务都还不错，早餐也还过得去，在奉化的宾馆里算是好的。', '短评打分': 5}
{'短评内容': '还行，还行，还行，还行', '短评打分': 5}
{'短评内容': '酒店位置好，交通便利，下次还会入住的。', '短评打分': 5}
{'短评内容': '好好，还行！', '短评打分': 4}
{'短评内容': '酒店很大气，虽然有点旧，但确实很好，客满!足见值!', '短评打分': 3}
{'短评内容': '酒店较老，设施还行，早餐不错.......\n', '短评打分': 5}
{'短评内容': '加住了一天， 早餐花样还可以， 就事肉食太少， 难道肉类太贵？ ', '短评打分': 5}
{'短评内容': '还行， 就事东西有点旧， 住了一个带阳台的房间， 基本不去， 因为有味，建议加开窗户。', '短评打分': 5}
{'短评内容': '我没想到酒店的设施比较的陈旧，没有新意，房间的设置也太太太太简单了吧', '短评打分': 1}
{'短评内容': '比较老了', '短评打分': 3}
{'短评内容': '在这个地方算是很不错的酒店了，出差都住这里', '短评打分': 5}
{'短评内容': '房间的暖气不是很好，温度偏低，也许是这两天太冷？\n早餐略显简单。\n其他都还一般。', '短评打分': 5}
