{'短评内容': '环境不错，服务很好，值', '短评打分': 5}
{'短评内容': '哦', '短评打分': 3}
{'短评内容': '总体评价来说还可以', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行，价格公道服务好，服务有待改进，下次还会住。', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '酒店比较老，设施都是比较老的。', '短评打分': 1}
{'短评内容': '还可以，多次入住', '短评打分': 4}
{'短评内容': '豪华标间还不错，普通标间就太稀烂了。。。。。。。。。', '短评打分': 5}
{'短评内容': '卫生实惠！', '短评打分': 3}
{'短评内容': '住了一天 房间很大 空调和其他噪音也很大 如果口袋紧 能住', '短评打分': 5}
{'短评内容': '挺好的.有宽带.空调.可洗澡.方便好找.住了两天.', '短评打分': 3}
{'短评内容': '没有早餐,整体一般,黄州就没有好酒店,没有办法,只能勉强住了!', '短评打分': 5}
{'短评内容': '说实话，一般，当然价格也一般，不像标准的商务酒店，有电梯！', '短评打分': 5}
{'短评内容': '在当地是老酒店了，不好评价什么，只能说还行凑合着住吧。。。。。', '短评打分': 5}
{'短评内容': '這個價格的話算可以了。就是廁所要蹲坑，不是很習慣！', '短评打分': 3}
{'短评内容': '电视不错，还算舒适！卫生间设施有待改善，服务态度也不错。', '短评打分': 5}
{'短评内容': '酒店服务可以，房间卫生很好，就是电脑不行。总体可以', '短评打分': 5}
{'短评内容': '/不错，空间大，对得起这个价格', '短评打分': 3}
{'短评内容': '宾馆隔音效果很差，晚上还有打麻将的~~卫生间是蹲便的', '短评打分': 1}
{'短评内容': '非常好~~很棒！有电脑，房间宽敞舒服，设备较新，性价比很高！', '短评打分': 5}
{'短评内容': '比较差得酒店，尤其洗手盆下水管是漏的，当天太累了，懒得换。另外厕所是蹲便。很奇葩。电视也没有任何一个频道。除了卫生还可以，其他都不好。', '短评打分': 1}
{'短评内容': '94卫生还可以！就是没电脑！', '短评打分': 3}
{'短评内容': '非常好，很满意，环境也好。交通也很便利。', '短评打分': 5}
