{'短评内容': '提供4餐，独具特色。', '短评打分': 5}
{'短评内容': '这个饭店包4餐，非常合适。没有天数限制。', '短评打分': 5}
{'短评内容': '挺好都住着', '短评打分': 5}
{'短评内容': '还行吧都住这', '短评打分': 5}
{'短评内容': '有冰箱，干净，设施有点旧了', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '200多还包四餐，虽说食物不咋地，但酒店能给出这样的服务，赞一个', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很一般，不推荐', '短评打分': 3}
{'短评内容': '超好，还会再来', '短评打分': 5}
{'短评内容': '好舒服，有家的感觉。是第二次来了', '短评打分': 5}
{'短评内容': '酒店环境不错，房间干净，价格也合适', '短评打分': 5}
{'短评内容': '环境好，服务好，房间大，干净', '短评打分': 3}
{'短评内容': '+我们7点前到，房间一定要保留*', '短评打分': 3}
{'短评内容': '总台服务很差！但是一日三餐让人感动！房间里还有洗衣机，出人意料！总台能改变服务态度就完美了！', '短评打分': 4}
{'短评内容': '超赞，电脑、洗衣机全有，还包三餐', '短评打分': 5}
{'短评内容': '一个星期的海南之旅在海口住了2个晚上都是选择的百士特酒店，再次点评，不得不的说性价比之高！在海口，同价格的酒店几乎没多少能与百士特酒店相比的了。相信下次路过海口还会入住！个人建议定期维护保养酒店的设施，有些存在小损坏要及时修炼或者更换。', '短评打分': 5}
{'短评内容': '订的158特价 这价位确实超值了 房间设施很不错 交通便利', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '交通方便 ，卫生还算干净，价格实惠，服务态度一般，就是房间里有点味不是很习惯。', '短评打分': 5}
{'短评内容': '很好，里面还有电脑、洗衣机，还送早餐不错，很舒服。如果下次住还去那里。', '短评打分': 5}
{'短评内容': '.可以，海口还没这么性价比的房了', '短评打分': 3}
{'短评内容': '和房价还是相匹配的', '短评打分': 3}
{'短评内容': '以前住过给的好评，这次住的想给差评。住了两天，卫生都没搞好，打电话到前台态度很不好，像我欠她似的：说我不要求的话就不搞卫生，这是什么话！房间里有蟑螂，准备了电蚊香却没备蚊香片。浴室里的洗浴液没了也不加。', '短评打分': 1}
{'短评内容': '非常好的酒店，交通很方便，服务很周到，还有免费的三餐加宵夜。', '短评打分': 3}
{'短评内容': '很好，非常好。交通方便。服务周到。设备齐全。', '短评打分': 5}
{'短评内容': '给爸爸妈妈定的酒店，他们很满意。一天四顿饭，免费上网，免费国内长途，太超值了。真不知道这家酒店挣不挣钱啊。以后还会定它的', '短评打分': 5}
{'短评内容': '特别喜欢里面电脑和电视可以连起来，看的很爽', '短评打分': 5}
{'短评内容': '春节期间和家人朋友去海南玩，无意间订了这间酒店，就价位来讲，我真不敢相信这个价位会有这么好的条件，因为定的是特价房，所以卫生间确实小了点，从三亚回来住的是标准间，卫生间就大了一些，每间房里都有电脑，还可以免费上网，三餐呢只是能吃得饱，当然实在是对得起这个价位了，只有一点不足，就是地毯有点脏。另外，旁边就有个水果批发市场，品种丰富，只是你要长眼睛，不要被蒙了砰。总之，下次我再去海口，还去住。经济实惠', '短评打分': 5}
{'短评内容': '地理位置虽然一般，但是酒店房间的设施很时尚、现代。', '短评打分': 5}
{'短评内容': '酒店环境很好，有洗衣机这—点很加分，电视机也很大很拉风，床很舒服，', '短评打分': 3}
{'短评内容': '不错的酒店。房间大，设施也很好，性价比高。酒店旁边有个沙县小吃店，东西物美价廉。', '短评打分': 5}
{'短评内容': '酒店设施好,附近有多条公交可达景点,出行方便,适合自助行.去机场,港口有自达公交,很便捷.', '短评打分': 5}
{'短评内容': '酒店设施完备，出行便利，非常适合自助行的客人。可以推荐。', '短评打分': 5}
