{'短评内容': '不错很满意', '短评打分': 5}
{'短评内容': '首先肯定的是，位置还是不错的。服务也很热情。问题是热水太差了，房间里有点潮湿，定了两间房，其中一间没有花洒，另一间电视还是纯平。。。', '短评打分': 4}
{'短评内容': '值得表扬的是前台大姐，服务特别好。虽然没车位了，又帮忙停到停车场，还给拿了停车费。特别感动。房间设施简陋点，但寝具很干净。看的出是新换的。有在家的感觉，暖暖的。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '不错，靠三孔风景区很近。', '短评打分': 5}
{'短评内容': '不错，宾馆离孔府，孔庙很近，步行3-5分钟的路程，设施老一些，但是很干净，老板很热情。', '短评打分': 3}
{'短评内容': '离三孔很近，值得选择', '短评打分': 3}
{'短评内容': '非常干净整洁，值得一住', '短评打分': 3}
{'短评内容': '位置不错，对面就是孔庙，10月2号入住的，老板厚道，没有像别的店随意涨价，车位满了又帮我在附近找了一个免费车位，赞一个。', '短评打分': 3}
{'短评内容': '服务还可以，位置不太好找', '短评打分': 3}
{'短评内容': '距离孔庙很紧，停车也方便，就是没有热水，不能洗澡', '短评打分': 3}
{'短评内容': '酒店店面小的，不容易找，但店家会派人来接站。位置在孔庙大门西，很方便参观。设施一般，但较为干净。价格实惠。特别值得一提的是店家服务态度超好，一开始到公交车站来接站，后来我们入住后返回时找不到路，老板娘又来接我们，这一点令人感动。', '短评打分': 5}
