{'短评内容': '酒店出了一些事情 要求提早退房', '短评打分': 3}
{'短评内容': '在携程上订了杭州爱加国际青年旅舍最高价位(每晚189元)的410大床房，8月19日~2O日入住两晚。房间情况:房间狭小，没有Wifi，没有有线电视，虽然有一盏吊灯和一盏台灯但仍灯光暗淡;木质的洗手台面板污黑腐烂;洗浴笼头水量小。服务:入住第二天，游玩一天后疲惫地爬上四楼开门时，房卡开不了门，再返回一楼到楼梯口的服务台咨询，服务员说要把房卡拿下来刷一下，我说刚才上楼从你旁边经过时你怎不告诉我们一声，', '短评打分': 2}
{'短评内容': '设施太差.不值这个钱', '短评打分': 4}
{'短评内容': '本来定的大双房，结果酒店给安排成了双床房505，由于太晚就没换，第二天去换，客服小妞态度好差呀！换房后506，房间的浴巾绝对是没换的，TMD还有长头发，无语呀。 总结：卫生差、服务差、环境一般，下次绝对不会再来。', '短评打分': 3}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '好 好', '短评打分': 5}
{'短评内容': '酒店所处位置是非常好的，到西湖很近，离南宋御街也十分近…住宿环境一般，但是这个位置和价格已经相当优惠啦，朋友推荐的，感觉还是值的。', '短评打分': 4}
{'短评内容': '交通很方便，房间还好。比较满意。', '短评打分': 3}
{'短评内容': '不推荐，电话坏的，开始不通，半夜突然响了。。。服务态度有待提高，房间卫生不敢恭维，空间狭小，厕所坐厕板套有不干净的印迹，告知前台四个小时都没有更换，房间离马路很近，隔音差，噪音大，而且价格高，不值两百多，也就是交通方便点。', '短评打分': 1}
{'短评内容': '地理位置不错~环境不错~相当的有气氛~适合情侣~', '短评打分': 5}
{'短评内容': ' 位置好 价格亲民 还算干净舒适 性价比挺高的！', '短评打分': 3}
{'短评内容': '其实这家酒店的氛围还是不错的，可能比较适合背包一族吧，对于我来说，这个价格住7天酒店会好点，杭州是天气原因还是怎么的，反正进房间就一股潮味，很不舒服。但是地理位置不错，离火车站挺进', '短评打分': 1}
{'短评内容': '很温馨，这是第二次住拉，位置也很好，离西湖，河坊街，武林广场都很近，以后还会去哈哈哈哈', '短评打分': 5}
{'短评内容': '地理位置很好，从车站步行到旅店只要几分钟，旅店到西湖，明清特色商业街区也非常近。条件还可以，就是洗澡的水温度很低，回来就生病了。', '短评打分': 3}
{'短评内容': '交通位置很便利，内部设施一般化，服务比较周到，值得一住', '短评打分': 5}
{'短评内容': ' 住宿环境还好，就是不能刷信用卡。', '短评打分': 3}
{'短评内容': '位置很好，环境也不错，很适合年轻人，就是房间小了点，但是很温馨！', '短评打分': 5}
{'短评内容': '距火车站近，靠路吵。', '短评打分': 3}
{'短评内容': '环境还好，服务态度很好，卫生干净，隔音好。唯一不足，卫生间排水系统差到极点，一个晚上地上都还是水', '短评打分': 3}
{'短评内容': '酒店地理位置很好,不论车站还是景区都很方便的说.而且还有免费的台球可以玩,不愧为青年酒店哈哈.虽然房间一般,但也还算不错,性价比OK.', '短评打分': 5}
{'短评内容': '之前有2次分别入住广州和杭州的青年旅舍的经历，感觉都很好。所以此次特意选择青旅。彻底颠覆我的印象！可能是加盟店，高架旁，毛巾破切有锈斑，卫生间太小地漏堵，房间潮湿，闷热，一股子异味。', '短评打分': 1}
{'短评内容': '设施很简单，房间空间也小，但还算干净，很喜欢木制的楼梯和墙上的涂鸦，楼下还有桌球台可以玩，离西湖稍远了点，交通还算方便，就是价格稍微高了点，要是一百多还差不多。', '短评打分': 5}
{'短评内容': '总体上满意，就是浴巾是洞洞装，热水壶有水垢，建议改善一下', '短评打分': 5}
{'短评内容': '干净 安静  离火车站很近。 大厅设计不错，还有桌球， 位置很好，离河坊街神马的都很近', '短评打分': 5}
{'短评内容': '整体不错，一楼大厅还有小桌球。房间都很不错的。下次有机会再来', '短评打分': 5}
{'短评内容': '先说说好的：\n1、交通便利，到火车站、几个主要景区还是很便捷的\n2、周边吃的地方、超市也很多，日常生活很便利\n3、房间里很多挂衣服、物品的大大小小的钩子，设计得很人性化\n下面再来说说我觉得不够好的地方吧\n1、住的308房，房间实在小了点，正好下雨，非常闷（房间里），又没有装纱窗，开窗会有蚊子近来，建议装层纱窗\n2、电吹风还是多备点儿的好，我们借了2次都没借到\n3、现在很多酒店都是退房可以到下午3点', '短评打分': 5}
{'短评内容': '装修还是蛮有特点的   房间非常极其非常极其一般一般一般非常极其非常极其一般一般一般', '短评打分': 5}
{'短评内容': '不错,就是卫生间淋浴室地面没隔开,水容易沾的到处都是.', '短评打分': 3}
{'短评内容': '房间还干净，厕所地漏不太好，味道有点重，价格较实惠。', '短评打分': 5}
{'短评内容': '还可以.但有许多值得改进的地方,我是加了十元钱才住到朝南的1.8米大的房的,而且没有电梯住楼高蛮痛苦的(在外已经爬了一天的山了.回去休息还要爬)所以我换了楼低的.', '短评打分': 5}
