{'短评内容': '提莫锐敏破苦痛吐槽', '短评打分': 5}
{'短评内容': '没热水!!!', '短评打分': 3}
{'短评内容': '都还不错没有什么不满意的', '短评打分': 5}
{'短评内容': '路虎婆母淋雨一直走下去', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '服务比较周到，房间还不错', '短评打分': 5}
{'短评内容': '可以哼哼唧唧i酷', '短评打分': 5}
{'短评内容': '环境将就，位置不好找。房间里设施不行，水温也不是很热，不符合这个价位。有点不满意，跟图片完全不符合。不会再住了', '短评打分': 2}
{'短评内容': '很好，价格合理', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '环境非常不错，设施齐全。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还可以吧，不将就，就是现在外面有点吵', '短评打分': 4}
{'短评内容': '还可以啦！没有电梯！房间挺大的', '短评打分': 3}
{'短评内容': '晚上有点闹   其它的都很好', '短评打分': 5}
{'短评内容': '房间很旧了，不过价格便宜，出行还是方便', '短评打分': 3}
{'短评内容': '态度一般，环境一般，外观一般，都是一般般。', '短评打分': 4}
{'短评内容': '不错，别具一格。就是床垫有点软。', '短评打分': 3}
{'短评内容': '大环境看到海可以，但是进去后感觉就不好啦，电脑不行，电也光断！柜子有些是烂的，唯独那个厨房装饰看起来还可以！同等价格我不推荐此酒店！', '短评打分': 1}
{'短评内容': '环境不错。床很舒服。  推荐大家都去，这个价位，比较合适了', '短评打分': 5}
{'短评内容': '设施陈旧，电脑也老是坏，但是跃层的设计很好很喜欢。服务人员的态度也不错。总体还是凑合。', '短评打分': 5}
{'短评内容': '服务还好，价格一般。酒店设施如床单等陈旧，感觉很不好。', '短评打分': 5}
{'短评内容': '很好，就是房间的纸少了', '短评打分': 3}
{'短评内容': '房间不错！推荐一下吧', '短评打分': 3}
{'短评内容': '整体感觉看着还不错，就是硬件设施不怎么样，厕所还都不能用，上网也上不去。挺失望的', '短评打分': 3}
{'短评内容': '室外及室內的环境都给我一个家的感觉...我和太太都十分满意', '短评打分': 5}
{'短评内容': '很不错！很多细节方面体现了韩式的感觉~空间很足，物超所值!', '短评打分': 5}
{'短评内容': '韓式公寓當天入住時，因隔壁樓消防施工，導致油漆味很重，但店家韓式公寓非常貼心、負責為客戶轉送公司集團另一家酒店（計程車費）公司支付報銷，為客戶達到滿意！值得好好推薦！', '短评打分': 5}
{'短评内容': '位置不错，离火车站步行15分钟距离。周边也有吃有喝的。\n酒店是居民楼改造的，低楼层光线不好。室内感觉还是不错的，挺干净的，也挺舒服。\n\n房间是跃层的，床在上面，其实是一张床垫子，起身容易碰头。感觉应该及时检查维修有问题的地方，比如我住的时候洗手间排风不好用，电脑耳机不好用，床头灯坏一个，被子上面还破洞了，没有吹风机。。。\n', '短评打分': 5}
{'短评内容': '非常有居家感觉的酒店，前台很温柔，态度很好，房间整洁干净，楼上床铺楼下客厅的设计很适合年轻人的口味，价格也很适合，经济型酒店中来说是很不错的选择。', '短评打分': 5}
{'短评内容': '  感觉不错，很有家的感觉～', '短评打分': 3}
{'短评内容': '酒店很不错,强烈推荐下!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '挺干净的，装修简洁，就是用的电热水器不太习惯。有一点像在家里的感觉', '短评打分': 5}
