{'短评内容': '同等级算可以的，服务态度好', '短评打分': 4}
{'短评内容': '酒店位置很好，位于市中心，距离二道桥大巴扎步行一公里就可以到达。距离地窝堡国际机场也不算远，20公里不到。性价比高，关键是WiFi信号超好', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '房间卫生特别不错，清洁也很及时，设施非常好，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '每次都住这，交通方便，楼下就有吃的', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '位置不错，朋友推荐的', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '酒店环境还不错！就是隔音效果不好！', '短评打分': 4}
{'短评内容': '好，，，，，，，，，，，', '短评打分': 3}
{'短评内容': '见过差的，没见过这么差的。和网上一点都不一样。', '短评打分': 1}
{'短评内容': '不错、还行，厕所有味的东西', '短评打分': 3}
{'短评内容': '价格就是如此～一般般！没有图片中的给力', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '干净，整洁，服务周到', '短评打分': 4}
