{'短评内容': '地点不错。服务周到。', '短评打分': 5}
{'短评内容': '整个玄武湖一览无遗！可以！', '短评打分': 5}
{'短评内容': '地理位置得天独厚', '短评打分': 5}
{'短评内容': '第一次在京东定酒店，绿地一天没有回复，换了普尔曼，京东给解决了，价格也比ct便宜，不错的', '短评打分': 5}
{'短评内容': '&ldquo;起先她还说要离婚，离了她怎么过？我劝她合，是积德。这一卦我只收她200块钱，保她家庭不散，值了。&rdquo;', '短评打分': 5}
{'短评内容': '不错，比门店实惠多了，没有房间免费升级了行政套房', '短评打分': 5}
{'短评内容': '图解宿舍楼区', '短评打分': 5}
{'短评内容': '超级好，住的很舒服', '短评打分': 5}
{'短评内容': '非常不错的，45层以上的酒店', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '没有大床房，实际去前台定比网上定优惠，京东定有点贵', '短评打分': 3}
{'短评内容': '设施一般 但是位置 高度 心理不一般', '短评打分': 5}
{'短评内容': '很好，服务很棒，地段很好。房间内部也很舒适。早餐也很齐全。每次去南京首选的酒店。很满意很满意很满意！', '短评打分': 5}
{'短评内容': '还可以，住在51层，坐电梯的时候有点耳背', '短评打分': 5}
{'短评内容': '各方面都不错', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '棒', '短评打分': 5}
{'短评内容': '棒', '短评打分': 5}
{'短评内容': '各方面都还不错，地址环境床都蛮舒服的', '短评打分': 5}
{'短评内容': '南京标志型建筑，洲际酒店的一惯风格。', '短评打分': 5}
{'短评内容': '值得一住', '短评打分': 5}
{'短评内容': '挺好 哈哈嗨哈哈哈', '短评打分': 5}
{'短评内容': '很棒。房間設施超讚，建議住高樓層，晚上又可以看view,會讓人想在住一次的酒店', '短评打分': 5}
{'短评内容': '南京最高的建筑，视野很不错，早餐很丰盛！', '短评打分': 5}
{'短评内容': '太棒的酒店，强烈推荐！奢华气派，软硬件都是一流！！\n', '短评打分': 5}
{'短评内容': '每次到南京，首选的酒店！地标性建筑，天气好时能看到南京全景，无敌！', '短评打分': 5}
{'短评内容': '强烈推荐，游泳池水很好，住在70层，房间全景玻璃，景色超好，最赞的是床真的好舒服！', '短评打分': 5}
{'短评内容': '非常好。干净卫生。价格合理。去南京第一选择的酒店。如果价格能更优惠就最好了。呵呵。', '短评打分': 5}
{'短评内容': '位置比較好，酒店服務ok，大堂服務很好，交通也暢通，住高層可以一覽南京城。', '短评打分': 5}
{'短评内容': '房间很大，设备不错，早餐种类丰富，关键是风景很好。', '短评打分': 3}
