{'短评内容': '开不了住宿发票，只能开旅游服务费！发票还要到付快递费，请问京东此产品谁联系的？能干不能干了', '短评打分': 5}
{'短评内容': '周边吃的挺多的，尤其是重庆小面嘿好吃~~O(∩_∩)O~~但是房间卫生不是特别好，因为是续住，都没有换床单和被罩。这点不满意。', '短评打分': 4}
{'短评内容': '交通很方便，就是空调坏了', '短评打分': 4}
{'短评内容': '就是噪音有点大，其他都好', '短评打分': 5}
{'短评内容': '位置很好！', '短评打分': 5}
{'短评内容': '环境不错 安静  干净    ', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '不错，这价格比较合适，就是屋子有点小了，其它还好', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '不错！地段好，周边好吃的多，到地铁站走过去10分钟', '短评打分': 5}
{'短评内容': '交通方便，环境很好！', '短评打分': 5}
{'短评内容': '快捷酒店，便宜，住住还行吧。', '短评打分': 3}
{'短评内容': '交通比较方便', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店位置不错，住了很多次了', '短评打分': 4}
{'短评内容': '酒店位置不错，出行方便 ，边上小吃也多', '短评打分': 4}
{'短评内容': '很棒啊，看演唱会住的，隔音不错', '短评打分': 5}
{'短评内容': '挺好的！', '短评打分': 5}
{'短评内容': '挺好的！', '短评打分': 5}
