{'短评内容': '干净  卫生', '短评打分': 5}
{'短评内容': '挺舒适的 交通也很方便 坐电梯需要刷房卡 就是房间沿街马路上车声很大 其他的都很不错', '短评打分': 5}
{'短评内容': '价位不高,带早餐,早餐样式比较简单.可以吃饱.地理位置好.能住', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店位置很好早，性价比很高，装修和配套都不错，干净卫生，下次值得再去，就是早餐太简单了点，对得起这个价格。', '短评打分': 5}
{'短评内容': '对得起价位,感觉环境一般,有很多流萤...', '短评打分': 4}
{'短评内容': '速度很快，可以的', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '代别人预定的，不过还不错', '短评打分': 5}
{'短评内容': '不', '短评打分': 3}
{'短评内容': '住了好几次 感觉不错 主要是实惠', '短评打分': 4}
{'短评内容': '还不错 价格实惠', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '吵', '短评打分': 4}
{'短评内容': '一般般，只不过晚上车子很吵，汽车呼呼声。。。。房间比较小。', '短评打分': 4}
{'短评内容': '厕所不是很好，其他ok', '短评打分': 4}
{'短评内容': '不错，周围环境繁华，很方便', '短评打分': 5}
{'短评内容': '位置不错，一下机场大巴走8分钟就到。设施稍旧但能接受，服务不错。', '短评打分': 5}
{'短评内容': '地段好，好找。房间很宽敞，比较干净。这个价钱个人觉得还是很不错的，还有早餐呢。不过房间的隔音不是太好。总体来说还是很满意的。', '短评打分': 5}
{'短评内容': '房间装修还不错，空间也比较大，也比较干净，交通方便，性价比比较高~~', '短评打分': 5}
{'短评内容': '很不错，交通便捷，野蛮干净的，还有免费早餐。', '短评打分': 5}
{'短评内容': '虽房间小了点，但还是比较干净，还有免费早餐。', '短评打分': 5}
