{'短评内容': '价格给力，非常满意。', '短评打分': 4}
{'短评内容': '酒店环境很好，就是早餐质量不行，选择太少。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '住宿环境好', '短评打分': 5}
{'短评内容': '酒店的亲子房太赞了，环境好，服务周到！还来', '短评打分': 5}
{'短评内容': '就是超级无语的一点，票弄了半天取不了不说，要去大门取才能进，住了酒店既然不能坐他们酒店内的那种车到乐和乐都门口，还要自付10元一个人，我也是第一回遇到不能坐那种帮客人的小白车，服了服了。', '短评打分': 1}
{'短评内容': '还不错～～～', '短评打分': 5}
{'短评内容': '住了好多次，携程优惠卷很划算!', '短评打分': 4}
{'短评内容': '酒店真的挺不错的，非常好，前台很热情，办理入住时，服务非常好，隔音也不错。客房很干净整洁，卫生好。很棒很好！ 住得很满意的一次，值得下次再入住的酒店', '短评打分': 5}
{'短评内容': '非常酷', '短评打分': 5}
{'短评内容': '还可以 酒店安静 适合舒舒服服的呆两天', '短评打分': 5}
{'短评内容': '挺好的，能针对房客单独开个到游乐园的门就完美了', '短评打分': 5}
{'短评内容': '房间很好，毕竟五星酒店，价格不算贵。周围环境很漂亮。', '短评打分': 5}
{'短评内容': '去乐和乐都玩买的两天的连票就住的这里，388的价格住的连排小别墅，环境还是可以，就是浴缸稍微有点脏。', '短评打分': 4}
{'短评内容': '酒店环境很好，很美，很安静！往前走就是乐和乐都主题公园边边的路口，进去就可以玩了，宝宝去玩了两天很开心，还说下次也要去！', '短评打分': 5}
{'短评内容': '酒店环境很好，很美，很安静！往前走就是乐和乐都主题公园边边的路口，进去就可以玩了，宝宝去玩了两天很开心，还说下次也要去！', '短评打分': 5}
{'短评内容': '房间很好，住的很舒服，配套设施齐全，周边环境非常的好', '短评打分': 5}
{'短评内容': '房间很干净，环境也很好！下次会再去！', '短评打分': 5}
{'短评内容': '服务态度很好。环境很好。就是床上用品像是洗涤剂没洗干净有化学残留。睡着全身不舒服。建议改善下会更加好。', '短评打分': 3}
{'短评内容': '环境相当的好，又很有特色，是我喜欢的类型，下次还会入住的', '短评打分': 5}
{'短评内容': '很不错，环境很好，下次还会入住，还会介绍其他朋友入住', '短评打分': 5}
{'短评内容': '环境清幽，房间设施不错，下次来还住这个哦', '短评打分': 3}
{'短评内容': '有特色的酒店，都是连排或独幢别墅，象童话里的小木屋。很喜欢阳台上的浴缸，感觉不错，晚上可以在酒店边上逛逛，有山有水，空气好！', '短评打分': 5}
{'短评内容': '房间很漂亮 性比价高。酒店的服务也很周到 热情，是个休闲度假的好选择。', '短评打分': 5}
{'短评内容': '酒店服务不错，价格又便宜，早上的餐很好吃，就是旁边有个大工地', '短评打分': 5}
{'短评内容': '酒店很不错,服务也很好,有许多小动物,性价比很高', '短评打分': 3}
{'短评内容': '性价比很高，去野生动物园很方便。酒店其实就是动物园的一部分，很有特色。', '短评打分': 5}
{'短评内容': '环境挺好的，房间也不错，就是有点小。\n下次去还住这里', '短评打分': 5}
{'短评内容': '装修风格带点泰国风情，客房内的设置很齐全也很贴心。酒店内放养着温顺的不知名动物，很好玩。', '短评打分': 5}
{'短评内容': '相当不错的一家酒店，服务态度超好，酒店环境不错。值得大家光顾，与家人决定下个月还会在去的，赞。', '短评打分': 5}
{'短评内容': '非常不错，价格物有所值，尤其带家人入住非常好，小孩非常高兴，酒店里就有动物，在阳台上就可以非常近的看天鹅，花园里就有鸸鹋，小朋友非常高兴', '短评打分': 5}
{'短评内容': '设施很好，房间漂亮，空调很够力。酒店里面环境很不错，到处都要小动物。\n很值得推荐的地方，下次还会去的。', '短评打分': 5}
{'短评内容': '环境不错，住宿条件好，前台服务态度一般，保安态度不错，性欲比较高！！', '短评打分': 5}
{'短评内容': '环境很好 服务很好，价格适中、、、、、、、、', '短评打分': 5}
