{'短评内容': '相当满意！', '短评打分': 5}
{'短评内容': '蛮不错的，性价比，环境都可以', '短评打分': 4}
{'短评内容': '位置很好，停车方便。', '短评打分': 5}
{'短评内容': '一般一般一般', '短评打分': 4}
{'短评内容': '房间太小，回声太大了', '短评打分': 3}
{'短评内容': '这个是不是很多人生哲理的确如此，我们都会有些不要再也逃离不了的确如此，你们的话。我的话题。我们都市全部 ', '短评打分': 4}
{'短评内容': '交通便利，服务好，不错哦。', '短评打分': 5}
{'短评内容': '好好好好好好很好', '短评打分': 5}
{'短评内容': '不错位置好提前定比较实惠！', '短评打分': 5}
{'短评内容': '酒店服务很好', '短评打分': 5}
{'短评内容': '非常好的地方，价格合理。', '短评打分': 5}
{'短评内容': '服务态度差  设施老旧', '短评打分': 1}
{'短评内容': '老酒店，价格合适。', '短评打分': 4}
{'短评内容': '总体感觉还可以', '短评打分': 4}
{'短评内容': '好.................................................', '短评打分': 5}
{'短评内容': '好.................................................', '短评打分': 5}
{'短评内容': '性价比很高，地理位置好', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 5}
{'短评内容': '还是非常不错的！！！', '短评打分': 5}
{'短评内容': '环境方便，设施简单', '短评打分': 4}
{'短评内容': '最大的亮点在于乘火车很方便', '短评打分': 4}
{'短评内容': '就价位来讲还行，可惜没吹风机，洗完澡吹头有点麻烦，其他的都还可以。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '挺好的,可以看楼下的喷泉风景,就是早餐时间太短了.', '短评打分': 5}
{'短评内容': '他这个酒店我感觉更像快捷酒店。不像三星的涉外酒店。', '短评打分': 3}
{'短评内容': '价格合理，地理位置不错，交通方便，早餐一般啦，如果早餐好点就更好了。', '短评打分': 5}
{'短评内容': '服务一般，前台总是很忙\n位置很好，离火车站和客运站都很近，晚饭后溜达着就到了江边\n家庭房很大', '短评打分': 5}
{'短评内容': '酒店挺好的，也很方便。旁边就是火车站，对面就是汽车站。唯一不好的就是早餐每天都是一样，反正给人的感觉很不好。', '短评打分': 5}
{'短评内容': '爸妈两老出游，帮忙预定的酒店，电话反馈说：交通方便，卫生还可以，早餐也好。', '短评打分': 5}
{'短评内容': '离火车站真近，下车就能看到，很方便，就是价格高点，条件一般。', '短评打分': 5}
{'短评内容': '是铁路部门的酒店，就在火车站售票处旁，带孩子来丹东旅游住这儿很方便。只不过“面江房”只是面向鸭绿江的方向而已，远眺也只能看到断桥，看不到江水的。向下一看就是站台了。还好，晚上睡觉不吵。就是白天有的燃汽车进站，发出的噪音很大，让人很难接受。房间不是很大，但很干净。其他方面都好。总体来说，比较满意。', '短评打分': 5}
{'短评内容': '旅游团很多以至于电梯非常不好上，服务人员因为接待的旅游人数太多不是太热情，如果是为了乘坐火车还是值得推荐的，江景房绝对骗人---', '短评打分': 1}
{'短评内容': '条件还算可以，但位置无比优越。服务也算可以，有早晨叫醒服务还是不错的，由于走的早，早餐没吃到，不知怎么样？', '短评打分': 5}
{'短评内容': '地理位置不错，方便出差人士。房间不大，但还算是干净。下次还会入住。', '短评打分': 5}
{'短评内容': '酒店挺好，地理位置没的说，离火车站就100米吧，环境，吃的都不错。物超所值', '短评打分': 5}
{'短评内容': '所谓的面江房，离鸭绿江远着呢，远远的一条线，看到的就是丹东火车站的顶棚，灰色的一片', '短评打分': 5}
{'短评内容': '不错！只是那个房卡 质量比较不好 断了，还赔了30元，其他都还好！', '短评打分': 5}
{'短评内容': '感觉挺好，就是有点吵，房间在12楼，可是没有完全面江，不过各方面服务都挺好的。', '短评打分': 5}
{'短评内容': '酒店环境很好 .卫生间有点旧 早餐非常好!', '短评打分': 3}
{'短评内容': '酒店非常好，干净卫生，设施也非常齐全！尤其是热水非常好~！', '短评打分': 5}
{'短评内容': '环境不错，物有所值', '短评打分': 3}
{'短评内容': '环境很不错，干净。', '短评打分': 3}
{'短评内容': '入住四天。说实话很满意，水二十四小时供给，服务也不错，最棒的是早餐很丰富哦!下次还要来。这个性价比很适合啦。', '短评打分': 3}
{'短评内容': '很不错  酒店舒适度、卫生都很好   下次有机会我还会在来的', '短评打分': 5}
{'短评内容': '优点：紧挨着火车站，交通方便，坐火车首选，停车场足够\n缺点：江景房完全没有必要，压根看不到什么，前台服务较冷淡，早餐很一般很一般', '短评打分': 1}
