{'短评内容': '出差挺好的', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '还可以吧，10点有陌生人敲门很奇怪', '短评打分': 5}
{'短评内容': '每次岀差都是住这里', '短评打分': 5}
{'短评内容': '房间很旧，就地板是新的！毛巾都有破洞！吹风机没有一定要自己带！隔音不是太好，不过12点就没有声音了，房间没有总机电话！找前台一定要去楼下找人！', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '服务和价格对等', '短评打分': 4}
{'短评内容': '价格适中，环境一般。', '短评打分': 4}
{'短评内容': '酒店在建材市场的附近 环境一般 卫生还过的去', '短评打分': 4}
{'短评内容': '换了个特色房间，还不错噢，设备略显陈旧', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '卫生差，杯子上面一层灰，很吵，下次再不选择了', '短评打分': 3}
{'短评内容': '还可以吧，出门在外不要太过讲究', '短评打分': 3}
{'短评内容': '就是旁边没有什么商店，对面在搞建设，可以往民院附近找酒店。', '短评打分': 1}
{'短评内容': '环境还不错，就是离火车站不止3公里吧！有点忽悠人。', '短评打分': 3}
{'短评内容': '对面有基建，环境有些欠佳，但房间设施不错，尤其是卫生间的硬间要赞一个。到火车站很方便，坐公交也很方便，要是旅游的话推荐入住，但要是公干可能位置离市区有些远。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '酒店房间不错。干净，设施很好。还有可以上网的计算机。位置也不错，离高速公路收费站很近。但周边环境目前不是很好，因为周边正在盖大楼，所以比较脏。', '短评打分': 5}
{'短评内容': '入住了恩施“金帝商务酒店”198元房价很贵。', '短评打分': 3}
{'短评内容': '  里面的设备还是很好的   环境也很安静  能多个电脑就更好了.', '短评打分': 5}
{'短评内容': '这个价格的酒店还是相当不错滴，住起来也很舒服，就是旁边在施工道路不太好', '短评打分': 5}
