{'短评内容': '前台服务员拉个脸。我是去消费而不是 欠你们钱。心情很不爽特别那个短头发的', '短评打分': 1}
{'短评内容': '前台服务员拉个脸。我是去消费的。而不是看谁的脸色。', '短评打分': 1}
{'短评内容': '早上退房。服务员。拉个脸，我是消费去了。不是看你们服务员的脸色', '短评打分': 3}
{'短评内容': '酒店周边比较繁华，交通便利，但是酒店房价隔音太差', '短评打分': 3}
{'短评内容': '离城墙近', '短评打分': 5}
{'短评内容': '环境挺好......房间太小了还说是什么豪华标间呢......真的感觉豪华在哪里，卫生还是挺好的 非常干净', '短评打分': 5}
{'短评内容': '整体还可以吧', '短评打分': 4}
{'短评内容': '房间环境还好，个别窗户漏缝太大有光。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '不错，挺好的', '短评打分': 5}
{'短评内容': '服务态度不好。', '短评打分': 4}
{'短评内容': '挺好的住宿环境，房间定的和入住的不同，不是豪华间是标准间', '短评打分': 3}
{'短评内容': '住宿的空间合适，网络也可以，就是帘子有些不严密。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': ',条件一般，但比较干净，性价比挺高的，适合住宿', '短评打分': 3}
{'短评内容': '此酒店硬件设施很好，颇为让我满意，交通条件也较便利，总的来说我很满意', '短评打分': 5}
{'短评内容': '空调都用不了，太烂了。卫生间水放十几分钟才会热。', '短评打分': 1}
{'短评内容': '环境一般，但还算方便，卫生还不错，服务员素质有待提高，电视机效果不太好，收看节目也较少，但还是对得起住宿价格。', '短评打分': 5}
{'短评内容': '位置可以 设施一般', '短评打分': 3}
